geometry_id,wavelength_nm,true_delta_eta_plus1,true_abs_delta_eta_plus1,pred_delta_eta_plus1__LF_only,pred_delta_eta_plus1__LF_global_bias,pred_delta_eta_plus1__LF_affine,pred_delta_eta_plus1__LF_ridge_residual,pred_delta_eta_plus1__LF_paired_shared_contrast,pred_delta_eta_plus1__corrected_residual_mlp,pred_delta_eta_plus1__direct_mlp,pred_delta_eta_plus1__resmlp,pred_delta_eta_plus1__circular_cnn
K6X_D100_D115_D130_D145_D155_D185,452,-0.07673565707300001,0.07673565707300001,0.0,0.0,-0.029076797781906416,-0.02907648341603397,-0.06593180828284728,-0.1708317597707113,-0.12323343753814697,-0.1278392871220907,-0.12140919764836633
K6X_D100_D115_D130_D145_D155_D185,453,-0.03742880771500001,0.03742880771500001,0.0,0.0,-0.029076797781906527,-0.02907648341603386,-0.06090482371209305,-0.15990539391835534,-0.11444232861200965,-0.12080317735671997,-0.12115538120269775
K6X_D100_D115_D130_D145_D155_D185,454,0.0026666946560000016,0.0026666946560000016,0.0,0.0,-0.029076797781906527,-0.029076483416034082,-0.05587820359189155,-0.14810903867085778,-0.10565173625946045,-0.11325107018152869,-0.12090152502059937
K6X_D100_D115_D130_D145_D155_D185,455,0.026821436490000017,0.026821436490000017,0.0,0.0,-0.029076797781906527,-0.02907648341603397,-0.05089033220699235,-0.1356817285219828,-0.09711354970932007,-0.10514974594116211,-0.12064762910207116
K6X_D100_D130_D135_D155_D160_D225,445,-0.011188844990000057,0.011188844990000057,0.0,0.0,-0.03270580204525497,-0.032705448444144136,-0.0012184349462730504,0.03488045930862427,-0.010894695917765373,0.002030769983927483,-0.01044408480326331
K6X_D100_D130_D135_D155_D160_D225,446,-0.03014639113000006,0.03014639113000006,0.0,0.0,-0.03270580204525497,-0.032705448444144136,-0.019750892238234563,0.011104166507720947,-0.009473959604899052,0.002287924289703369,-0.010443627834320068
K6X_D100_D130_D135_D155_D160_D225,447,-0.07706040698399996,0.07706040698399996,0.0,0.0,-0.032705802045255195,-0.032705448444144136,-0.022645002105589174,0.0029128591219584887,-0.007651567459106445,0.003409544626871708,-0.010443280140558842
K6X_D100_D130_D135_D155_D160_D225,448,-0.235939379053,0.235939379053,0.0,0.0,-0.03270580204525497,-0.03270544844414425,-0.021438541259930055,-0.0016766786575317383,-0.005132357279459709,0.005309780438741085,-0.010442852973937988
K6X_D100_D130_D135_D155_D160_D225,449,-0.07207590797699992,0.07207590797699992,0.0,0.0,-0.03270580204525497,-0.032705448444144136,-0.018897907544803805,-0.00525820255279541,-0.0016364852587382739,0.007903178532918331,-0.010442515214284298
K6X_D100_D130_D135_D155_D160_D225,450,-0.036619354308999985,0.036619354308999985,0.0,0.0,-0.03270580204525497,-0.032705448444144136,-0.015612357867981541,-0.00820767879486084,0.0030715266863505786,0.011103014151255253,-0.01044204831123352
