planned_candidate_id,role,reference_candidate_id,planned_J1_side_nm,planned_J2_length_nm,planned_J2_width_nm,planned_D_nm,planned_Psi_deg,wavelength_nm,status,physics_fields,prediction_label,geometry_hash_status,manufacturing_status,solver_authorized
LP_5D_PHASE_REACHABILITY_11,HIGH_PHASE_EXTREME,LPML_R2_HIGH_UNCERTAINTY_015,112.0,112.0,103.0,193.12690128513947,-2.0664769856442358,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_12,HIGH_PHASE_EXTREME,LPML_R2_BOUNDARY_AND_HIGH_GRADIENT_050,111.0,112.0,101.0,193.12690128513947,-2.077174765162813,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_13,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_GLOBAL_SOBOL_002,110.0,108.0,101.0,200.0,0.0,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_14,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_GLOBAL_SOBOL_051,111.0,108.0,100.0,199.0,0.28791606655709323,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_15,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_GLOBAL_SOBOL_036,109.0,108.0,100.0,198.0025252364222,-0.28791606655709323,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_16,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_PROJECTOR_REGION_214,109.0,107.0,100.0,199.0226117806718,0.863690044599587,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_17,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_BOUNDARY_FAILURE_254,108.0,109.0,100.0,199.0226117806718,0.863690044599587,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_18,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_GLOBAL_SOBOL_125,109.0,108.0,98.0,199.01004999748125,-0.5758175932449805,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_19,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_GLOBAL_SOBOL_111,110.0,107.0,100.0,200.02249873451734,0.5729386976834859,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_20,BOUNDARY_OR_TRADEOFF_CONTROL,LPML_R1_GLOBAL_SOBOL_116,109.0,108.0,101.0,198.0,-0.1,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_21,MODEL_DISAGREEMENT_CONTROL,LPML_R1_GLOBAL_SOBOL_057,110.0,108.0,99.0,199.04019694524018,1.1515188939637642,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_22,MODEL_DISAGREEMENT_CONTROL,LPML_R1_GLOBAL_SOBOL_094,111.0,109.0,99.5,199.00251254695254,0.28791606655709323,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_23,MODEL_DISAGREEMENT_CONTROL,LPML_R1_GLOBAL_SOBOL_088,109.0,109.0,102.0,199.01004999748125,0.5758175932449805,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
LP_5D_PHASE_REACHABILITY_24,MODEL_DISAGREEMENT_CONTROL,LPML_R1_GLOBAL_SOBOL_114,110.0,109.0,100.0,200.0024999843752,-0.5729386976834859,450,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,NOT_BUILT_OFFLINE_ONLY,OFFLINE_REQUIRES_PREFLIGHT,False
