model,fold,held_out_geometry,scope,value,count,eta_plus1_MAE,eta_plus1_RMSE,eta_plus1_Spearman,transmitted_order_MAE,all_order_weighted_MAE,T_MAE,R_MAE,directionality_MAE,non_target_leakage_MAE,predicted_transmitted_order_sum_mismatch,predicted_reflected_consistency,negative_power_violations,nan_inf_count
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,449,2,0.14121872560722123,0.14122196002260734,0.0,0.07089552255334364,0.037370016560954795,0.17634410888211827,0.17639163994276214,0.31856230686919745,0.31756283448933964,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,450,2,0.148423988448104,0.14842758703272507,0.0,0.0731367445083897,0.038272025779160015,0.17704073511363339,0.1769392521071385,0.3159104414616249,0.3254647235617375,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,451,2,0.15551943796471748,0.1555226545887204,0.0,0.0753655110551074,0.03916672125924008,0.1777094656717027,0.17744240511943316,0.3132397623726657,0.3332289036364203,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,452,2,0.1624123280147835,0.1624152044650553,0.0,0.0775002447221724,0.04002068353925232,0.17790245564482826,0.17787059090894108,0.3107659732778232,0.34031478365961193,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,453,2,0.1690074640443946,0.16901068123217608,0.0,0.07955880598152087,0.040838715651925,0.17816342914715244,0.17818523997408758,0.308274342358021,0.34717089319154715,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,454,2,0.1754644101982173,0.1754677150820566,0.0,0.08161540757186476,0.041652906890659765,0.17863912129705511,0.17844447127904364,0.30566122447401983,0.3541035314952725,1.1102230246251565e-16,2.7755575615628914e-17,0,0
LF_DFT,1,K6X_D100_D105_D115_D120_D125_D130,wavelength,455,2,0.18180182859823493,0.1818048534530513,0.0,0.08361923297455033,0.04244553623938912,0.1787828138967053,0.17868502166169564,0.3031639027140586,0.3605846424949404,1.1102230246251565e-16,2.7755575615628914e-17,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.11384364480307264,0.11656873840778575,-0.6623376623376624,0.15589523315429688,0.06745914369821548,0.11841100144045408,0.02456476805462484,0.6369816956260216,0.2322546455662012,5.960464477539063e-08,2.9802322387695312e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,polarization,p,11,0.1053015112233538,0.10945978076782119,-0.7818181818181819,0.14936977624893188,0.06535010039806366,0.1047639653954364,0.01504121903316759,0.6515034968254614,0.21006547932809225,5.960464477539063e-08,2.9802322387695312e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,polarization,s,11,0.12238577838279148,0.12326839798677557,-0.3181818181818182,0.16242069005966187,0.06956817209720612,0.13205803748547176,0.03408831707608209,0.6224598944265819,0.2544438118043102,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,445,2,0.14369159170436652,0.14429494175423535,0.9999999999999999,0.16020932793617249,0.06947044283151627,0.12155163398834345,0.024983514077373453,0.568892540716599,0.26524318098922645,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,446,2,0.14009068645911138,0.14053713336199558,0.9999999999999999,0.16238851845264435,0.07045064121484756,0.1351096060714036,0.03769122234322353,0.5445009186370615,0.27520027762935373,5.960464477539063e-08,2.9802322387695312e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,447,2,0.13780286613307766,0.1378135502349155,0.9999999999999999,0.16308631002902985,0.07090307772159576,0.12870681355476077,0.040483271711302435,0.560034223503222,0.26650967223725786,0.0,0.0,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,448,2,0.12784281471399106,0.12831260659572155,-0.9999999999999999,0.1593662053346634,0.0690152645111084,0.11764267684160407,0.040196286140261814,0.5779814319004987,0.2454855288084981,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,449,2,0.12293119583565261,0.12373808536650964,-0.9999999999999999,0.1557101160287857,0.06897254288196564,0.10817153556545517,0.03599512299183409,0.6077464766070211,0.23110277610459135,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,450,2,0.110742769695414,0.11273735670778977,-0.9999999999999999,0.1522730141878128,0.06780242919921875,0.1035538823410927,0.027707003639584407,0.628809775339386,0.21429663713534552,0.0,0.0,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,451,2,0.10135723736521493,0.10394270553623167,-0.9999999999999999,0.1521928459405899,0.06651163101196289,0.11058464726848621,0.01104626861867046,0.658674338263671,0.21194190698544296,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,452,2,0.09793428490843631,0.09958154497896121,-0.9999999999999999,0.15349288284778595,0.06565943360328674,0.11735053790543054,0.01308543941181628,0.6868016731998847,0.21528480791270566,5.960464477539063e-08,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,453,2,0.09504207515955053,0.09587536625963257,-0.9999999999999999,0.15356628596782684,0.06480583548545837,0.12032658139311958,0.014828323228981269,0.7091101778514752,0.21536864165150893,5.960464477539063e-08,0.0,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,454,2,0.09057664427908152,0.09108932530937378,-0.9999999999999999,0.15233968198299408,0.06421595066785812,0.1203748575221536,0.013462037865287158,0.7255288533769187,0.2109515241529769,0.0,1.4901161193847656e-08,0,0
CNN,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,455,2,0.08426792657990245,0.08492241318787305,-0.9999999999999999,0.1502225697040558,0.06424328684806824,0.11914824339314511,0.010733958572538366,0.7387182424904999,0.20341614762130578,0.0,0.0,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.4530190364066724,0.4536107742329828,-0.7165443252399775,0.19262170791625977,0.08199745416641235,0.08017550583660116,0.10746142285828428,0.3053237481615988,0.37284353057007136,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,polarization,p,11,0.44345043566079007,0.4442961184460486,-0.7818181818181819,0.1855137050151825,0.07981488108634949,0.0949325808556872,0.12200917011184087,0.3205544585583257,0.3485178548051028,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,polarization,s,11,0.46258763715255513,0.4627379691945182,-0.3181818181818182,0.19972971081733704,0.08418004959821701,0.0654184308175151,0.09291367560472762,0.29009303776487205,0.39716920633503994,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,445,2,0.47757438548850806,0.47775122459190394,0.9999999999999999,0.200700044631958,0.08509279787540436,0.07062318810371282,0.09602430092602163,0.24776691415257318,0.4069511973847953,0.0,0.0,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,446,2,0.47522078194098394,0.4753441488461302,0.9999999999999999,0.20198513567447662,0.08467819541692734,0.056648341135093594,0.08232987501881794,0.2204898759229426,0.4185724408058903,0.0,0.0,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,447,2,0.4740760222395497,0.47407749129676713,0.9999999999999999,0.20182427763938904,0.08460454642772675,0.06317481328964536,0.08934363439097366,0.23346111238633582,0.41090120894990434,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,448,2,0.46517153927711286,0.4653179638724943,-0.9999999999999999,0.197287455201149,0.08362844586372375,0.07492032049955194,0.1015127504937562,0.24914350074434022,0.3902512187775609,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,449,2,0.4612483963771489,0.4614914207458025,-0.9999999999999999,0.19286254048347473,0.08290974795818329,0.08564467923442581,0.11262262295000174,0.27690970368831985,0.37560371714272306,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,450,2,0.450004688955439,0.45054917981105935,-0.9999999999999999,0.18871018290519714,0.0814562737941742,0.09209863235502852,0.11946470550844764,0.29620459966542434,0.3579060566004105,5.960464477539063e-08,0.0,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,451,2,0.4415455841684033,0.4422101289740675,-0.9999999999999999,0.187973290681839,0.08080525696277618,0.08749556460933666,0.11514025687630992,0.32449247072378834,0.354050049361389,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,452,2,0.4390567035504804,0.43948498476578174,-0.9999999999999999,0.18867969512939453,0.08011993765830994,0.08375374542739417,0.11180016437369855,0.351194815065615,0.3553029283207638,5.960464477539063e-08,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,453,2,0.4371319069886216,0.43736043949399883,-0.9999999999999999,0.18822665512561798,0.07986324280500412,0.08439957817948174,0.11273616661247991,0.372189223564423,0.35273232880913985,0.0,7.450580596923828e-09,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,454,2,0.4336916983500311,0.43383983098657997,-0.9999999999999999,0.18654431402683258,0.07960162311792374,0.08856892671475436,0.11731608110272279,0.38736476971726985,0.3451227716352767,0.0,0.0,0,0
MLP,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,455,2,0.4284876931371191,0.42866608679440016,-0.9999999999999999,0.18404527008533478,0.07921207696199417,0.09460277465418765,0.12378509318789674,0.3993442441465554,0.33388491848293145,0.0,7.450580596923828e-09,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.2598398681374436,0.26043050105340715,-0.007340485601355168,0.1600896157449877,0.06847890546841426,0.021611402039372264,0.02161353785370814,0.4847953004060765,0.26852143559327635,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,polarization,p,11,0.25317566626636406,0.25407681471378935,0.7818181818181819,0.15453837469492962,0.06666694293504966,0.01341239023223167,0.013523838382929325,0.49720527246554663,0.24640561287056348,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,polarization,s,11,0.26650407000852305,0.26663282615378064,0.3181818181818182,0.16564085679504584,0.07029086800177885,0.02981041384651286,0.029703237324486945,0.47238532834660635,0.29063725831598913,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,445,2,0.273700678214173,0.2741603703124924,0.0,0.16840006442853303,0.07272256187759514,0.023653586526535486,0.023356140273491893,0.4358536323459186,0.2973542647407084,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,446,2,0.2736013074308929,0.27394433521298556,0.0,0.1696990922352464,0.07284557309760704,0.03654142358838591,0.036297901078213735,0.4067396087666329,0.3101427310192787,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,447,2,0.2746750773114822,0.27470509109834274,0.0,0.16987322165444146,0.07288001372536371,0.04025544137566861,0.04000267200989786,0.4179096226672362,0.3036022141758431,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,448,2,0.26795204984201876,0.26809607409462377,0.0,0.16571876365064098,0.07093038082076275,0.03912904880050766,0.03887730240660779,0.43182768373756664,0.2840459245316445,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,449,2,0.2661720366484375,0.2664461369477215,0.0,0.16361552724652645,0.07098822582413553,0.03416622797382601,0.03387224396351378,0.45786746794794947,0.27045466190571016,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,450,2,0.2570317920420124,0.25775119269632524,0.0,0.15764026316560992,0.0687691480330286,0.025153653933262576,0.02481940446937643,0.47547492662914026,0.25377542122519114,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,451,2,0.2506348738537544,0.25154055579534884,0.0,0.15482704757359864,0.06638099448243023,0.007913183115623446,0.007437386191454884,0.5021157127361036,0.2508994186544054,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,452,2,0.2501655625135949,0.2507078186453541,0.0,0.15482055296335506,0.06513052561008614,0.00413269080735007,0.004603373839366931,0.5272121887383916,0.25309370827452393,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,453,2,0.2502161532865597,0.2504671112526031,0.0,0.15422539529669102,0.06458825046612253,0.008464708407230903,0.009005322400467655,0.5466433462186755,0.25142534427086505,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,454,2,0.24870542150515457,0.24884715011438366,0.0,0.15240856684324916,0.06413318371886935,0.0071954739444550775,0.007649969982587407,0.5602995401738752,0.24467848982431972,0.0,2.7755575615628914e-17,0,0
LF_DFT,2,K6X_D100_D110_D115_D220_D225_D230,wavelength,455,2,0.24538359686379868,0.2455641351928008,0.0,0.14975727813697207,0.06389910249655578,0.011119983960249158,0.01182719977581112,0.5708045745053518,0.23426361290354947,0.0,2.7755575615628914e-17,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,geometry,K6X_D100_D115_D130_D145_D155_D185,22,0.07598669489064634,0.08886739886885929,0.7120271033314512,0.024700041860342026,0.013654795475304127,0.03987209556408576,0.040863322807917685,0.1345875371973795,0.0839297826022352,1.1920928955078125e-07,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,polarization,p,11,0.04779252880944662,0.06014883857193561,-0.8363636363636365,0.0190498735755682,0.012204266153275967,0.056701721087390335,0.058602137273321864,0.13547039082488074,0.059605346234809425,5.960464477539063e-08,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,polarization,s,11,0.10418086097184608,0.11034920199929449,1.0,0.030350208282470703,0.015105322934687138,0.023042470040781183,0.023124508342513506,0.13370468356987833,0.10825421896966098,1.1920928955078125e-07,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,445,2,0.10006394996107759,0.10595965715127621,0.9999999999999999,0.028952011838555336,0.01566752977669239,0.05751930548780515,0.05783807947296753,0.13278147655483763,0.06858433217967996,5.960464477539063e-08,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,446,2,0.07983053620714264,0.09741822374698497,0.9999999999999999,0.026029644533991814,0.013893190771341324,0.04420469205239397,0.044074594296868615,0.13203430042105135,0.0774082822240556,0.0,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,447,2,0.07072122235578482,0.09580329254797772,0.9999999999999999,0.024674026295542717,0.012980126775801182,0.033351097959827714,0.03398906725271493,0.13188047947421278,0.08347637325199653,5.960464477539063e-08,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,448,2,0.0837421408298033,0.09732738110981738,0.9999999999999999,0.02727179042994976,0.013855217956006527,0.026516889004810473,0.025609930164461767,0.13247461813361028,0.09297024711817581,5.960464477539063e-08,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,449,2,0.13599288179961405,0.1361311491484623,0.9999999999999999,0.03197316452860832,0.019708501175045967,0.10648731668991818,0.10446882813229572,0.13820046193991276,0.08716712698567547,1.1920928955078125e-07,0.0,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,450,2,0.06927039407246183,0.08765808097726616,0.9999999999999999,0.024028295651078224,0.013167708180844784,0.03717519412639614,0.038363777954899925,0.13469123602242283,0.08405023201463113,5.960464477539063e-08,0.0,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,451,2,0.06374148382720196,0.07950753150355007,0.9999999999999999,0.023057524114847183,0.012383025139570236,0.024103163382625636,0.02570894003537636,0.13536427593286682,0.08784461740750521,5.960464477539063e-08,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,452,2,0.06557345316122015,0.07141162303532968,0.9999999999999999,0.023233892396092415,0.012578952126204967,0.022447979839570975,0.025322842701396273,0.1359818989508279,0.08802143300079113,0.0,7.450580596923828e-09,0,0
CNN,3,K6X_D100_D115_D130_D145_D155_D185,wavelength,453,2,0.05985792275264423,0.06067990509106447,0.9999999999999999,0.021956291049718857,0.01232247706502676,0.026812746580786695,0.029042850105308486,0.1362743224434671,0.08667063953110854,5.960464477539063e-08,7.450580596923828e-09,0,0
