geometry_id,wavelength_nm,metric,p_value,s_value,delta_p_minus_s,abs_delta
K6X_D100_D105_D115_D120_D125_D130,446,eta_plus1,0.2998694625262098,0.3017413451026836,-0.0018718825764738045,0.0018718825764738045
K6X_D100_D105_D115_D120_D125_D130,446,eta_0,0.5222225096295481,0.5214864955343272,0.0007360140952208383,0.0007360140952208383
K6X_D100_D105_D115_D120_D125_D130,446,eta_minus1,0.05212200338395936,0.0474977043665938,0.004624299017365559,0.004624299017365559
K6X_D100_D105_D115_D120_D125_D130,446,directionality,0.8519225366751896,0.8639965821726583,-0.01207404549746871,0.01207404549746871
K6X_D100_D105_D115_D120_D125_D130,446,tx_-3,0.013778663240373135,0.01096640806645155,0.002812255173921585,0.002812255173921585
K6X_D100_D105_D115_D120_D125_D130,446,tx_-2,0.026889901608228683,0.030678488314151764,-0.0037885867059230804,0.0037885867059230804
K6X_D100_D105_D115_D120_D125_D130,446,tx_-1,0.052122004330158234,0.0474977046251297,0.004624299705028534,0.004624299705028534
K6X_D100_D105_D115_D120_D125_D130,446,tx_0,0.5222225189208984,0.5214865207672119,0.0007359981536865234,0.0007359981536865234
K6X_D100_D105_D115_D120_D125_D130,446,tx_1,0.29986944794654846,0.3017413318157196,-0.0018718838691711426,0.0018718838691711426
K6X_D100_D105_D115_D120_D125_D130,446,tx_2,0.03283070772886276,0.04877330735325813,-0.01594259962439537,0.01594259962439537
K6X_D100_D105_D115_D120_D125_D130,446,tx_3,0.008832212537527084,0.0065565407276153564,0.002275671809911728,0.002275671809911728
K6X_D100_D105_D115_D120_D125_D130,447,T,0.9571615234732055,0.9694069449502604,-0.012245421477054874,0.012245421477054874
K6X_D100_D105_D115_D120_D125_D130,447,R,0.042488445436765755,0.030900630272884554,0.011587815163881202,0.011587815163881202
K6X_D100_D105_D115_D120_D125_D130,447,eta_plus1,0.2918326355016071,0.2938687306625201,-0.0020360951609130207,0.0020360951609130207
K6X_D100_D105_D115_D120_D125_D130,447,eta_0,0.5318476455512297,0.5308321858612921,0.0010154596899375479,0.0010154596899375479
K6X_D100_D105_D115_D120_D125_D130,447,eta_minus1,0.05162626145334849,0.047630833458658664,0.003995427994689826,0.003995427994689826
K6X_D100_D105_D115_D120_D125_D130,447,directionality,0.8496872204765765,0.8605244677801194,-0.010837247303542852,0.010837247303542852
K6X_D100_D105_D115_D120_D125_D130,447,tx_-3,0.013744651339948177,0.011158140376210213,0.0025865109637379646,0.0025865109637379646
K6X_D100_D105_D115_D120_D125_D130,447,tx_-2,0.026476269587874413,0.03073137067258358,-0.0042551010847091675,0.0042551010847091675
K6X_D100_D105_D115_D120_D125_D130,447,tx_-1,0.051626261323690414,0.047630831599235535,0.00399542972445488,0.00399542972445488
K6X_D100_D105_D115_D120_D125_D130,447,tx_0,0.5318476557731628,0.5308321714401245,0.00101548433303833,0.00101548433303833
K6X_D100_D105_D115_D120_D125_D130,447,tx_1,0.2918326258659363,0.2938687205314636,-0.0020360946655273438,0.0020360946655273438
K6X_D100_D105_D115_D120_D125_D130,447,tx_2,0.03278491273522377,0.048622310161590576,-0.015837397426366806,0.015837397426366806
K6X_D100_D105_D115_D120_D125_D130,447,tx_3,0.008849146775901318,0.006563376169651747,0.002285770606249571,0.002285770606249571
K6X_D100_D105_D115_D120_D125_D130,448,T,0.9577136226743289,0.9705323862827021,-0.012818763608373196,0.012818763608373196
K6X_D100_D105_D115_D120_D125_D130,448,R,0.04197778593106984,0.029780908456803437,0.012196877474266406,0.012196877474266406
K6X_D100_D105_D115_D120_D125_D130,448,eta_plus1,0.28406052998030057,0.2859636025800584,-0.0019030725997578046,0.0019030725997578046
K6X_D100_D105_D115_D120_D125_D130,448,eta_0,0.5411938677948444,0.5401537197624918,0.001040148032352528,0.001040148032352528
K6X_D100_D105_D115_D120_D125_D130,448,eta_minus1,0.05110294238413941,0.04765146607569049,0.003451476308448921,0.003451476308448921
K6X_D100_D105_D115_D120_D125_D130,448,directionality,0.8475283060423343,0.8571663256468156,-0.009638019604481296,0.009638019604481296
K6X_D100_D105_D115_D120_D125_D130,448,tx_-3,0.013688881881535053,0.01127661019563675,0.002412271685898304,0.002412271685898304
K6X_D100_D105_D115_D120_D125_D130,448,tx_-2,0.026074036955833435,0.030661311000585556,-0.004587274044752121,0.004587274044752121
K6X_D100_D105_D115_D120_D125_D130,448,tx_-1,0.05110294371843338,0.047651465982198715,0.003451477736234665,0.003451477736234665
K6X_D100_D105_D115_D120_D125_D130,448,tx_0,0.5411938428878784,0.5401537418365479,0.0010401010513305664,0.0010401010513305664
K6X_D100_D105_D115_D120_D125_D130,448,tx_1,0.284060537815094,0.28596359491348267,-0.0019030570983886719,0.0019030570983886719
K6X_D100_D105_D115_D120_D125_D130,448,tx_2,0.03273005783557892,0.048292458057403564,-0.015562400221824646,0.015562400221824646
K6X_D100_D105_D115_D120_D125_D130,448,tx_3,0.008863304741680622,0.006533219013363123,0.002330085728317499,0.002330085728317499
K6X_D100_D105_D115_D120_D125_D130,449,T,0.9581886357675327,0.970903808577386,-0.012715172809853348,0.012715172809853348
K6X_D100_D105_D115_D120_D125_D130,449,R,0.041537612804748845,0.028875656255957814,0.012661956548791032,0.012661956548791032
K6X_D100_D105_D115_D120_D125_D130,449,eta_plus1,0.2765398004190823,0.27845137620807253,-0.0019115757889902052,0.0019115757889902052
K6X_D100_D105_D115_D120_D125_D130,449,eta_0,0.5502671335049925,0.5485464888450534,0.0017206446599390413,0.0017206446599390413
K6X_D100_D105_D115_D120_D125_D130,449,eta_minus1,0.05055522025512507,0.04755180185346474,0.0030034184016603307,0.0030034184016603307
K6X_D100_D105_D115_D120_D125_D130,449,directionality,0.8454417919572094,0.8541369991046874,-0.008695207147478068,0.008695207147478068
K6X_D100_D105_D115_D120_D125_D130,449,tx_-3,0.013612296432256699,0.011361329816281796,0.002250966615974903,0.002250966615974903
K6X_D100_D105_D115_D120_D125_D130,449,tx_-2,0.025682521983981133,0.03052712418138981,-0.004844602197408676,0.004844602197408676
K6X_D100_D105_D115_D120_D125_D130,449,tx_-1,0.05055522173643112,0.047551803290843964,0.003003418445587158,0.003003418445587158
K6X_D100_D105_D115_D120_D125_D130,449,tx_0,0.5502671599388123,0.5485464930534363,0.0017206668853759766,0.0017206668853759766
K6X_D100_D105_D115_D120_D125_D130,449,tx_1,0.27653980255126953,0.2784513831138611,-0.0019115805625915527,0.0019115805625915527
K6X_D100_D105_D115_D120_D125_D130,449,tx_2,0.032661113888025284,0.047985371202230453,-0.01532425731420517,0.01532425731420517
K6X_D100_D105_D115_D120_D125_D130,449,tx_3,0.00887055043131113,0.0064803180284798145,0.002390232402831316,0.002390232402831316
K6X_D100_D105_D115_D120_D125_D130,450,T,0.9585732868336772,0.9719124099742718,-0.0133391231405946,0.0133391231405946
K6X_D100_D105_D115_D120_D125_D130,450,R,0.04117550975826775,0.028142534973686177,0.013032974784581576,0.013032974784581576
K6X_D100_D105_D115_D120_D125_D130,450,eta_plus1,0.26925676584003433,0.271323885105355,-0.0020671192653206605,0.0020671192653206605
K6X_D100_D105_D115_D120_D125_D130,450,eta_0,0.5590734480344098,0.5570881855523064,0.0019852624821034004,0.0019852624821034004
K6X_D100_D105_D115_D120_D125_D130,450,eta_minus1,0.04998555964996369,0.04756155130813419,0.0024240083418295005,0.0024240083418295005
K6X_D100_D105_D115_D120_D125_D130,450,directionality,0.8434243968958628,0.8508506633508889,-0.007426266455026087,0.007426266455026087
K6X_D100_D105_D115_D120_D125_D130,450,tx_-3,0.01351566705852747,0.011473231948912144,0.002042435109615326,0.002042435109615326
K6X_D100_D105_D115_D120_D125_D130,450,tx_-2,0.0253010094165802,0.030421456322073936,-0.005120446905493736,0.005120446905493736
K6X_D100_D105_D115_D120_D125_D130,450,tx_-1,0.04998555779457092,0.04756155237555504,0.0024240054190158844,0.0024240054190158844
K6X_D100_D105_D115_D120_D125_D130,450,tx_0,0.5590734481811523,0.5570881962776184,0.0019852519035339355,0.0019852519035339355
