wavelength_nm,S0_xy_sourcepower_normalized,S1_xy_sourcepower_normalized,S2_xy_sourcepower_normalized,S3_xy_sourcepower_normalized,DoLP_xy,psi_xy_deg,DoCP_xy,useful_LP_axisfree_xy,upward_source_normalized_power_xy,net_source_normalized_power_xy,farfield_center_S0_xy,farfield_center_S1_xy,farfield_center_S2_xy,farfield_center_S3_xy,farfield_center_DoLP_xy,farfield_center_psi_xy_deg,farfield_center_DoCP_xy,farfield_angular_integral_raw_xy,farfield_angular_integral_over_sourcepower_xy
410.00000000000017,3.3722938420727013,-0.254731679691773,0.015052128817588701,-0.008015284077548136,0.07566837893344312,88.30915849551549,-0.002376804766402482,1.8137349251947876,0.0071991188192007715,-0.08592464353613646,1.5472125048624703e-14,-7.088804788945429e-16,-2.2646016341862764e-16,-1.702268330185627e-16,0.04809775857878371,98.85834493240098,-0.011002162436225524,1.7400430428103894e-14,5.202355214811769
411.0,3.3550010205427983,-0.1580364806304539,0.002904285062271559,-0.010401779645156616,0.04711270246423956,89.47358816512251,-0.0031003804712624898,1.7565320926954255,0.007208886658467338,-0.08802789919706142,1.2475428622575092e-14,-8.823275947064119e-16,-5.265177452121511e-16,-8.216549582764726e-17,0.08236059955735998,105.41305078572272,-0.006586186199563797,1.7234569802788684e-14,5.2032215571868
412.0000000000001,3.3501396576313214,-0.14651233460726049,0.014093026649454846,-0.00717185744688318,0.04393505745334889,87.25281047750234,-0.0021407637232514543,1.748664117983048,0.007289421706954676,-0.08974972899915301,9.708421625117363e-15,-2.0268195905880983e-15,-4.003191239969764e-16,6.460682610488584e-17,0.21280236533364527,95.5863708754633,0.006654719850416964,1.7193653749421797e-14,5.241572832103175
413.0000000000001,3.3489851281611367,-0.09521318420034652,0.026022091568962083,-0.012686863779132947,0.02947314217911941,82.3570794193529,-0.003788271160851365,1.7238451214995931,0.0073414785769650975,-0.09093154987392771,1.0419361678002547e-14,-2.5498456773010696e-15,-1.8887093595868255e-16,-4.6247148184305683e-17,0.2453922962098133,92.11812452801244,-0.004438577871996045,1.7101672716337956e-14,5.264333344047515
414.00000000000006,3.393760453895702,0.009690993069356169,0.011364162404968323,-0.018221950745431356,0.004400775462273591,24.771759771541692,-0.005369250715534255,1.7043478158130203,0.007394737359800606,-0.09172136804079639,1.117033179624916e-14,-2.1734549603193685e-15,-1.3107488043030926e-16,-9.930723101754873e-17,0.19492740138134224,91.72558273618033,-0.008890266898866397,1.7028419036464753e-14,5.292736551598692
415.0000000000001,3.529216220048764,0.11418038519776597,-0.010343761907909366,-0.02279266650914652,0.03248538731386924,177.41181213977367,-0.006458279994199842,1.8219320879357188,0.0075483443759974175,-0.09263376872649037,9.962980722620582e-15,-3.0738188436486487e-15,-9.404068200474789e-17,1.7475527742405892e-16,0.30866837317289536,90.8761827394958,0.017540461262489794,1.720130034949311e-14,5.398315338891076
416.0,3.5415355579417795,0.11861652767622466,-0.02133686957395833,-0.03308820072968657,0.034030520867016884,174.90131298824787,-0.009342896658340009,1.8310279288237998,0.007450219628187564,-0.09393946383485423,1.0842934280366719e-14,-2.097150390501447e-15,-9.957542960902104e-17,1.7811953484171798e-16,0.19362960162044524,91.35921825839962,0.016427244714028996,1.6811278651303197e-14,5.326950403598262
417.00000000000006,3.555699081314546,0.19563348150568205,-0.047655138198590116,-0.0471925628693895,0.056628553112591476,173.1548606503137,-0.013272372546200494,1.8785265877965798,0.0073689010139466075,-0.09540576323857129,1.6191461592133397e-14,-2.528161862343929e-17,-3.095972722929652e-16,3.556996861617423e-16,0.01918466717986141,132.6658012686203,0.02196834943761708,1.6473719020369876e-14,5.270362146228672
418.00000000000006,3.6657902856011577,0.2561327230550551,-0.06876762051402537,-0.04394726195430352,0.07234555018607931,172.48569851680438,-0.011988482299962381,1.9654969503398791,0.00755857429940867,-0.09680230764725742,2.0600149999309955e-14,9.254586621916679e-16,-4.335043227679468e-16,6.650108611912292e-16,0.04960928793358483,167.4503095145688,0.032281845579449915,1.6765975167045913e-14,5.415499620307357
419.0000000000001,3.6998980121565648,0.19021671728472012,-0.06284407305566858,-0.012397190535617228,0.054144511845649446,170.85870181988952,-0.0033506843958629176,1.9501135919517354,0.007712645929865463,-0.09829180112677988,1.4003298417958967e-14,-1.8631038836576245e-15,-3.3505764353161164e-16,4.523675671390152e-16,0.13518188400862557,95.09750285258305,0.032304358133142565,1.6940870039140125e-14,5.524543362432658
420.00000000000017,3.5668820532448056,0.07445779252786633,-0.03384959623861065,0.0027802223377812827,0.022930654785708368,167.77638203274907,0.0007794545197400358,1.8243364971345504,0.007591814136924627,-0.10031457913129296,1.3186406128951185e-14,-4.900718145848693e-15,-1.618149520990446e-16,3.596628617800507e-16,0.3718518012723785,90.94557026724046,0.02727527563332053,1.6512724886110774e-14,5.4365137520294144
421.00000000000006,3.344508611399407,-0.020708872869055983,-0.009964037487849395,0.0014748027252301493,0.0068713487192125465,102.8472255841431,0.0004409624541564757,1.6837449481813709,0.007257906086319375,-0.10282909994713285,1.3193187883474239e-14,-5.76393283980019e-15,-1.433242764630104e-16,4.664299394385142e-16,0.43702208634024176,90.71220332728393,0.03535384651216583,1.5648959854027638e-14,5.201378327904553
422.00000000000006,3.0898447662704864,-0.036179289528299186,-0.006649108189074347,0.00025342218711126886,0.011905196597555468,95.20686789999215,8.201777315083542e-05,1.5633149878344321,0.006875980182333786,-0.1052856901176952,1.146800977545613e-14,-4.818352890511316e-15,-1.465704206259497e-16,5.220906527899672e-16,0.42035032639534936,90.87117712964985,0.04552582906820913,1.466293900165328e-14,4.92011683478407
423.0,2.871944069220355,-0.029139394068901647,-0.009681506463478866,-0.0059507814847263715,0.010691584357593409,99.18948298840253,-0.0020720394761524125,1.4513248507533572,0.00654176659992888,-0.10808827878224245,9.25604971350384e-15,-3.679971529450464e-15,-1.6538928859699746e-16,5.260000587208044e-16,0.39797606121250256,91.28665883067696,0.05682770458259447,1.3769939493775948e-14,4.664424689705354
424.00000000000006,2.7811264058955585,-0.022247150491344514,-0.009977037458771976,-0.008794532064250161,0.008766914941848527,102.07724930770085,-0.0031622194682007663,1.4027541522692868,0.006374349075414527,-0.11104296409066422,7.23736687319002e-15,-2.6511227172374674e-15,-1.0732258522030288e-16,5.059308201834283e-16,0.3666104244238889,91.15908920383657,0.06990537153195728,1.3255703382113629e-14,4.532844156949013
425.0,2.8597013221541547,-0.006731391338241299,-0.006965184754488998,-0.0023066167341948916,0.003387190331087428,112.98895706397663,-0.0008065935824575429,1.4346938374111766,0.006485751988421757,-0.11355235715253079,6.139821579414296e-15,-2.1115480213272657e-15,-3.369462042249702e-17,4.2788183152951484e-16,0.3439541059304442,90.45710438146351,0.0696896198033058,1.3341689315906142e-14,4.605439986646141
426.00000000000006,3.0570805702973924,-0.013618923000176864,0.0003437004857801268,0.008491186410548699,0.004456297103622844,89.27716721511808,0.0027775474722678563,1.5353519147941752,0.006744484197970749,-0.11546421286408126,5.280958261542277e-15,-1.866583970384228e-15,1.3449286679513791e-18,2.012449772427281e-16,0.35345563484332027,89.97935835614496,0.03810766290433728,1.372998417784433e-14,4.78424065487471
427.00000000000017,3.3060338645902565,-0.03828270473066331,-0.00995490473831992,0.012374894446018464,0.011964745651654495,97.28809046490959,0.0037431239221598794,1.6727948594479176,0.007134477756815144,-0.11683803207685126,5.232880994899288e-15,-2.234715534780573e-15,-1.4593565992671717e-17,9.894044714240093e-17,0.42706172513690877,90.18707925920944,0.018907452173829747,1.4400494847424008e-14,5.0651638687078355
428.0,3.489908842303273,-0.04517484953626416,-0.011508334027285953,0.012521571113938607,0.013357852468749393,97.14607530211052,0.0035879364418225346,1.7682632648740721,0.00737368642343895,-0.1182003274962867,5.4822479855177506e-15,-2.129842675782916e-15,-1.075088558678847e-16,6.707578537064684e-17,0.3889926791599085,91.44484381419124,0.01223508778658653,1.4761605765880986e-14,5.240989174756578
429.0000000000001,3.5898061389569156,-0.048111844824649586,-0.01010559481115901,0.013107355359228738,0.013694806126653088,95.93109138555909,0.0036512710859192307,1.8194839190310999,0.007482766853551027,-0.11952360492216134,4.62531432874854e-15,-1.2741894610484003e-15,-1.4284153271188995e-16,6.837781759515476e-17,0.27720732341385107,93.19818559443148,0.01478338827053416,1.4828114344321204e-14,5.31397710749249
430.00000000000006,3.556688480345749,-0.006849312343130132,-0.022803810559230357,0.016027711086848116,0.006694492923257731,126.64096345151493,0.004506357859401296,1.790249353103828,0.007402662121090547,-0.12120676846630668,3.159987707897673e-15,-3.951974204052748e-16,-1.3803332225144592e-16,1.0504212433131692e-16,0.13247198403668273,99.62656385648638,0.03324130789141614,1.4525045983029912e-14,5.254070819262489
431.0000000000001,3.500836164693001,-0.013777422932713224,-0.018305601036735425,0.019560789904627895,0.00654442709969964,116.51681354019094,0.005587462247420893,1.7618735658804132,0.007347663292060856,-0.12300501883452747,1.1498629466035219e-15,2.0056133275441366e-16,-6.03718475554621e-17,7.92689908547438e-17,0.1821527777049909,171.623724617876,0.06893777305277071,1.4295747688887523e-14,5.219399495304211
