wavelength_index,wavelength_nm,frequency_Hz,actual_grid_hash
86,437.20000000000005,685710105215004.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
87,437.40000000000003,685396566072245.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
88,437.6,685083313528336.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
89,437.79999999999995,684770347190498.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
90,438.00000000000006,684457666666666.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
91,438.20000000000005,684145271565495.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
92,438.40000000000003,683833161496350.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
93,438.59999999999997,683521336069311.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
94,438.8,683209794895168.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
95,438.99999999999994,682898537585421.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
96,439.2,682587563752276.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
97,439.4000000000001,682276873008648.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
98,439.6000000000001,681966464968152.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
99,439.79999999999995,681656339245111.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
100,440.00000000000006,681346495454545.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
101,440.20000000000005,681036933212176.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
102,440.4,680727652134423.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
103,440.59999999999997,680418651838402.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
104,440.8,680109931941923.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
105,441.0000000000001,679801492063491.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
106,441.20000000000005,679493331822302.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
107,441.4,679185450838241.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
108,441.6,678877848731884.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
109,441.8,678570525124490.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
110,442.0,678263479638009.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
111,442.2,677956711895070.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
112,442.4,677650221518987.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
113,442.6000000000001,677344008133754.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
114,442.80000000000007,677038071364046.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
115,443.00000000000006,676732410835214.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
