Ex_imag,Ex_real,Ey_imag,Ey_real,Ez_imag,Ez_real,complex_source_normalized,frequency_index,order_efficiency_source_norm,order_fraction_transmitted,order_m,order_n,polarization,total_transmission,ux,uy,wavelength_nm
-3.3177662123130618e-09,1.603987320296577e-09,-2.360815236498191e-09,6.262508241937819e-10,-5.856819566739389e-10,2.831502800724897e-10,True,2,1.9969184074402293e-17,1.9912663802113055e-17,0,-1,x,1.0028384084043662,-0.17384112018145778,0.0,450.5
0.41458351169556124,-0.9113394966346628,-0.010808476696626986,-0.01316765040195004,0.0,0.0,True,2,1.0027093764817538,0.9998713332860697,0,0,x,1.0028384084043662,0.0,0.0,450.5
-5.083181584862261e-09,1.9054835851297706e-09,5.671361229185516e-10,2.324301101837073e-09,8.973289696248626e-10,-3.3637311465982535e-10,True,2,3.6111967863795896e-17,3.600975746556644e-17,0,1,x,1.0028384084043662,0.17384112018145778,0.0,450.5
-3.821693964579298e-09,5.890655730265273e-09,-1.98969794002625e-09,-5.607888734661735e-10,1.417147516383128e-09,-2.1843528590684608e-09,True,2,6.035825624066852e-17,6.01874197625773e-17,0,2,x,1.0028384084043662,0.34768224036291556,0.0,450.5
-0.007856343543372774,-0.0007319230189112241,-0.0017528442893752572,0.0002499265783465119,0.004802026481245529,0.00044737271220906703,True,2,8.865237224467924e-05,8.840145281804234e-05,0,3,x,1.0028384084043662,0.5215233605443733,0.0,450.5
-2.990555294443089e-09,-1.4034059190783527e-09,-7.381490358011387e-10,8.159786135988181e-10,2.893626881967642e-09,1.3579194142651247e-09,True,2,2.2340675907414458e-17,2.2277443424769797e-17,0,4,x,1.0028384084043662,0.6953644807258311,0.0,450.5
7.785592525261868e-10,-7.096270643442042e-10,3.059258903875813e-09,-1.9878285030608777e-09,-1.3686458223677754e-09,1.2474684667897332e-09,True,2,1.7849621241388095e-17,1.77991001260003e-17,0,5,x,1.0028384084043662,0.8692056009072888,0.0,450.5
1.3334026069897384e-09,3.257415316023725e-10,1.0361380301821464e-09,-1.6081420247556089e-09,2.3547129821196905e-09,5.752409731755988e-10,True,3,1.1419348252495513e-17,1.1376661461304946e-17,0,-5,x,1.0037521368932139,-0.870170313005965,0.0,451.0
-2.5379025113552295e-09,-1.712213219065983e-11,6.643918679960405e-10,2.6764294320281395e-10,-2.460930624557092e-09,-1.6602836112569686e-11,True,3,1.3010746816909407e-17,1.2962111201257228e-17,0,-4,x,1.0037521368932139,-0.696136250404772,0.0,451.0
-0.004316498534308353,0.0035805877455448096,-0.0013913774112131404,-0.0009656308618231373,-0.0026423946695204805,0.0021918983401424887,True,3,4.610781018500094e-05,4.593545407306685e-05,0,-3,x,1.0037521368932139,-0.522102187803579,0.0,451.0
