baseline,case,d_per_nm,even,minus,odd,order_n,plus,polarization,total_order_closure,wavelength_nm
0.055030343416788585,,0.003859721758775387,-0.018746291246275783,0.028564608652962026,0.007719443517550774,-1,0.044003495688063575,x,,453.5
0.04710161094733863,,0.00588893471893458,-0.005036986612239301,0.030286754897230175,0.01177786943786916,1,0.05384249377296849,x,,454.0
0.45412122889230216,,-0.13260328702733978,-0.042700351411513515,0.6766274515354682,-0.26520657405467957,0,0.14621430342610908,x,,454.0
0.04365052277878035,,0.009947494031127439,-0.0012951989672570219,0.022460335749268454,0.019894988062254877,-1,0.062250311873778205,x,,454.0
0.01035527012766346,,0.0016546736728674822,0.0007139819633864963,0.007759904745314991,0.0033093473457349643,1,0.01437859943678492,y,,450.0
0.011436981451624488,,0.0018133210062851166,0.0013916758124186395,0.009202015251472894,0.0036266420125702333,1,0.01645529927661336,y,,450.5
0.013910609670632314,,0.002186598046988091,0.0009802331777759594,0.010517646754432092,0.004373196093976182,1,0.019264038942384456,y,,451.0
0.01577498330801858,,0.0024423064125459405,0.0008062865137012307,0.011696656996627927,0.004884612825091881,1,0.02146588264681169,y,,451.5
0.017105157486444873,,0.0026858973366493118,0.001690869280472955,0.013424232093619206,0.0053717946732986235,1,0.024167821440216453,y,,452.0
0.0200782092242493,,0.003292800558383862,0.0017745285106430843,0.01526713661812466,0.006585601116767724,1,0.028438338851660108,y,,452.5
0.02391611922377932,,0.0025502752620910393,-0.0021236814358281016,0.01669188726376914,0.0051005505241820785,1,0.026892988312133298,y,,453.0
0.021420634898387834,,0.0038252895667359255,0.005306500194512429,0.01907655595942841,0.007650579133471851,1,0.03437771422637211,y,,453.5
0.027826250819462297,,0.0040931008898401795,-0.00038196737811010614,0.01925808166167183,0.008186201779680359,1,0.03563048522103255,y,,454.0
-0.08417171356482295,baseline,,,,,directionality,,x,0.925905649705497,450.0
,plus,,,,,directionality,0.20855676422688188,x,0.9211074590946043,450.0
,minus,,,-0.44883312208549675,,directionality,,x,0.938815400318019,450.0
-0.28218433158718115,baseline,,,,,directionality,,x,0.901564107339217,450.5
,plus,,,,,directionality,-0.000667340517713699,x,0.8901006399277529,450.5
,minus,,,-0.36119541662664567,,directionality,,x,0.9398784693185378,450.5
-0.11468680430567721,baseline,,,,,directionality,,x,0.9089580647736888,451.0
,plus,,,,,directionality,-0.19176218204776652,x,0.8393302924408266,451.0
,minus,,,-0.4063066575075746,,directionality,,x,0.8324971755545435,451.0
-0.40705728835454913,baseline,,,,,directionality,,x,0.8291124245107736,451.5
,plus,,,,,directionality,-0.2968572026130794,x,0.7963512884598337,451.5
,minus,,,-0.29100365705496817,,directionality,,x,0.5762785091682873,451.5
-0.31278376106642236,baseline,,,,,directionality,,x,0.6151143845467223,452.0
,plus,,,,,directionality,-0.21379479579796007,x,0.8833557189336093,452.0
,minus,,,-0.1391424834797028,,directionality,,x,0.33202178544389305,452.0
-0.19017230057292744,baseline,,,,,directionality,,x,0.3965149463678033,452.5
,plus,,,,,directionality,-0.045328556288757656,x,0.897291055464468,452.5
,minus,,,-0.029762555555206262,,directionality,,x,0.4553794645438882,452.5
-0.09069536794156818,baseline,,,,,directionality,,x,0.382194345361018,453.0
,plus,,,,,directionality,-0.20958440456338231,x,0.7396513725003591,453.0
,minus,,,0.05003152439956439,,directionality,,x,0.6320029804005582,453.0
-0.012926777180211409,baseline,,,,,directionality,,x,0.5114684063717723,453.5
,plus,,,,,directionality,-0.13927635961544527,x,0.48580715593987817,453.5
,minus,,,0.1144713923502873,,directionality,,x,0.738231739009226,453.5
0.03802762565311498,baseline,,,,,directionality,,x,0.6372083518500261,454.0
,plus,,,,,directionality,-0.07242324840002112,x,0.35941329467771455,454.0
,minus,,,0.14837631899762876,,directionality,,x,0.7984886364847104,454.0
