case_id,attempt_id,solver_entered,entered_utc,pre_fsp_sha256,physical_contract_sha256,geometry_hash_sha256,input_polarization,wavelengths_nm
LPML_R1_PHASE_REGION_131,LPML_R1_PHASE_REGION_131_x,True,1785739407.0796854,4137813fa5b1b611f0a37ae6d4053dcfc4b7d7e38a7978f02965ae88693631c8,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,4ff14cb9d736ddc63d8436ddd49ed8e1d434f4b2fdbbf809d160b31a55be1b0c,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_131,LPML_R1_PHASE_REGION_131_y,True,1785739427.8756576,9c0536b1cfcac06c5ab0fe38c0a8c0797707877057a862e713bf89c48a327264,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,4ff14cb9d736ddc63d8436ddd49ed8e1d434f4b2fdbbf809d160b31a55be1b0c,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_132,LPML_R1_PHASE_REGION_132_x,True,1785739448.5904002,3e686e5e358276e1283a98c060e927be0d6e9cbfe2ea25cab3e1617e4587c6a1,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,6b368ed8b539d54a0118df9c94681f475648a571e42fb255a50d60e6f81c6637,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PHASE_REGION_132,LPML_R1_PHASE_REGION_132_y,True,1785739469.2842996,68fb7975da8afc20d5e3ad0589bb166500504f2942cba8b9a6be0b3efbc775ec,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,6b368ed8b539d54a0118df9c94681f475648a571e42fb255a50d60e6f81c6637,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PROJECTOR_REGION_193,LPML_R1_PROJECTOR_REGION_193_x,True,1785739489.9819617,49512bf3d0ce48f65ca04394cb528d3b5b5c306c3d18c243e4bec2588cfce493,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,cc42a6f8a94233d2fb9f9f09e42e4871e76b84f4725b61a1171fdff67dd8ed13,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PROJECTOR_REGION_193,LPML_R1_PROJECTOR_REGION_193_y,True,1785739511.0124052,ae138fc30e473418e290bf1956819d87414aec63e6dc2924bf44e89107069f48,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,cc42a6f8a94233d2fb9f9f09e42e4871e76b84f4725b61a1171fdff67dd8ed13,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PROJECTOR_REGION_194,LPML_R1_PROJECTOR_REGION_194_x,True,1785739532.0268188,49e2ba489f061ef1a15d7cae590cf4039a5bd1d3bb1345912666cf23dc96e874,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,8ee9bd0400012d9225c93e637ce1b43740b668ba2a7cc342f7e6a6c3b6257293,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_PROJECTOR_REGION_194,LPML_R1_PROJECTOR_REGION_194_y,True,1785739552.9808846,9be41eee980c0e2c5d6091e41a95a0057d2d557b1c3faf5fc435db69a5a6e179,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,8ee9bd0400012d9225c93e637ce1b43740b668ba2a7cc342f7e6a6c3b6257293,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_BOUNDARY_FAILURE_225,LPML_R1_BOUNDARY_FAILURE_225_x,True,1785739573.7787068,7ac53e4fff2493e1852b84fa7aaafef6c1a78ac4324b640edbd141e707dee8a5,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,6576c3943bc2e4f4d2cc6a2066a4137dc5d0df6c33d7c13ebc2ca4338b4f5713,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_BOUNDARY_FAILURE_225,LPML_R1_BOUNDARY_FAILURE_225_y,True,1785739596.519604,8e9379e89984118c45e1d0b1cea0d5164a32a4199eb31396538cf822b8bca706,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,6576c3943bc2e4f4d2cc6a2066a4137dc5d0df6c33d7c13ebc2ca4338b4f5713,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_BOUNDARY_FAILURE_226,LPML_R1_BOUNDARY_FAILURE_226_x,True,1785739619.7071393,78aed7520671e2d322d510502c6e6650d15019f00f0524dca35d2c8772341b33,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,b5b20f15f6a74b38854e2d73a42cd4061159d215cc1d90b460d814d45c6bd65c,x,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
LPML_R1_BOUNDARY_FAILURE_226,LPML_R1_BOUNDARY_FAILURE_226_y,True,1785739640.5896575,fc6a6cbf84078ed6bb16905090ea8ecee787bc4bcc94f60c919c2fed1be3f983,ca7f60b5a8ce1d67e6b59b10a696edd0f65832cc5599cbed551a49688b91e9c2,b5b20f15f6a74b38854e2d73a42cd4061159d215cc1d90b460d814d45c6bd65c,y,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]"
