full_path,relative_path,name,extension,is_directory,size_bytes,last_modified,depth,category,priority_name_match
F:\wc_312\al_grating_h1\h1_12.fsp,al_grating_h1\h1_12.fsp,h1_12.fsp,.fsp,False,492277,2026-03-17T21:09:03,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_12_p0.log,al_grating_h1\h1_12_p0.log,h1_12_p0.log,.log,False,4512,2026-03-17T21:09:03,2,file,False
F:\wc_312\al_grating_h1\h1_13.fsp,al_grating_h1\h1_13.fsp,h1_13.fsp,.fsp,False,492277,2026-03-17T21:09:08,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_13_p0.log,al_grating_h1\h1_13_p0.log,h1_13_p0.log,.log,False,4511,2026-03-17T21:09:08,2,file,False
F:\wc_312\al_grating_h1\h1_14.fsp,al_grating_h1\h1_14.fsp,h1_14.fsp,.fsp,False,492277,2026-03-17T21:09:08,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_14_p0.log,al_grating_h1\h1_14_p0.log,h1_14_p0.log,.log,False,4512,2026-03-17T21:09:08,2,file,False
F:\wc_312\al_grating_h1\h1_15.fsp,al_grating_h1\h1_15.fsp,h1_15.fsp,.fsp,False,492285,2026-03-17T21:09:08,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_15_p0.log,al_grating_h1\h1_15_p0.log,h1_15_p0.log,.log,False,4512,2026-03-17T21:09:08,2,file,False
F:\wc_312\al_grating_h1\h1_16.fsp,al_grating_h1\h1_16.fsp,h1_16.fsp,.fsp,False,492285,2026-03-17T21:09:08,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_16_p0.log,al_grating_h1\h1_16_p0.log,h1_16_p0.log,.log,False,4512,2026-03-17T21:09:08,2,file,False
F:\wc_312\al_grating_h1\h1_17.fsp,al_grating_h1\h1_17.fsp,h1_17.fsp,.fsp,False,492285,2026-03-17T21:09:13,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_17_p0.log,al_grating_h1\h1_17_p0.log,h1_17_p0.log,.log,False,4512,2026-03-17T21:09:13,2,file,False
F:\wc_312\al_grating_h1\h1_18.fsp,al_grating_h1\h1_18.fsp,h1_18.fsp,.fsp,False,492293,2026-03-17T21:09:13,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_18_p0.log,al_grating_h1\h1_18_p0.log,h1_18_p0.log,.log,False,4512,2026-03-17T21:09:13,2,file,False
F:\wc_312\al_grating_h1\h1_19.fsp,al_grating_h1\h1_19.fsp,h1_19.fsp,.fsp,False,492293,2026-03-17T21:09:13,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_19_p0.log,al_grating_h1\h1_19_p0.log,h1_19_p0.log,.log,False,4512,2026-03-17T21:09:13,2,file,False
F:\wc_312\al_grating_h1\h1_1_p0.log,al_grating_h1\h1_1_p0.log,h1_1_p0.log,.log,False,4511,2026-03-17T21:08:53,2,file,False
F:\wc_312\al_grating_h1\h1_2.fsp,al_grating_h1\h1_2.fsp,h1_2.fsp,.fsp,False,492245,2026-03-17T21:08:53,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_20.fsp,al_grating_h1\h1_20.fsp,h1_20.fsp,.fsp,False,492293,2026-03-17T21:09:13,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_20_p0.log,al_grating_h1\h1_20_p0.log,h1_20_p0.log,.log,False,4512,2026-03-17T21:09:13,2,file,False
F:\wc_312\al_grating_h1\h1_21.fsp,al_grating_h1\h1_21.fsp,h1_21.fsp,.fsp,False,492301,2026-03-17T21:09:19,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_21_p0.log,al_grating_h1\h1_21_p0.log,h1_21_p0.log,.log,False,4510,2026-03-17T21:09:19,2,file,False
F:\wc_312\al_grating_h1\h1_22.fsp,al_grating_h1\h1_22.fsp,h1_22.fsp,.fsp,False,492301,2026-03-17T21:09:19,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_22_p0.log,al_grating_h1\h1_22_p0.log,h1_22_p0.log,.log,False,4511,2026-03-17T21:09:19,2,file,False
F:\wc_312\al_grating_h1\h1_23.fsp,al_grating_h1\h1_23.fsp,h1_23.fsp,.fsp,False,492301,2026-03-17T21:09:19,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_23_p0.log,al_grating_h1\h1_23_p0.log,h1_23_p0.log,.log,False,4512,2026-03-17T21:09:19,2,file,False
F:\wc_312\al_grating_h1\h1_24.fsp,al_grating_h1\h1_24.fsp,h1_24.fsp,.fsp,False,492309,2026-03-17T21:09:19,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_24_p0.log,al_grating_h1\h1_24_p0.log,h1_24_p0.log,.log,False,4510,2026-03-17T21:09:19,2,file,False
F:\wc_312\al_grating_h1\h1_25.fsp,al_grating_h1\h1_25.fsp,h1_25.fsp,.fsp,False,492309,2026-03-17T21:09:24,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_25_p0.log,al_grating_h1\h1_25_p0.log,h1_25_p0.log,.log,False,4512,2026-03-17T21:09:24,2,file,False
F:\wc_312\al_grating_h1\h1_26.fsp,al_grating_h1\h1_26.fsp,h1_26.fsp,.fsp,False,492301,2026-03-17T21:09:24,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_26_p0.log,al_grating_h1\h1_26_p0.log,h1_26_p0.log,.log,False,4512,2026-03-17T21:09:24,2,file,False
F:\wc_312\al_grating_h1\h1_27.fsp,al_grating_h1\h1_27.fsp,h1_27.fsp,.fsp,False,492317,2026-03-17T21:09:24,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_27_p0.log,al_grating_h1\h1_27_p0.log,h1_27_p0.log,.log,False,4512,2026-03-17T21:09:24,2,file,False
F:\wc_312\al_grating_h1\h1_28.fsp,al_grating_h1\h1_28.fsp,h1_28.fsp,.fsp,False,492301,2026-03-17T21:09:24,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_28_p0.log,al_grating_h1\h1_28_p0.log,h1_28_p0.log,.log,False,4511,2026-03-17T21:09:24,2,file,False
F:\wc_312\al_grating_h1\h1_29.fsp,al_grating_h1\h1_29.fsp,h1_29.fsp,.fsp,False,492309,2026-03-17T21:09:29,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_29_p0.log,al_grating_h1\h1_29_p0.log,h1_29_p0.log,.log,False,4513,2026-03-17T21:09:29,2,file,False
F:\wc_312\al_grating_h1\h1_2_p0.log,al_grating_h1\h1_2_p0.log,h1_2_p0.log,.log,False,4512,2026-03-17T21:08:53,2,file,False
F:\wc_312\al_grating_h1\h1_3.fsp,al_grating_h1\h1_3.fsp,h1_3.fsp,.fsp,False,492253,2026-03-17T21:08:52,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_30.fsp,al_grating_h1\h1_30.fsp,h1_30.fsp,.fsp,False,492325,2026-03-17T21:09:29,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_30_p0.log,al_grating_h1\h1_30_p0.log,h1_30_p0.log,.log,False,4512,2026-03-17T21:09:30,2,file,False
F:\wc_312\al_grating_h1\h1_31.fsp,al_grating_h1\h1_31.fsp,h1_31.fsp,.fsp,False,492309,2026-03-17T21:09:30,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_31_p0.log,al_grating_h1\h1_31_p0.log,h1_31_p0.log,.log,False,4511,2026-03-17T21:09:30,2,file,False
F:\wc_312\al_grating_h1\h1_32.fsp,al_grating_h1\h1_32.fsp,h1_32.fsp,.fsp,False,492333,2026-03-17T21:09:29,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_32_p0.log,al_grating_h1\h1_32_p0.log,h1_32_p0.log,.log,False,4513,2026-03-17T21:09:29,2,file,False
F:\wc_312\al_grating_h1\h1_33.fsp,al_grating_h1\h1_33.fsp,h1_33.fsp,.fsp,False,492317,2026-03-17T21:09:35,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_33_p0.log,al_grating_h1\h1_33_p0.log,h1_33_p0.log,.log,False,4512,2026-03-17T21:09:35,2,file,False
F:\wc_312\al_grating_h1\h1_34.fsp,al_grating_h1\h1_34.fsp,h1_34.fsp,.fsp,False,492317,2026-03-17T21:09:35,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_34_p0.log,al_grating_h1\h1_34_p0.log,h1_34_p0.log,.log,False,4512,2026-03-17T21:09:35,2,file,False
F:\wc_312\al_grating_h1\h1_35.fsp,al_grating_h1\h1_35.fsp,h1_35.fsp,.fsp,False,492341,2026-03-17T21:09:34,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_35_p0.log,al_grating_h1\h1_35_p0.log,h1_35_p0.log,.log,False,4511,2026-03-17T21:09:34,2,file,False
F:\wc_312\al_grating_h1\h1_36.fsp,al_grating_h1\h1_36.fsp,h1_36.fsp,.fsp,False,492325,2026-03-17T21:09:35,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_36_p0.log,al_grating_h1\h1_36_p0.log,h1_36_p0.log,.log,False,4512,2026-03-17T21:09:35,2,file,False
F:\wc_312\al_grating_h1\h1_37.fsp,al_grating_h1\h1_37.fsp,h1_37.fsp,.fsp,False,492325,2026-03-17T21:09:39,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_37_p0.log,al_grating_h1\h1_37_p0.log,h1_37_p0.log,.log,False,4512,2026-03-17T21:09:39,2,file,False
F:\wc_312\al_grating_h1\h1_38.fsp,al_grating_h1\h1_38.fsp,h1_38.fsp,.fsp,False,492333,2026-03-17T21:09:39,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_38_p0.log,al_grating_h1\h1_38_p0.log,h1_38_p0.log,.log,False,4513,2026-03-17T21:09:39,2,file,False
F:\wc_312\al_grating_h1\h1_39.fsp,al_grating_h1\h1_39.fsp,h1_39.fsp,.fsp,False,492333,2026-03-17T21:09:39,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_39_p0.log,al_grating_h1\h1_39_p0.log,h1_39_p0.log,.log,False,4512,2026-03-17T21:09:39,2,file,False
F:\wc_312\al_grating_h1\h1_3_p0.log,al_grating_h1\h1_3_p0.log,h1_3_p0.log,.log,False,4510,2026-03-17T21:08:52,2,file,False
F:\wc_312\al_grating_h1\h1_4.fsp,al_grating_h1\h1_4.fsp,h1_4.fsp,.fsp,False,492269,2026-03-17T21:08:52,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_40.fsp,al_grating_h1\h1_40.fsp,h1_40.fsp,.fsp,False,492333,2026-03-17T21:09:40,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_40_p0.log,al_grating_h1\h1_40_p0.log,h1_40_p0.log,.log,False,4513,2026-03-17T21:09:40,2,file,False
F:\wc_312\al_grating_h1\h1_41.fsp,al_grating_h1\h1_41.fsp,h1_41.fsp,.fsp,False,492341,2026-03-17T21:09:45,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_41_p0.log,al_grating_h1\h1_41_p0.log,h1_41_p0.log,.log,False,4512,2026-03-17T21:09:45,2,file,False
F:\wc_312\al_grating_h1\h1_42.fsp,al_grating_h1\h1_42.fsp,h1_42.fsp,.fsp,False,492341,2026-03-17T21:09:45,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_42_p0.log,al_grating_h1\h1_42_p0.log,h1_42_p0.log,.log,False,4513,2026-03-17T21:09:45,2,file,False
F:\wc_312\al_grating_h1\h1_43.fsp,al_grating_h1\h1_43.fsp,h1_43.fsp,.fsp,False,492341,2026-03-17T21:09:45,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_43_p0.log,al_grating_h1\h1_43_p0.log,h1_43_p0.log,.log,False,4511,2026-03-17T21:09:45,2,file,False
F:\wc_312\al_grating_h1\h1_44.fsp,al_grating_h1\h1_44.fsp,h1_44.fsp,.fsp,False,492349,2026-03-17T21:09:45,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_44_p0.log,al_grating_h1\h1_44_p0.log,h1_44_p0.log,.log,False,4512,2026-03-17T21:09:45,2,file,False
F:\wc_312\al_grating_h1\h1_45.fsp,al_grating_h1\h1_45.fsp,h1_45.fsp,.fsp,False,492349,2026-03-17T21:09:50,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_45_p0.log,al_grating_h1\h1_45_p0.log,h1_45_p0.log,.log,False,4513,2026-03-17T21:09:50,2,file,False
F:\wc_312\al_grating_h1\h1_46.fsp,al_grating_h1\h1_46.fsp,h1_46.fsp,.fsp,False,492349,2026-03-17T21:09:50,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_46_p0.log,al_grating_h1\h1_46_p0.log,h1_46_p0.log,.log,False,4513,2026-03-17T21:09:50,2,file,False
F:\wc_312\al_grating_h1\h1_47.fsp,al_grating_h1\h1_47.fsp,h1_47.fsp,.fsp,False,492357,2026-03-17T21:09:50,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_47_p0.log,al_grating_h1\h1_47_p0.log,h1_47_p0.log,.log,False,4513,2026-03-17T21:09:50,2,file,False
F:\wc_312\al_grating_h1\h1_48.fsp,al_grating_h1\h1_48.fsp,h1_48.fsp,.fsp,False,492357,2026-03-17T21:09:50,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_48_p0.log,al_grating_h1\h1_48_p0.log,h1_48_p0.log,.log,False,4513,2026-03-17T21:09:50,2,file,False
F:\wc_312\al_grating_h1\h1_49.fsp,al_grating_h1\h1_49.fsp,h1_49.fsp,.fsp,False,492357,2026-03-17T21:09:55,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_49_p0.log,al_grating_h1\h1_49_p0.log,h1_49_p0.log,.log,False,4513,2026-03-17T21:09:55,2,file,False
