candidate_path,name,extension,category,size_bytes,last_modified,baseline_role,confidence,score,evidence,needs_gui_lumerical_audit
F:\wc_312\MDC_blue_oujizi_source1\source1_31.fsp,source1_31.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:24:34,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_32.fsp,source1_32.fsp,.fsp,heavy_binary_not_opened,731334,2026-04-05T15:24:35,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_33.fsp,source1_33.fsp,.fsp,heavy_binary_not_opened,727438,2026-04-05T15:24:34,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_34.fsp,source1_34.fsp,.fsp,heavy_binary_not_opened,727438,2026-04-05T15:24:46,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_35.fsp,source1_35.fsp,.fsp,heavy_binary_not_opened,730030,2026-04-05T15:24:46,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_36.fsp,source1_36.fsp,.fsp,heavy_binary_not_opened,726158,2026-04-05T15:24:46,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_37.fsp,source1_37.fsp,.fsp,heavy_binary_not_opened,727438,2026-04-05T15:24:46,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_38.fsp,source1_38.fsp,.fsp,heavy_binary_not_opened,726134,2026-04-05T15:24:58,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_39.fsp,source1_39.fsp,.fsp,heavy_binary_not_opened,723574,2026-04-05T15:24:58,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_4.fsp,source1_4.fsp,.fsp,heavy_binary_not_opened,715782,2026-04-05T15:23:18,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_40.fsp,source1_40.fsp,.fsp,heavy_binary_not_opened,728774,2026-04-05T15:24:58,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_41.fsp,source1_41.fsp,.fsp,heavy_binary_not_opened,724878,2026-04-05T15:24:58,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_42.fsp,source1_42.fsp,.fsp,heavy_binary_not_opened,719654,2026-04-05T15:25:09,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_43.fsp,source1_43.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:25:09,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_44.fsp,source1_44.fsp,.fsp,heavy_binary_not_opened,723574,2026-04-05T15:25:09,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_45.fsp,source1_45.fsp,.fsp,heavy_binary_not_opened,718422,2026-04-05T15:25:09,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_46.fsp,source1_46.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:25:20,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_47.fsp,source1_47.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:25:20,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_48.fsp,source1_48.fsp,.fsp,heavy_binary_not_opened,715782,2026-04-05T15:25:20,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_49.fsp,source1_49.fsp,.fsp,heavy_binary_not_opened,727438,2026-04-05T15:25:20,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_5.fsp,source1_5.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:23:26,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_50.fsp,source1_50.fsp,.fsp,heavy_binary_not_opened,730030,2026-04-05T15:25:26,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_51.fsp,source1_51.fsp,.fsp,heavy_binary_not_opened,715782,2026-04-05T15:25:27,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_52.fsp,source1_52.fsp,.fsp,heavy_binary_not_opened,1223795,2026-04-02T19:05:08,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_53.fsp,source1_53.fsp,.fsp,heavy_binary_not_opened,1228227,2026-04-02T19:05:22,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_54.fsp,source1_54.fsp,.fsp,heavy_binary_not_opened,1228251,2026-04-02T19:05:23,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_55.fsp,source1_55.fsp,.fsp,heavy_binary_not_opened,1228227,2026-04-02T19:05:22,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_56.fsp,source1_56.fsp,.fsp,heavy_binary_not_opened,1232683,2026-04-02T19:05:22,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_57.fsp,source1_57.fsp,.fsp,heavy_binary_not_opened,1232683,2026-04-02T19:05:36,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_58.fsp,source1_58.fsp,.fsp,heavy_binary_not_opened,1237115,2026-04-02T19:05:37,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_59.fsp,source1_59.fsp,.fsp,heavy_binary_not_opened,1237115,2026-04-02T19:05:37,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_6.fsp,source1_6.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:23:29,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
