geometry_uid,wavelength_nm,useful_power,DoLP,x_fidelity,leakage,rank_contrast,rank_one_error,total_power
H1C1B_V2_015,440.0,0.2456988318349933,0.15735349118856376,0.45509613684022,0.29418452894434877,1.1871224112177654,0.8423731121158661,0.5398833607793421
H1C1B_V2_015,441.0,0.43143269063135065,0.20432047520204566,0.6007183810470341,0.2867618981198316,1.231326064430278,0.8121325690142763,0.7181945887511823
H1C1B_V2_015,442.0,0.4687756554999498,0.255553861567014,0.6269818861785582,0.2788945178078117,1.2991576150286057,0.7697295450775473,0.7476701733077615
H1C1B_V2_015,443.0,0.4797553800495041,0.28668373384092877,0.6432695795961577,0.26605228017079224,1.3432275068166937,0.7444755225195572,0.7458076602202963
H1C1B_V2_015,444.0,0.4888604106119829,0.31656305647009925,0.6577259267727812,0.2543981271966767,1.3882782912163933,0.7203166730524985,0.7432585378086596
H1C1B_V2_015,445.0,0.4856071245728109,0.34313681757062026,0.6715682747232923,0.2374870757494075,1.4302821750156267,0.6991627368837722,0.7230942003222184
H1C1B_V2_015,446.0,0.41044009356409267,0.5347977981075209,0.7322882356366326,0.15004971576251297,1.8476439678196712,0.5412298134364376,0.5604898093266056
H1C1B_V2_015,447.0,0.5040140664924467,0.4925721129747202,0.7462713163132982,0.17136237566046655,1.7155446507652967,0.5829052595943245,0.6753764421529133
H1C1B_V2_015,448.0,0.48709342275646306,0.5527213617152402,0.7763148102898614,0.1403497437272364,1.8632320523080175,0.5367018019904085,0.6274431664836995
H1C1B_V2_015,449.0,0.5088126577176508,0.674737359487543,0.8372796007844111,0.09888476765968576,2.269774120893928,0.44057247406017647,0.6076974253773366
H1C1B_V2_015,450.0,0.4831736290239642,0.7909905475963805,0.8954810575656864,0.05639515910589734,2.9280880297098184,0.341519786923586,0.5395687881298615
H1C1B_V2_015,451.0,0.40359908508185954,0.9304503469805425,0.9643157291779849,0.014935086735394693,5.279320047030855,0.18941833249196752,0.4185341718172542
H1C1B_V2_015,452.0,0.4847104957675049,0.9998761714617206,0.9998808921990323,5.7739678502960546e-05,959.2307167315706,0.0010425020618682274,0.4847682354460079
H1C1B_V2_015,453.0,0.022648958567282416,0.12137028673502054,0.46010070681770415,0.026577130920678593,1.4464444157816854,0.6913504515550855,0.049226089487961006
H1C1B_V2_015,454.0,0.3731401349076181,0.5920969029982198,0.7959193187848925,0.09567639724702362,1.976463946366082,0.5059540811956604,0.4688165321546417
H1C1B_V2_015,455.0,0.45318571693836684,0.4169961663055226,0.7083405334499242,0.18659938011256252,1.5590682812994698,0.6414087259645284,0.6397850970509293
