model,held_out_case,case_id,u_x,polarization,wavelength_nm,output,truth,prediction,error
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,T,0.6958243059604862,0.7027670075651624,0.006942701604676249
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,T,0.6943242507858663,0.7374614718119259,0.04313722102605955
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,T,0.6921109425615171,0.8368586031878689,0.1447476606263518
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,T,0.6802213303439733,0.8401270810022143,0.15990575065824109
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,T,0.6996031578630661,0.8375848532104786,0.13798169534741245
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,T,0.7092578344421673,0.845158242867871,0.13590040842570372
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,T,0.7018469621341394,0.8465286700571066,0.1446817079229672
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,T,0.7020825269967417,0.8396881236830132,0.13760559668627148
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,T,0.7027215594439821,0.8721530085010087,0.16943144905702667
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,T,0.7044551554379667,0.8638021080762508,0.15934695263828413
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,T,0.7086329341878692,0.8601000478152552,0.15146711362738596
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,R,0.30173946832652304,0.29523329602299747,-0.00650617230352557
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,R,0.3032532817485577,0.26053883177377235,-0.04271444997478535
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,R,0.3099471308227058,0.16114170040017065,-0.14880543042253516
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,R,0.3160412374293879,0.15787322258542227,-0.15816801484396562
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,R,0.2969364243816374,0.16041545037775096,-0.13652097400388646
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,R,0.29750575344764385,0.15284206071958845,-0.1446636927280554
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,R,0.3011684581218697,0.15147163353107218,-0.14969682459079753
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,R,0.30258596293252243,0.158312179904776,-0.14427378302774643
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,R,0.30338136119150905,0.1258472950870135,-0.17753406610449554
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,R,0.30031191747519703,0.13419819551265724,-0.1661137219625398
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,R,0.2975758174378378,0.13790025577308304,-0.15967556166475474
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_0,0.07301322512883401,0.03274681023709847,-0.04026641489173555
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_0,0.0729281935767866,0.02318515670247548,-0.04974303687431113
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_0,0.0723217123524477,0.031287246891914,-0.04103446546053371
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_0,0.07032698105434528,0.03409249455413584,-0.03623448650020943
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_0,0.07294011973117413,0.0337125368364179,-0.03922758289475623
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,eta_0,0.07824369204760351,0.03368226328313063,-0.04456142876447288
