u_x,wavelength_nm,output,hf_P_minus_S,rcwa_P_minus_S
-0.3786893999886029,447,R,0.08232879313777902,-0.022218412420773298
-0.3786893999886029,447,eta_0,0.05896194214789993,0.0056539002335835205
-0.3786893999886029,447,eta_minus1,0.021940304894450414,0.0017523341713457583
-0.3786893999886029,448,eta_plus1,-0.18106041501966563,0.02614002946102789
-0.3786893999886029,448,T,-0.08139948795327001,0.03306973449399275
-0.3786893999886029,448,R,0.08029670827534546,-0.03306973450084161
-0.3786893999886029,448,eta_0,0.05639386710431281,0.009266488790159667
-0.3786893999886029,448,eta_minus1,0.020043334401612323,0.002155928950935946
-0.3786893999886029,449,eta_plus1,-0.21428375089655943,0.05500606562752419
-0.3786893999886029,449,T,-0.05180912058384457,0.04494850421225316
-0.3786893999886029,449,R,0.049864540211741026,-0.04494850421266672
-0.3786893999886029,449,eta_0,0.05789303478294393,0.011132204121330948
-0.3786893999886029,449,eta_minus1,0.021835626049042007,0.0024313539351704166
-0.3786893999886029,450,eta_plus1,-0.1450147413558115,0.09943099846348791
-0.3786893999886029,450,T,-0.028056570263425895,0.07756055138291895
-0.3786893999886029,450,R,0.03472441708750473,-0.07756055138351176
-0.3786893999886029,450,eta_0,0.061452708321812356,0.01474084261930639
-0.3786893999886029,450,eta_minus1,0.026484994803747004,0.0005754977058077748
-0.3786893999886029,451,eta_plus1,-0.13321725286472375,0.12853252686668282
-0.3786893999886029,451,T,-0.015789671368342084,0.10686935712605905
-0.3786893999886029,451,R,0.017604171901988486,-0.10686935712700191
-0.3786893999886029,451,eta_0,0.05896444998670562,0.021616287511011516
-0.3786893999886029,451,eta_minus1,0.029726577733069158,-0.004133331474261532
-0.3786893999886029,452,eta_plus1,-0.11011877035289053,0.1320282977701963
-0.3786893999886029,452,T,0.01038291556761628,0.11644230110921494
-0.3786893999886029,452,R,-0.007600351722323817,-0.11644230110936574
-0.3786893999886029,452,eta_0,0.05619568532362768,0.0295017180829013
-0.3786893999886029,452,eta_minus1,0.035013209998940885,-0.01270549370014688
-0.3786893999886029,453,eta_plus1,-0.0767333012117708,0.1900032880110467
-0.3786893999886029,453,T,0.04159986091654111,0.14167977563547873
-0.3786893999886029,453,R,-0.036875153414729744,-0.14167977563637998
-0.3786893999886029,453,eta_0,0.05135583230967021,0.02206839974258937
-0.3786893999886029,453,eta_minus1,0.04071960821190261,-0.022173743700771312
-0.3786893999886029,454,eta_plus1,-0.04344631792572862,0.1500322892158379
-0.3786893999886029,454,T,0.06691010031771405,0.11107310612147092
-0.3786893999886029,454,R,-0.061849056311537254,-0.11107310612148287
-0.3786893999886029,454,eta_0,0.04567530854762696,0.026622591519017247
-0.3786893999886029,454,eta_minus1,0.04521569188639542,-0.036521930166260166
-0.3786893999886029,455,eta_plus1,-0.028731608160444178,0.15024423144591637
-0.3786893999886029,455,T,0.07131757767995606,0.08606284106194528
-0.3786893999886029,455,R,-0.06378879497438777,-0.08606284106409268
-0.3786893999886029,455,eta_0,0.043778940382105946,0.026635267507444407
-0.3786893999886029,455,eta_minus1,0.047107983310239604,-0.048033862524698066
