geometry_id,wavelength_nm,diffraction_order_m,diffraction_order_n,J_xy_column_convention,txx_real,txx_imag,txy_real,txy_imag,tyx_real,tyx_imag,tyy_real,tyy_imag,S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1
BF02,441.0,0,0,x-input then y-input,0.3957784124437194,-0.10923240191432769,0.014253204304475825,-0.48530830836400846,0.015109388002136768,-0.4858619002322427,-0.5738637601673127,-0.1267320524902848,0.4929851427246884,-0.0886855653401637,0.1123765525504686,-0.47095040531215404,0.29038588243881147,64.13993516099877,0.31807053421201026,0.2464925713623442,0.9553034452706827,0.9925787798264897,0.027525466163774465,0.027731265994409154
BF02,442.0,0,0,x-input then y-input,0.3820435011539619,-0.0965147440870849,-0.07729688006824813,-0.47999529485798126,-0.07689383707290895,-0.48068861005214925,-0.5995990677611974,-0.09510682990378844,0.49859058826118285,-0.10694796490692457,0.10901471554471075,-0.4715186186579827,0.3062947277541176,67.22584968429972,0.32565312837670357,0.24929529413059143,0.9457030071554045,0.9971075163009537,0.05438545263679486,0.054543218005770076
BF02,443.0,0,0,x-input then y-input,0.40537223891836366,-0.14035379339661508,-0.10728447299671535,-0.45978144671765037,-0.10727052091233674,-0.4604791683012227,-0.5913974525178327,-0.01701438563974354,0.4902616207789675,-0.0833268444805024,0.09241616968845084,-0.4718094928662693,0.2538138094362145,66.01966698371118,0.30734839518462503,0.24513081038948376,0.9623626914067228,0.989042242263309,0.048152721384170524,0.04868621311257503
BF02,444.0,0,0,x-input then y-input,0.3728445634966341,-0.10530189454681532,-0.22601115734505733,-0.3910133346644837,-0.2261714106319837,-0.3912251072642472,-0.704425738230415,0.021760354138197605,0.5274868769444521,-0.17341284829041598,0.10756945184275207,-0.4500403721307133,0.38686585743773677,74.09416199471097,0.36577676994036074,0.26374343847222603,0.8531783287911172,1.0107581997941555,0.18259686590350174,0.18065336095288492
BF02,445.0,0,0,x-input then y-input,0.26916120159733187,-0.30142026286378854,-0.1612554055415617,-0.5564824912925898,-0.16172726961597617,-0.5567878341867367,-0.4704233455594386,0.032097845700252974,0.5287373970117518,-0.029759400769976074,0.18229284734303747,-0.46557186502888437,0.3493340830294859,49.63588808751881,0.35672169538012466,0.2643686985058759,0.8805351534809944,1.0146970488931848,0.1669272086598406,0.16450940587825905
BF02,446.0,0,0,x-input then y-input,0.1231279425284816,-0.23917884692492924,-0.23888371677026196,-0.6111688231283416,-0.239225326711434,-0.6107873207383158,-0.3995455310699939,0.07616059191168097,0.5493433734114581,-0.046383601861765544,0.16553002696540298,-0.3948059212005948,0.3129297246975849,52.826771095653,0.36062462200877415,0.27467168670572906,0.7186869639453815,0.989924988408427,0.3445798371168745,0.3480868158211463
BF02,447.0,0,0,x-input then y-input,0.03951237255635806,0.08487054439133988,-0.5346758728237639,-0.620397465642558,-0.5345709143279077,-0.6199031419763121,-0.38850750859929367,-0.06051908397533729,0.7520910764433004,-0.0725555351974228,0.17153779532607277,-0.18779549905093712,0.24764451602851606,56.46347950898095,0.4691711535392336,0.3760455382216502,0.24969781577390499,1.0082580570386748,0.6982820657178572,0.6925628422635779
BF02,448.0,0,0,x-input then y-input,0.4167523289353792,0.2907904046550505,-0.7253409280123441,-0.3228249631831635,-0.7250384323603788,-0.322775211059988,-0.5526872671241067,-0.13396900379831433,0.9209262281553858,-0.03234924633885594,0.04811384446468425,-0.00493114691650498,0.06295587646880942,61.95741694827066,0.48945197300601145,0.4604631140776929,0.005354551500158772,0.9895015266262631,0.9288375450610651,0.9386923820400421
BF02,449.0,0,0,x-input then y-input,0.6858115595423777,0.09075771688117208,-0.6552672325798484,-0.07314063719102737,-0.6552723627311429,-0.07331057111446945,-0.7121043472998333,-0.0365063559739488,0.9282403909715982,-0.014941233694604206,0.013241882033430352,-0.018968560387533136,0.021508077632892288,69.22528719277479,0.4741025286813008,0.4641201954857991,0.02043496552404767,0.9776396823985688,0.9490529138793167,0.970759402432278
BF02,450.0,0,0,x-input then y-input,0.6080029361608317,-0.050015781902911303,-0.5499216731497208,-0.02344075225371557,-0.5508190546481498,-0.023465346424241522,-0.735599578760172,0.10695562153457654,0.7658154814909208,-0.09068301720536037,0.06828906602311191,-0.11787686705993693,0.14823423148904794,71.5091679817014,0.43966777542607133,0.3829077407454604,0.15392332736659936,0.9640885976369332,0.7759923574934827,0.8048973500936625
