geometry_id,geometry_hash,case_hash,source_position,source_position_nm,dipole_orientation,case_count_per_geometry,solver_authorized,source_role,test_case_human_id,test_case_uid,test_geometry_id,source_z_pm,physics_contract_id,case_identity_contract_id,geometry_manifest_sha
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,a1f9870484ca316f5115651d46cf65e158b2b422183224381beb656e9035ba47,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,e0bbbef511a66b37d51fc11a368dc8f0f8a7957339935baf5ad3ca26bbfb9434,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,2dbce5b1b0838b291e5cc9f6a054213c295fbcd181f18648816b83a6b02fb18d,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_006,b0da4e33be85c12e3f2f074a4717c3dd741ee48288d5924465b7ce18654e59d8,b9d6a1a3398a4797e7a94525bb858f957bd029b0dd92da9c9a7a66f28fe00c5a,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,07980e6ed8cf57df6a35648e2a05d1839ca8b99bf86c9d042987b90ba13a18d6,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,f4b56921d564903637bdb0cee55a895cf289ecf759e646ec665a7015569be030,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,b694468c5dbb9b1343a016d8510e225da2bde4d68348faed05d184c8f35468c3,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,2e6f8f13e9269962ee7ba057679791177e99296aaa55620d0cd15251ca6c4ad1,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,9d6bf5e1da7484aedf431cfcd1521fb5999303d01275b9fee99e4154e0a3ca11,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_007,1b3d1f37c197e9d61b593c2ce3dd1c81b1a4fe933f7ab863ef6b145913f81b75,9b6a99db392f7e26d90c73ee8a407eae2b6a7b24613ebd47708d80e5f611aadb,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,487061af5b14dd7442a6291bfe105798178b8cbd8a57e78b3be8dbe2d25998f2,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,320e107dcfa79071617a5f194173ca1250836d858ba2b57ab21280900a7f23ea,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,bf433227e6507f01c6d2114ef852d8684adfffecf75b4e8d312f739a9de37459,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,27943c71edea133318217a17d755fee965523db2ab12a4c0c9ca3373f1875a92,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,454565d359cc1717e37dfac073fa6a61dfa1e9894c073cc77d861b76b6fee874,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_008,623442b98c0e9cf519851f2957ca89b090d41e803430b162b3b8585acb06674d,bf4451bdc2d16ff925382e73593c52cc367398335ebc250c2b81c6f90f35b9fe,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,00ed1c65469339e5ee879842e7ac195b1d33137264a18b6b02ccb9bfa90740a4,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,867edd747d1e53fe17e4b4fab62dbcdfc8f074229869dba01f8a00d4b8bf9d55,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,5cc444d72b6830845976a5c6912c37c7d9837da737cd447f18b83b3e09ea45c8,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,bb6122a5f01222358b3c9d9793cf3b4903c217bf9a664f9acfeae5c05f8cbf1f,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,6af8a8849d963a22b2c4102167522e9f906038c0ec7c495c59296f942ce1e5ac,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_009,fc4e589be04814c28505986cd4a9840f845ff9d8508a739ddbb484650cb00d2c,9d04e698a270c2de73be760a5db03817d9e4c6ff9af6f163fb6d825ed2287dca,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,66688915f9f47350fe44849e33d6c00d6c7ed9c2fff307f5ca8695941003320a,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,18511c8e5e609a90906ba24a7428ccb25a11decb5a82815feae79d5e43a9475a,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,7b491d4dfe5aa6077cf14227206ccda0d83a596da9c356d92765b177678d5deb,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,f9da0bc0f559995322c51a786e70b949ad239f52f5eed21112bd28b8a41452fe,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,552740e381d10ee2ff7378c645f61014e225458564d518cd35cb0843a8580053,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_010,20bfb355171cb0514c8f3f3d9a4bd5e1eb1f9db16d3d6ed5206b8e9f4f6822a1,956b79a740d98f6ceb01d712a4d99dd13443dffd9f2a373e9a884ffe285c807b,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,e6f921902f895d3d66d85c0dba6c825cd80ba20980c4f3e5b3c7d7b950aea67e,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,d7f9e9564a2a91a2246f5d78e711e52fae049291cf16ba917fd79e834bd5353a,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,f65327a555d92facb5fa5fbecedc75f4ca85298cb646c9d859e0ef48734e9832,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,0267fa0770e6d3df82c426c357e09beac9495b4320b89eb7f7b0565edb05a5bd,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,b522a4e939bd58efb3b1388c856137bd0025288bf735b0dbac79f183e22d64cf,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_011,1c707e1aab7ea5166270cb26223a25d89e9827a623f6bf0a5b87387a8cb67812,5d5c6dc226d69dd267a4165b8d429e6ef11adbe43bed2ef017fe2d9c1b52d341,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,8875c4069df3a737c15690478ea61cb714becfa997099774c13f6972b0546e08,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,d4c1ba96ca56ec23fcdcb467738dfc1187a1bd31bd4cb370b122883c22f317fb,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,4be4aa36cfda7c722712200474cf90bcfd2facff1f4e03d5e0e5bb20e635a215,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,d7713c47c17a057f54b900c6b45acc83af65c7e3cdc2e374cc66e3b831739240,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,7d42a21f6bd478d0aa51224ca751f2fc7e5b74507b03fe59a19bd8762d0d1633,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_012,ac91e5f62c9f618467fa22a6ee6b5ba927aed4e576eba9670aa24e0ef812b466,9cac502dcc53c6a80d3a944a9f7e5ed143997c045fba8387feafe185e6d4894d,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,ee266190e9df39aca4411535c3f9823b032415b8d7e819b28c6cd48c1f7f59f7,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,905c8b50d28343b9cee20a5169fc1b2bf2160ae6030d793de6f2eed39b41514a,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,db7aa22cf662b6f30c2510d4188fa12e9f15e5298c00bb1a6ba0aff3ffe131ee,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,8c1f9a1bfea856510b30755508c1f9dc222bd63423336510a71363fd5078ed92,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,3e850b1afc943f22c9b71eeccbd88ac7f7bec5f8e5a46733aa517d4f521a37d9,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_013,4d82577dafe02d6f7f59693b27730e9699264fc71ecf899c1f5104504f7c749f,719d302d16219ba6db50462d7c84a16824937cd23f2fe7c592dc1d2575e8d1c4,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,2f26686a75fb8129c78360692cc8946f7b3bdddfd2659a7a779b4f2cfe74ed28,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,39bf4173ed3c30fd60b09e740696257fbefd4fddfada794203d382c9f023f16f,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,3fe170fb94e3e8b67258e3733ee0eb8f3f634201c36c3a03da4b919c138a87a4,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,b621ccd8e4f6c0764bdca72077a9eb3250544cb0ef350bee49e972b6988bd4cd,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,dce8e8583f14a7f50991580243db0a66e156d3750c8eb05ee481f58f3f40b29d,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_014,b89c391d0ca04e051c4deb4e533c178e0f7d0e53b5d5f35026f6c9aec5e6c4c0,128489e48e0d16ebb7d84b83688f76ce6aed15400b1252e5f0834be4a533c0b1,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,4b688342a4bd7d0627573846bc403062f0733e7fab5f4858f6ca2705da2fcc76,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,18c01b4a619274b69240ea714c1c3dc35d5d2d0fecc714b8c0eb398cfc01f140,top,-171.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,41f0ed80f8f96b4eb9e412732fddb5c142e2ea44f86b8ded74cfdd14b729ebf6,centroid,-276.0,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,835a5e7f94f14295d5204467666f5c241de55f34029b4bb78a6bae1a9ff2ef0b,centroid,-276.0,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,3efea04c709bfc031d44fb3a0ad64a7d3e28ee77df87008f86b492957f8260a8,bottom,-380.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_015,21e16264fc38c9520cc850c44a6aeafcd64a8c79fea8461b2ec3065f331f6582,1cb205858bb68e7645fab8f78697a27b15f3f6cc58aa42444a6531ca8b890e7f,bottom,-380.5,z,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
V2_DOE_016,f38292d979bbcf8a40a8fa8acccd90eef3ef8a48726067538db982dcb9611ab3,d7f5fdf591d9bfa69001425ccd3023a3fdb963e2fc20916417870f403ef1e553,top,-171.5,x,6.0,False,DOE96_FORMAL_DEVELOPMENT,,,,,,,
