geometry_id,wavelength_nm,S0,S1,S2,S3,DoLP,psi_deg,total_power,polarized_lp_excess_power,axis_free_useful_lp_power,useful_lp_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,dominant_u1_overlap_adjacent,dominant_u1_drift_angle_deg
BF04R_C01,445.0,0.4854409397345368,0.47644923017639457,0.006053742687250427,-0.08869512653442295,0.9815564549979388,0.363979224398637,0.2427204698672684,0.23824384395834997,0.48096431382561833,0.48096431382561833,0.18271043761353514,0.9849433216371817,0.027722421095364106,0.02814620951922761,0.9999924076357002,0.22326797026938616
BF04R_C01,446.0,0.4904080914665341,0.4708771797495013,0.0026862406143383375,-0.0937800326893202,0.9601897889899392,0.16342752099437968,0.24520404573326704,0.2354424209321051,0.48064646666537214,0.48064646666537214,0.1912285590738868,0.9851601916467296,0.10136853420883313,0.10289548346385381,0.9999744130761454,0.4098713805897581
BF04R_C01,447.0,0.503531120382138,0.45780424328338637,0.004438427096212141,-0.09332597741175988,0.9092303128717012,0.27773352567404375,0.251765560191069,0.22891287906284477,0.48067843925391374,0.48067843925391374,0.1853430178077837,0.9852776927954469,0.19049962951133745,0.19334613064348247,0.9999955495468427,0.17093850778671743
BF04R_C01,448.0,0.5154841757034155,0.44400918323088895,-0.0004971727870696923,-0.09747928704128456,0.8613445038849077,179.96792195797022,0.25774208785170777,0.22200473079088953,0.4797468186425973,0.4797468186425973,0.18910238497285975,0.9849203907197912,0.24677960886427602,0.250557924467303,0.9999577946722751,0.526408382295559
BF04R_C01,449.0,0.5311924918664879,0.4304750130181697,-0.0037317451760908523,-0.09346467454254295,0.8104240823622709,179.7516605069128,0.26559624593324394,0.21524559388931325,0.4808418398225572,0.4808418398225572,0.17595255199133114,0.9857550348405865,0.3011179088320889,0.30546930848878173,0.9999925274432624,0.22149937815082227
BF04R_C01,450.0,0.5173592572727916,0.4410877395246073,-0.020785923107982322,-0.0990425721875743,0.8535214594084898,178.65098804804805,0.2586796286363958,0.22078861415298273,0.47946824278937855,0.47946824278937855,0.19143867785350446,0.9848388011640842,0.25458014507669907,0.2584993044301099,0.9998181975152618,1.092557033923321
BF04R_C01,451.0,0.7021586674618538,0.25566196033900346,-0.06248261277868409,-0.009229176872249747,0.37482477430728345,173.13319105693827,0.3510793337309269,0.13159323202964612,0.48267256576057305,0.48267256576057305,0.013144004766915648,0.9826021076088607,0.6624276813708287,0.6741565850930556,0.9911598404716165,7.624092156664089
BF04R_C01,452.0,0.8326039463873706,0.12451205250209985,0.034138231260009304,-0.0781506091297812,0.1550643667713322,7.6661779802719225,0.4163019731936853,0.06455360185893493,0.4808555750526202,0.4808555750526202,0.09386288579206599,0.9917266580493506,0.8256428577108917,0.8325306686167611,0.9395292087989427,20.027357102992543
BF04R_C01,453.0,0.7406630053256815,0.21677619840284462,-0.006104017438473768,-0.0777800493211077,0.29279458909784045,179.19354142392913,0.37033150266284076,0.10843106015215226,0.478762562814993,0.478762562814993,0.10501408705691538,0.9854195164024556,0.7143349265887212,0.7249043830556522,0.9861834260152259,9.535404560025635
BF04R_C01,454.0,0.5616372088488315,0.3699511847778764,-0.022489344651450773,0.10104550091852425,0.6599173142136716,178.26063430212295,0.28081860442441575,0.1853170592129919,0.46613566363740766,0.46613566363740766,0.17991240488790575,0.972521685572056,0.4212789916311403,0.43318210573714444,0.953641088003407,17.51444893181143
BF04R_C01,455.0,0.639353379071303,0.3314406346880431,0.012793956908132734,-0.04129299160424514,0.5187858291249062,1.1052899013078477,0.3196766895356515,0.16584373643265818,0.4855204259683097,0.4855204259683097,0.0645855530852524,0.9867123832073939,0.5523634953251264,0.559801928835251,0.9798435174218902,11.523308853365702
BF04R_C01,456.0,0.6942732275974148,0.2740908097675673,0.00810186953789615,-0.057587115757639244,0.3949605351168473,0.8465584901707903,0.3471366137987074,0.13710526274458784,0.48424187654329526,0.48424187654329526,0.08294589718938727,0.9871501719332924,0.6434912534346529,0.6518676405378141,0.9991260587414205,2.3955783841365417
BF04R_C01,457.0,0.7076624000871978,0.2606486780403678,0.00566174654274034,-0.056734568681312686,0.36841036388276055,0.6221845787119563,0.3538312000435989,0.13035508116113612,0.48418628120473506,0.48418628120473506,0.08017180038719293,0.9871546580459706,0.6639657229650782,0.6726055715315868,0.9999860565317379,0.30256838078847753
BF04R_C01,458.0,0.7293760079642836,0.24405349148779956,0.004571268861587491,-0.06105139248803797,0.33466455761833835,0.5365294878941935,0.3646880039821418,0.1220481495213983,0.4867361535035401,0.4867361535035401,0.08370359296357271,0.9904500698298794,0.6912023402033258,0.6978669205627371,0.9998802916954572,0.8865517729169183
BF04R_C01,459.0,0.727122701361212,0.24225251613485785,0.0021479683317606577,-0.058929735593058606,0.33317903310699126,0.25400416250471125,0.363561350680606,0.12113101929483609,0.4846923699754421,0.4846923699754421,0.08104510488083928,0.9881543461440397,0.6912281757271396,0.6995143809511533,0.9999833070407055,0.3310586208963063
BF04R_C01,460.0,0.736434164885198,0.23984312696612892,0.0010225219326700221,-0.060476466754872144,0.32568465458115126,0.12213365669158534,0.368217082442599,0.11992265330619714,0.4881397357487961,0.4881397357487961,0.08212066962469043,0.9918601175673765,0.6993438617372904,0.705083155730157,0.9999887152237111,0.27219774038458183
BF04R_C01,461.0,0.7324849090353642,0.24220715665868023,-0.0007235553837178511,-0.05936477466968533,0.3306665221657531,179.91441923727413,0.3662424545176821,0.12110411870481096,0.4873465732224931,0.4873465732224931,0.08104573068660888,0.9908895734900054,0.6950594731528544,0.701449981661216,0.9999883011566055,0.27714657589734604
BF04R_C01,462.0,0.7280933676942634,0.24815924379494644,-0.0018492948949125256,-0.06115299386879953,0.34084383298732157,179.786518467676,0.3640466838471317,0.12408306710878,0.4881297509559117,0.4881297509559117,0.08399059321534505,0.9918080029984624,0.6873889878203814,0.6930665872247928,0.9999974562210554,0.12923418443086215
BF04R_C01,463.0,0.7261063481728549,0.2555059022886955,-0.003587407212693856,-0.059706121773688385,0.35191964100274453,179.59779835616615,0.36305317408642745,0.12776554268940246,0.4908187167758299,0.4908187167758299,0.08222779200860933,0.9942434615299087,0.680949803987588,0.6848924135138541,0.9999766634529121,0.391432402684221
BF04R_C01,464.0,0.7084363544431831,0.2697437644977223,-0.004200489599879645,-0.06139868727735053,0.38080551081887065,179.55392689852266,0.35421817722159155,0.13488823391819743,0.489106411139789,0.489106411139789,0.08666789457128958,0.9925278381230969,0.6570853821514051,0.6620321938717361,0.9999955776232688,0.17039845724484456
BF04R_C01,465.0,0.7029111128331327,0.2808379153383399,-0.006247845319235914,-0.06421603672254636,0.3996343207723542,179.36277100142297,0.35145555641656634,0.14045370257020431,0.4919092589867706,0.4919092589867706,0.09135726488050404,0.9955224819420481,0.6440164699867621,0.6469130347819226,0.9999945943152105,0.18839231587873514
