candidate_id,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale,top_low_scale,bottom_high_scale,bottom_low_scale,top_chirp,bottom_chirp,valid,score,pass_level,failure_mode,top_R_proxy,bottom_R_proxy,top_outcoupling_proxy,extraction_proxy,normal_peak_strength,offaxis_peak_strength_20_30,normal_offaxis_ratio,eta10_proxy,eta25_proxy,peak_angle_abs_deg_453,angular_fwhm_deg_453,angular_fwhm_bounded,spectral_peak_nm_normal_window,spectral_fwhm_nm_normal_window,spectral_fwhm_bounded,model_lam0_nm,model_spec_fwhm_nm,model_angle_fwhm_deg,total_stack_thickness_nm
R2_4B_OPT_00123,6,4,238,31,27,0.9734,1.0056,0.8425,1.1923,-0.0703,0.0507,True,-118.904352,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.174063,0.185464,0.825937,0.38864588,1.6e-07,4e-08,3.682369,0.52876,0.95277,8.0,32.959,True,445.0,999.0,False,430.305,9.862,16.396,1856
R2_4B_OPT_00262,10,4,303,26,62,1.1938,1.1281,0.9145,1.2132,0.0407,0.1233,True,-118.907992,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.000218,0.097174,0.999782,0.41307267,1.713e-05,5e-06,3.427337,0.534788,0.94668,7.0,33.608,True,445.0,999.0,False,430.779,11.617,18.576,2819
R2_4B_OPT_03833,8,11,256,16,82,0.9849,1.0326,1.1827,0.8878,-0.1248,-0.0263,True,-118.924128,fail_proxy,peak_off_normal;spectral_fwhm_broad;spectral_peak_outside_450_456,0.254609,0.394334,0.745391,0.4519434,1.248e-05,6.28e-06,1.989002,0.427888,0.947984,10.5,16.41,True,461.0,999.0,False,469.398,8.528,15.544,3249
R2_4B_OPT_05530,9,10,313,22,34,0.8539,1.0634,0.931,0.9291,0.1152,-0.1303,True,-118.924213,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.565642,0.713121,0.434358,0.35336285,0.0,0.0,1.278172,0.541067,0.953028,9.0,12.371,True,445.0,999.0,False,434.273,6.106,11.384,3150
R2_4B_OPT_03287,6,6,295,25,68,1.1879,1.1819,0.9479,1.1384,0.0126,0.1428,True,-118.931253,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,3e-05,0.159843,0.99997,0.45388422,0.0,0.0,3.493121,0.537908,0.947157,7.0,33.518,True,445.0,999.0,False,419.379,11.241,18.571,2455
R2_4B_OPT_05327,5,7,216,77,36,1.1079,1.2242,1.0433,1.0072,-0.127,-0.1288,True,-118.931384,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.009103,0.130867,0.990897,0.43110323,0.00020012,7.287e-05,2.746171,0.498486,0.943071,8.0,35.611,True,445.0,999.0,False,434.477,11.125,18.544,2325
R2_4B_OPT_00885,10,5,234,36,25,1.1935,1.0788,0.7611,1.0949,0.0518,0.0777,True,-118.932986,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.001061,0.197112,0.998939,0.47761522,1.454e-05,4.27e-06,3.406003,0.533703,0.946545,7.0,33.638,True,445.0,999.0,False,432.286,10.669,18.568,2745
R2_4B_OPT_01713,4,10,335,69,58,1.1367,1.135,1.0683,1.1976,0.1376,-0.0918,True,-118.93326,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.005925,0.041829,0.994075,0.37495413,0.0,0.0,3.494577,0.537186,0.946493,7.0,33.532,True,461.0,999.0,False,484.612,12.173,18.499,2917
R2_4B_OPT_03590,9,10,346,65,2,1.0187,0.8324,0.9996,0.8884,-0.1025,0.0081,True,-118.937901,fail_proxy,peak_off_normal;normal_offaxis_ratio_low;spectral_fwhm_broad;spectral_peak_outside_450_456,0.687854,0.624694,0.312146,0.23599814,0.00129015,0.008907,0.144847,0.117305,0.923958,16.5,10.939,True,446.5,999.0,False,446.46,6.275,10.398,3050
R2_4B_OPT_04631,5,12,288,62,25,1.0082,0.9962,1.011,1.1515,0.0684,-0.1392,True,-118.942188,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.07822,0.264993,0.92178,0.48139567,0.0,0.0,3.576276,0.534772,0.949757,7.5,33.501,True,445.0,999.0,False,422.604,10.3,17.595,3161
R2_4B_OPT_03182,6,5,305,6,20,1.1135,1.2327,1.0966,1.1117,0.0322,-0.0255,True,-118.946029,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.001287,0.002082,0.998713,0.35090107,1e-08,0.0,3.471813,0.536773,0.946952,7.0,33.549,True,445.0,999.0,False,422.972,12.084,18.558,2259
R2_4B_OPT_05755,9,4,353,78,58,1.231,1.0568,0.941,0.9264,-0.1006,-0.062,True,-118.948876,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.005084,0.196429,0.994916,0.47524994,2e-08,1e-08,3.470146,0.536216,0.946585,7.0,33.561,True,461.0,999.0,False,481.759,11.623,18.511,2588
R2_4B_OPT_00710,5,5,352,14,72,0.977,1.1932,1.242,0.8843,0.0384,0.1191,True,-118.957888,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.067779,0.112229,0.932221,0.39428216,1.2e-05,5.88e-06,2.041362,0.446781,0.940056,9.5,18.811,True,461.0,999.0,False,475.585,11.715,17.907,2057
R2_4B_OPT_04333,7,11,345,3,39,0.8173,0.9323,0.927,0.9008,0.1111,-0.1473,True,-118.960524,fail_proxy,peak_off_normal;normal_offaxis_ratio_low;spectral_fwhm_broad;spectral_peak_outside_450_456,0.594478,0.81764,0.405522,0.35745436,0.00043898,0.00061944,0.708676,0.26053,0.94683,13.5,12.164,True,461.0,999.0,False,461.141,5.792,11.354,2873
R2_4B_OPT_05526,4,6,338,76,80,0.7726,0.8854,1.0783,0.8889,0.0095,-0.0035,True,-118.961556,fail_proxy,peak_off_normal;normal_offaxis_ratio_low;spectral_fwhm_broad;spectral_peak_outside_450_456,0.348643,0.183936,0.651357,0.30584998,0.00136241,0.00317993,0.428442,0.214799,0.907242,15.5,15.785,True,461.0,999.0,False,465.369,9.9,14.703,1879
R2_4B_OPT_03487,7,12,310,31,82,1.0475,1.2079,1.0395,1.0499,-0.1119,0.1101,True,-118.970491,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.052128,0.207708,0.947872,0.45972712,9.2e-07,2.6e-07,3.520501,0.534615,0.948419,7.5,33.547,True,445.0,999.0,False,429.216,10.916,17.924,3569
R2_4B_OPT_00006,10,7,231,85,45,1.1755,0.9407,0.8896,1.0937,-0.119,0.0842,True,-118.971104,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.190559,0.371734,0.809441,0.478887,1.33e-06,3.7e-07,3.637694,0.524765,0.952756,8.0,33.513,True,445.0,999.0,False,433.753,8.969,16.195,3010
R2_4B_OPT_02666,5,7,348,2,81,1.2029,0.8762,0.8669,1.1301,0.0189,-0.1192,True,-118.985328,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.128599,0.363989,0.871401,0.51115796,3e-07,8e-08,3.599109,0.530802,0.951808,8.0,33.513,True,461.0,999.0,False,476.201,10.19,16.967,2294
R2_4B_OPT_00415,4,8,206,61,68,1.2067,1.1047,0.9942,1.0621,-0.0625,-0.0195,True,-118.986997,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.000126,0.127847,0.999874,0.43304594,0.0,0.0,3.411544,0.533997,0.946445,7.0,33.631,True,445.0,999.0,False,423.285,11.282,18.579,2293
R2_4B_OPT_04172,6,8,354,27,8,0.8592,1.0935,1.061,1.1865,0.1399,-0.026,True,-118.991395,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.281004,0.016576,0.718996,0.25939516,7.203e-05,2.63e-05,2.738495,0.471233,0.952418,9.5,15.869,True,461.0,999.0,False,472.009,11.176,15.133,2708
R2_4B_OPT_05815,4,9,339,82,88,1.0916,1.1201,1.0068,1.0295,-0.1418,-0.027,True,-118.993588,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.014862,0.145075,0.985138,0.43769546,5e-08,2e-08,3.406614,0.532487,0.946515,7.0,33.657,True,461.0,999.0,False,481.026,11.68,18.397,2588
R2_4B_OPT_03707,9,7,274,0,37,1.1852,1.1692,1.0785,0.9529,-0.0614,0.0765,True,-118.997632,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.000244,0.10076,0.999756,0.41539249,2.6e-06,7.7e-07,3.380659,0.532553,0.946344,7.0,33.672,True,461.0,999.0,False,476.56,11.31,18.58,2984
R2_4B_OPT_02322,9,7,291,80,86,1.1638,1.06,1.1728,0.8802,0.1277,-0.0665,True,-119.003664,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.018448,0.223566,0.981552,0.4861802,2.375e-05,7.14e-06,3.328371,0.528575,0.946438,7.5,33.762,True,461.0,999.0,False,473.499,10.81,18.361,3007
R2_4B_OPT_02329,9,6,312,56,46,0.9951,1.1466,0.9821,1.0143,-0.0338,-0.0102,True,-119.009833,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.152373,0.114972,0.847627,0.3600142,0.00012893,5.085e-05,2.535758,0.474829,0.948391,9.0,17.804,True,445.0,999.0,False,434.66,10.9,16.772,2829
R2_4B_OPT_01934,9,5,200,80,67,1.204,1.0283,1.111,0.8755,-0.0275,-0.1331,True,-119.021932,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.003897,0.16884,0.996103,0.45795458,0.0,0.0,3.360329,0.53144,0.946693,7.0,33.701,True,445.0,999.0,False,420.273,11.129,18.537,2567
R2_4B_OPT_00722,5,6,319,1,4,1.2335,0.9324,1.0326,0.9867,-0.0963,0.0308,True,-119.031079,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.048944,0.060975,0.951056,0.3705633,0.0,0.0,3.159172,0.544437,0.949004,7.0,32.783,True,445.0,999.0,False,417.437,11.718,17.943,2027
R2_4B_OPT_02865,7,5,311,48,38,1.2283,0.9115,1.0217,0.7676,0.1425,-0.076,True,-119.038935,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.15078,0.392929,0.84922,0.51412105,6.21e-06,1.78e-06,3.486349,0.523225,0.951284,8.0,33.648,True,445.0,999.0,False,433.652,9.577,16.702,2139
R2_4B_OPT_01032,4,4,319,12,66,1.0842,0.9495,0.7922,1.1704,-0.1423,0.0228,True,-119.039836,fail_proxy,spectral_fwhm_broad;spectral_peak_outside_450_456,0.076085,0.170448,0.923915,0.42573175,3.813e-05,2.034e-05,1.875185,0.432341,0.93761,10.0,18.645,True,445.0,999.0,False,432.844,11.069,17.83,1640
R2_4B_OPT_03854,7,11,340,40,51,1.1222,0.9176,1.2131,0.9851,0.1434,-0.0174,True,-119.042596,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.199806,0.029383,0.800194,0.29535097,0.00010054,2.29e-05,4.389936,0.550724,0.953845,7.5,31.887,True,461.0,999.0,False,472.291,11.361,16.03,3266
R2_4B_OPT_05664,10,5,344,64,80,1.0771,1.1961,0.8372,1.0248,-0.1308,-0.1493,True,-119.047576,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.057093,0.248246,0.942907,0.48216492,9.7e-07,2.8e-07,3.404726,0.528962,0.94813,7.5,33.691,True,461.0,999.0,False,477.041,11.04,17.873,2989
R2_4B_OPT_05020,5,7,247,66,15,0.9742,0.7945,0.7986,1.2205,-0.0519,0.0244,True,-119.059268,fail_proxy,peak_off_normal;spectral_fwhm_broad;spectral_peak_outside_450_456,0.481311,0.434614,0.518689,0.32807056,0.00041848,0.00029473,1.419857,0.353696,0.951162,12.0,13.416,True,445.0,999.0,False,442.467,7.169,12.712,2125
R2_4B_OPT_04033,5,5,268,18,13,1.1927,1.2199,0.8663,1.1454,0.0066,-0.1358,True,-119.060845,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,1.4e-05,0.193322,0.999986,0.47565255,0.0,0.0,3.302618,0.529059,0.946509,7.0,33.774,True,461.0,999.0,False,481.943,10.812,18.591,2023
R2_4B_OPT_04185,8,5,233,46,9,1.1011,0.9655,0.7768,1.1864,-0.1087,-0.0678,True,-119.061276,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.119991,0.211914,0.880009,0.42921926,0.0,0.0,3.481355,0.526421,0.950561,8.0,33.64,True,445.0,999.0,False,423.497,10.043,17.085,2319
R2_4B_OPT_03196,4,6,218,70,61,0.8708,1.232,0.8555,1.0745,0.1174,0.0796,True,-119.061896,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.126494,0.342135,0.873506,0.49998428,5e-08,1e-08,3.481928,0.525744,0.950707,8.0,33.642,True,445.0,999.0,False,429.92,9.544,17.004,1943
R2_4B_OPT_00040,9,4,349,68,78,1.0563,1.2084,0.8719,0.9882,0.0334,0.0621,True,-119.062073,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.027481,0.219903,0.972519,0.47939074,0.0,0.0,3.380301,0.530544,0.947629,7.5,33.696,True,461.0,999.0,False,483.576,11.365,18.243,2655
R2_4B_OPT_03416,6,7,215,48,76,1.1386,1.0645,1.173,0.9585,-0.0233,0.1028,True,-119.06285,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.00128,0.060387,0.99872,0.38875353,1.7e-07,5e-08,3.299561,0.528753,0.946388,7.0,33.781,True,445.0,999.0,False,426.533,11.507,18.576,2435
R2_4B_OPT_01890,6,5,290,53,51,1.1807,1.2444,1.1762,0.8735,-0.1122,-0.0816,True,-119.06592,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.000784,0.135891,0.999216,0.43798553,0.0,0.0,3.298063,0.528474,0.945708,7.0,33.789,True,445.0,999.0,False,420.004,11.301,18.583,2258
R2_4B_OPT_02304,6,12,287,55,55,1.1067,1.1813,1.0513,1.0997,0.0386,-0.0446,True,-119.068318,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.002295,0.065607,0.997705,0.39174362,2e-08,1e-08,3.293295,0.528323,0.946268,7.0,33.793,True,445.0,999.0,False,424.265,11.597,18.564,3427
R2_4B_OPT_04088,5,10,269,45,44,0.8497,1.1048,1.2205,1.075,-0.023,0.1146,True,-119.073578,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.284153,0.006069,0.715847,0.25337054,0.0,0.0,5.208524,0.561229,0.956459,8.0,30.97,True,461.0,999.0,False,480.225,10.361,14.945,2847
R2_4B_OPT_05355,7,5,355,59,60,1.1162,1.0463,0.9675,1.0968,-0.1481,0.0778,True,-119.080412,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.054082,0.106356,0.945918,0.39646352,1.93e-06,5.8e-07,3.349832,0.526666,0.947751,7.5,33.758,True,461.0,999.0,False,477.896,11.838,17.916,2421
R2_4B_OPT_03454,6,7,348,83,86,1.2337,0.8775,0.9733,0.9532,-0.0359,0.097,True,-119.081854,fail_proxy,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,0.170211,0.32573,0.829789,0.46611276,0.0,0.0,3.461404,0.520159,0.952484,8.0,33.676,True,461.0,999.0,False,480.172,10.174,16.461,2456
R2_4B_OPT_03315,6,4,350,86,63,0.9428,1.1372,0.8851,0.9076,-0.1026,0.1382,True,-119.086641,fail_proxy,peak_off_normal;spectral_fwhm_broad;spectral_peak_outside_450_456,0.181754,0.270086,0.818246,0.43003396,3.395e-05,1.887e-05,1.799527,0.419219,0.942897,10.5,17.476,True,461.0,999.0,False,471.983,10.404,16.498,2029
