candidate_id,score,failure_mode,pass_level,peak_angle_abs_deg_453,angular_fwhm_deg_453,normal_offaxis_ratio,spectral_fwhm_nm_normal_window
R2_4B_OPT_03734,29.351931,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.856,3.63313,9.268
R2_4B_OPT_06093,29.335254,angular_fwhm_broad,fail_proxy,7.0,30.54,5.636439,7.097
R2_4B_OPT_06089,29.307714,angular_fwhm_broad,fail_proxy,7.0,27.686,11.758517,5.981
R2_4B_OPT_05523,29.306824,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.963,4.790703,8.552
R2_4B_OPT_05309,29.294491,spectral_fwhm_broad,fail_proxy,8.0,15.306,5.734786,8.215
R2_4B_OPT_06620,29.294221,angular_fwhm_broad,fail_proxy,7.0,28.574,9.905877,7.346
R2_4B_OPT_00708,29.274988,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.859,3.627549,8.307
R2_4B_OPT_02276,29.258035,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.967,4.057714,8.505
R2_4B_OPT_06682,29.250035,angular_fwhm_broad,fail_proxy,7.0,32.615,3.881337,6.859
R2_4B_OPT_06055,29.245589,angular_fwhm_broad,fail_proxy,7.0,28.862,7.772331,6.035
R2_4B_OPT_02762,29.200599,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.713,5.260887,8.479
R2_4B_OPT_06286,29.195746,angular_fwhm_broad,fail_proxy,7.0,30.935,4.834432,6.934
R2_4B_OPT_00134,29.139744,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.826,4.235013,8.191
R2_4B_OPT_06300,29.133225,angular_fwhm_broad,fail_proxy,7.0,31.86,4.186839,7.504
R2_4B_OPT_06751,29.124112,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.619,3.880489,8.261
R2_4B_OPT_04673,29.095152,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.796,4.278324,8.597
R2_4B_OPT_06754,29.082404,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.761,3.728924,8.819
R2_4B_OPT_06472,29.052388,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.869,3.613614,8.568
R2_4B_OPT_06513,29.034604,angular_fwhm_broad,fail_proxy,7.0,31.985,4.031556,7.779
R2_4B_OPT_00216,29.030979,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.874,3.615852,9.081
R2_4B_OPT_03547,29.017959,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,29.961,5.814618,9.224
R2_4B_OPT_06026,29.009304,angular_fwhm_broad,fail_proxy,7.0,28.677,8.612424,6.923
R2_4B_OPT_06609,28.997649,angular_fwhm_broad,fail_proxy,7.0,27.991,9.639225,7.193
R2_4B_OPT_05378,28.994736,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.633,4.514879,8.525
R2_4B_OPT_04776,28.990008,angular_fwhm_broad,fail_proxy,7.0,29.771,6.341168,7.91
R2_4B_OPT_02285,28.97193,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.801,3.679542,9.696
R2_4B_OPT_06558,28.970602,angular_fwhm_broad,fail_proxy,7.0,27.98,9.678078,6.162
R2_4B_OPT_04909,28.954509,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.875,3.612726,8.699
R2_4B_OPT_06689,28.95222,angular_fwhm_broad,fail_proxy,7.0,32.673,3.81934,6.917
R2_4B_OPT_06351,28.943164,angular_fwhm_broad,fail_proxy,7.0,30.839,5.002618,7.833
R2_4B_OPT_06276,28.93589,angular_fwhm_broad,fail_proxy,7.0,27.964,9.793841,6.299
R2_4B_OPT_06562,28.911546,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.857,3.623716,8.467
R2_4B_OPT_05673,28.902224,angular_fwhm_broad,fail_proxy,7.0,28.744,8.289333,6.879
R2_4B_OPT_01450,28.87519,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.542,3.968098,8.256
R2_4B_OPT_06669,28.874348,angular_fwhm_broad,fail_proxy,7.0,32.783,3.702603,7.339
R2_4B_OPT_03580,28.870708,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.656,4.479537,8.663
R2_4B_OPT_06198,28.850307,angular_fwhm_broad,fail_proxy,7.0,27.888,10.25475,6.018
R2_4B_OPT_06205,28.848306,angular_fwhm_broad,fail_proxy,7.0,28.977,7.294644,7.689
R2_4B_OPT_02944,28.801857,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.805,3.677971,8.859
R2_4B_OPT_06519,28.799714,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.545,4.649579,8.919
R2_4B_OPT_06037,28.772883,angular_fwhm_broad,fail_proxy,7.0,27.821,10.754561,6.868
R2_4B_OPT_06731,28.762476,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.672,3.822625,8.565
R2_4B_OPT_00687,28.747471,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.704,3.781489,8.297
R2_4B_OPT_06504,28.641019,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.822,5.047268,8.228
R2_4B_OPT_02376,28.63698,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.821,3.666439,8.545
R2_4B_OPT_02093,28.606018,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.874,3.613164,9.261
R2_4B_OPT_06384,28.556131,angular_fwhm_broad,fail_proxy,7.0,28.74,8.305516,6.337
R2_4B_OPT_06456,28.541683,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.87,3.612509,8.442
R2_4B_OPT_04947,28.52875,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.851,3.632002,9.191
R2_4B_OPT_06462,28.496384,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.845,3.636632,8.5
R2_4B_OPT_00763,28.472982,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.763,5.161168,8.405
R2_4B_OPT_02551,28.449905,angular_fwhm_broad,fail_proxy,7.0,32.678,3.809151,7.696
R2_4B_OPT_06224,28.427406,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.803,4.26815,8.425
R2_4B_OPT_01473,28.415114,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.647,4.484013,9.314
R2_4B_OPT_02501,28.415051,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.56,3.945976,9.51
R2_4B_OPT_06588,28.384533,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,29.547,7.043297,8.029
R2_4B_OPT_03942,28.340192,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.694,3.798945,9.154
R2_4B_OPT_06281,28.311119,angular_fwhm_broad,fail_proxy,7.0,31.98,4.035314,7.146
R2_4B_OPT_00817,28.30475,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.695,4.424029,8.438
R2_4B_OPT_06574,28.292754,angular_fwhm_broad,fail_proxy,7.0,29.79,6.277096,7.613
R2_4B_OPT_06484,28.289774,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.625,3.86975,8.774
R2_4B_OPT_02142,28.272296,angular_fwhm_broad,fail_proxy,7.0,29.615,6.820958,6.879
R2_4B_OPT_05809,28.26492,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.652,3.844536,8.585
R2_4B_OPT_00217,28.254344,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.693,3.800028,10.071
R2_4B_OPT_01969,28.24511,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.526,4.684199,9.382
R2_4B_OPT_05132,28.243358,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.834,3.649529,10.093
R2_4B_OPT_02286,28.204704,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.864,3.624857,9.958
R2_4B_OPT_03153,28.191325,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.61112,8.918
R2_4B_OPT_06757,28.116923,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.754,3.735396,8.969
R2_4B_OPT_06468,28.115746,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.607157,8.605
R2_4B_OPT_01798,28.114919,angular_fwhm_broad,fail_proxy,7.0,29.541,7.074263,7.342
R2_4B_OPT_03701,28.107975,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.857,3.626886,10.623
R2_4B_OPT_06746,28.072221,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.697,3.796148,8.663
R2_4B_OPT_02315,28.062074,angular_fwhm_broad,fail_proxy,7.0,29.561,7.016188,7.037
R2_4B_OPT_04532,28.057902,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.611315,10.849
R2_4B_OPT_00470,28.05079,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.866,3.61779,9.178
R2_4B_OPT_06675,28.042072,angular_fwhm_broad,fail_proxy,7.0,32.78,3.707712,7.497
R2_4B_OPT_05471,27.994725,angular_fwhm_broad,fail_proxy,7.0,31.701,4.415359,7.7
R2_4B_OPT_03930,27.991609,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.781,3.708376,10.268
R2_4B_OPT_06599,27.987275,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.94,4.826267,8.985
R2_4B_OPT_01773,27.96288,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.698,4.543645,9.329
R2_4B_OPT_06465,27.958426,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.871,3.612232,8.524
R2_4B_OPT_03064,27.952991,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.813,3.671641,8.888
R2_4B_OPT_00096,27.900312,angular_fwhm_broad,fail_proxy,7.0,28.0,9.581874,7.282
R2_4B_OPT_02439,27.874706,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.872,3.617485,8.805
R2_4B_OPT_03232,27.86733,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,30.891,4.919346,8.029
R2_4B_OPT_02051,27.86034,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.813,3.670115,11.035
R2_4B_OPT_05672,27.85625,angular_fwhm_broad,fail_proxy,7.0,31.708,4.39433,7.581
R2_4B_OPT_01764,27.833948,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.832,3.656726,10.033
R2_4B_OPT_02218,27.817109,angular_fwhm_broad,fail_proxy,7.0,28.946,7.427205,7.277
R2_4B_OPT_06606,27.795096,spectral_peak_outside_450_456,acceptable_proxy_pass,7.0,12.305,23.421932,7.027
R2_4B_OPT_05125,27.757622,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.856,3.624687,9.869
R2_4B_OPT_06021,27.741706,angular_fwhm_broad,fail_proxy,7.0,27.905,10.16737,6.231
R2_4B_OPT_00223,27.73079,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.812,3.675229,10.167
R2_4B_OPT_05314,27.724945,angular_fwhm_broad,fail_proxy,7.0,30.569,5.56902,7.868
R2_4B_OPT_05779,27.695476,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.744,3.744367,8.47
R2_4B_OPT_00255,27.688209,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.703,4.408617,9.649
R2_4B_OPT_05688,27.648937,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.609839,10.388
R2_4B_OPT_06353,27.632346,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.825,4.237522,8.378
R2_4B_OPT_04340,27.576144,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.795,3.686689,9.923
R2_4B_OPT_01922,27.549665,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.569,3.933065,8.609
R2_4B_OPT_06480,27.531907,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.876,3.605926,8.46
R2_4B_OPT_02244,27.525491,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.862,3.625449,9.878
R2_4B_OPT_04021,27.522395,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.5,31.878,4.398345,9.445
R2_4B_OPT_06291,27.518043,angular_fwhm_broad,fail_proxy,7.0,32.614,3.879925,7.696
R2_4B_OPT_03727,27.506699,angular_fwhm_broad,fail_proxy,7.0,28.939,7.456517,5.8
R2_4B_OPT_00497,27.448541,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.87,3.620281,10.456
R2_4B_OPT_00809,27.431414,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.637,3.860362,10.446
R2_4B_OPT_00597,27.4149,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.806,3.679616,9.661
R2_4B_OPT_06217,27.409929,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,31.942,4.084106,8.462
R2_4B_OPT_03055,27.394973,spectral_fwhm_broad,fail_proxy,7.5,13.625,10.665709,8.682
R2_4B_OPT_06074,27.392271,angular_fwhm_broad,fail_proxy,7.0,29.921,5.932573,6.545
R2_4B_OPT_05686,27.365087,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.529,4.677181,8.258
R2_4B_OPT_01784,27.345379,spectral_fwhm_broad,fail_proxy,7.0,13.503,14.191107,8.823
R2_4B_OPT_06134,27.268586,angular_fwhm_broad,fail_proxy,7.0,29.646,6.729497,6.066
R2_4B_OPT_04761,27.235828,angular_fwhm_broad,fail_proxy,7.5,29.829,6.751947,7.641
R2_4B_OPT_03443,27.186357,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.873,3.61474,9.328
R2_4B_OPT_01128,27.176797,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.869,3.618581,11.453
R2_4B_OPT_06345,27.150115,angular_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,29.796,6.24988,7.713
R2_4B_OPT_00486,27.127818,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.847,3.640552,9.861
R2_4B_OPT_03555,27.123798,angular_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.817,3.6663,7.886
R2_4B_OPT_05625,27.10102,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.798,3.689943,9.344
R2_4B_OPT_00024,27.078343,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.876,3.610541,10.291
R2_4B_OPT_02564,27.065223,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.859,3.627208,8.805
R2_4B_OPT_02296,27.046483,spectral_fwhm_broad,fail_proxy,8.0,15.867,4.535995,8.516
R2_4B_OPT_03098,27.033625,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.558,3.942969,10.138
R2_4B_OPT_05955,26.965698,spectral_peak_outside_450_456,acceptable_proxy_pass,7.0,12.394,19.569903,6.27
R2_4B_OPT_06482,26.947681,angular_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,31.514,4.699132,7.603
R2_4B_OPT_05470,26.942218,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.85,3.633549,10.651
R2_4B_OPT_03613,26.939454,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.791,3.696618,9.734
R2_4B_OPT_04146,26.930632,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,31.915,4.122552,10.427
R2_4B_OPT_01617,26.900191,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.877,3.606046,8.669
R2_4B_OPT_05098,26.865106,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.818,3.663815,8.939
R2_4B_OPT_06446,26.857171,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.876,3.605288,8.619
R2_4B_OPT_06481,26.854859,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,28.853,7.786591,8.23
R2_4B_OPT_05114,26.830122,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.697,3.795924,10.026
R2_4B_OPT_03679,26.819963,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.874,3.61093,10.62
R2_4B_OPT_06600,26.776952,angular_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,31.566,4.618038,7.764
R2_4B_OPT_00897,26.769763,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.5,32.865,3.713577,10.134
R2_4B_OPT_02484,26.757089,spectral_fwhm_broad,fail_proxy,9.5,15.91,3.171016,9.253
R2_4B_OPT_01395,26.734167,angular_fwhm_broad;spectral_fwhm_broad,fail_proxy,7.0,32.769,3.716019,10.034
R2_4B_OPT_06469,26.701869,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.877,3.604935,8.325
R2_4B_OPT_02857,26.643785,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.836,3.647286,9.077
R2_4B_OPT_05234,26.60645,angular_fwhm_broad;spectral_fwhm_broad;spectral_peak_outside_450_456,fail_proxy,7.0,32.564,3.941125,8.863
