sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,delta_theta_deg,D_nm,theta1_deg,theta2_deg,j1_center_x_nm,j1_center_y_nm,j2_center_x_nm,j2_center_y_nm,height_nm,period_x_nm,period_y_nm,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,cell_area_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_image_clearance_nm,periodic_x_clearance_nm,periodic_y_clearance_nm,periodic_diagonal_clearance_nm,global_minimum_clearance_nm,nearest_object_image_pair,cell_containment_pass,overlap_or_touching_pass,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,distance_from_i03_6d,geometry_hash_sha256,geometry_hash_recomputed,geometry_hash_recomputed_match,solver_entered,solver_run_called,parent_pool_sample_index
13620,253,91,196,79,0.47093023255813954,0.4254545454545455,0.4481923890063425,0.045475687103594065,87.826075405,210,0.0,87.826075405,0.0,105.0,0.0,-105.0,525.0,432.0,432.0,23023,15484,38507,186624.0,0.2063346622085048,65.07217720146448,77.07217720146448,179.0,77.07217720146448,274.2591524591398,65.07217720146448,"{""distance_nm"": 65.07217720146448, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-35.754133377038016, 59.5], ""point_b_nm"": [-35.754133377038, -5.572177201464491], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.6159095128124483,74e8e0faec9e071f8fdd0d531bb59356e9b6c0eaeb3946e75d05c0eec191fad1,74e8e0faec9e071f8fdd0d531bb59356e9b6c0eaeb3946e75d05c0eec191fad1,True,False,False,13620
13626,262,87,197,78,0.501432664756447,0.43272727272727274,0.46707996874185986,0.06870539202917425,88.749384731,214,0.0,88.749384731,0.0,107.0,0.0,-107.0,525.0,432.0,432.0,22794,15366,38160,186624.0,0.2044753086419753,71.17226419580834,75.17226419580837,170.0,75.17226419580837,270.9919851987,71.17226419580834,"{""distance_nm"": 71.17226419580834, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-36.8408862544416, 63.5], ""point_b_nm"": [-36.8408862544416, -7.672264195808346], ""touch_or_overlap"": false}",True,True,78,6.730769230769231,0.9565799863820712,b3792f7fbcf9aa8d929731986f5359768752ad7bab1a69cc3a830cca6a5608b7,b3792f7fbcf9aa8d929731986f5359768752ad7bab1a69cc3a830cca6a5608b7,True,False,False,13626
13630,254,90,202,79,0.47674418604651164,0.4377224199288256,0.4572333029876686,0.03902176611768604,83.209528774,216,0.0,83.209528774,0.0,108.0,0.0,-108.0,525.0,432.0,432.0,22860,15958,38818,186624.0,0.20800111454046638,66.03806250881779,66.0380625088178,178.0,66.0380625088178,264.7908075844267,66.03806250881779,"{""distance_nm"": 66.03806250881779, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-27.280793208723964, 63.0], ""point_b_nm"": [-27.28079320872396, -3.0380625088177915], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.4948913050590653,dea38473e749139843378988e5b63c78cf0e9584f40cc903fa60ef95334fa76a,dea38473e749139843378988e5b63c78cf0e9584f40cc903fa60ef95334fa76a,True,False,False,13630
13638,257,90,200,77,0.4812680115273775,0.44404332129963897,0.46265566641350825,0.037224690227738555,87.249007076,215,0.0,87.249007076,0.0,107.5,0.0,-107.5,525.0,432.0,432.0,23130,15400,38530,186624.0,0.2064579046639232,68.26742013513483,70.26742013513481,175.0,70.26742013513481,270.5511128341527,68.26742013513483,"{""distance_nm"": 68.26742013513483, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-33.65608702803746, 62.5], ""point_b_nm"": [-33.656087028037454, -5.767420135134829], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.578265174376153,fe165163d8a7c02eb22e0bffb3b80c3cde68742f59cabf59fe9e0bc83c50f564,fe165163d8a7c02eb22e0bffb3b80c3cde68742f59cabf59fe9e0bc83c50f564,True,False,False,13638
13650,262,91,202,78,0.48441926345609065,0.44285714285714284,0.46363820315661675,0.041562120598947816,89.557280391,210,0.0,89.557280391,0.0,105.0,0.0,-105.0,525.0,432.0,432.0,23842,15756,39598,186624.0,0.2121806412894376,63.20166841816708,75.20166841816706,170.0,75.20166841816706,271.9973959115599,63.20166841816708,"{""distance_nm"": 63.20166841816708, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-38.21842512109873, 59.5], ""point_b_nm"": [-38.218425121098726, -3.701668418167083], ""touch_or_overlap"": false}",True,True,78,6.730769230769231,1.7585118708365943,2196e1236cf035264b20a0d831e12a6862461f9a64290496164d9073bc96701c,2196e1236cf035264b20a0d831e12a6862461f9a64290496164d9073bc96701c,True,False,False,13650
13654,259,88,194,80,0.49279538904899134,0.41605839416058393,0.45442689160478766,0.0767369948884074,84.017424434,212,0.0,84.017424434,0.0,106.0,0.0,-106.0,525.0,432.0,432.0,22792,15520,38312,186624.0,0.205289780521262,67.35925669520422,75.35925669520421,173.0,75.35925669520421,266.1127793691469,67.35925669520422,"{""distance_nm"": 67.35925669520422, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-29.672222482621777, 62.0], ""point_b_nm"": [-29.67222248262177, -5.359256695204221], ""touch_or_overlap"": false}",True,True,80,6.5625,0.8290725087916632,1be0b1ba5db287db6f0449611f513e60955001e28aee92013cec14863c130808,1be0b1ba5db287db6f0449611f513e60955001e28aee92013cec14863c130808,True,False,False,13654
13658,263,88,198,77,0.4985754985754986,0.44,0.4692877492877493,0.0585754985754986,81.247496456,208,0.0,81.247496456,0.0,104.0,0.0,-104.0,525.0,432.0,432.0,23144,15246,38390,186624.0,0.20570773319615912,60.29445556994864,76.29445556994864,169.0,76.29445556994864,262.5733297756883,60.29445556994864,"{""distance_nm"": 60.29445556994864, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-22.987171519494183, 60.0], ""point_b_nm"": [-22.987171519494176, -0.29445556994863864], ""touch_or_overlap"": false}",True,True,77,6.818181818181818,1.5732174757442743,4ca5770b7587c62286be63f7211a25477f7be5068ad9bc1193b293633f02a9f3,4ca5770b7587c62286be63f7211a25477f7be5068ad9bc1193b293633f02a9f3,True,False,False,13658
13666,260,89,199,79,0.4899713467048711,0.4316546762589928,0.46081301148193193,0.058316670445878294,83.786597103,211,0.0,83.786597103,0.0,105.5,0.0,-105.5,525.0,432.0,432.0,23140,15721,38861,186624.0,0.2082315243484225,63.309335117518245,73.30933511751826,172.0,73.30933511751826,264.9270408273515,63.309335117518245,"{""distance_nm"": 63.309335117518245, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-28.498889120654283, 61.0], ""point_b_nm"": [-28.498889120654304, -2.3093351175182475], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.1697304284732164,d3566769439a05cc28dc195922418cf3be64e4eeb5e96c14e50dc554c9e6568d,d3566769439a05cc28dc195922418cf3be64e4eeb5e96c14e50dc554c9e6568d,True,False,False,13666
13676,251,88,200,79,0.4808259587020649,0.4336917562724014,0.45725885748723316,0.047134202429663485,84.709906429,219,0.0,84.709906429,0.0,109.5,0.0,-109.5,525.0,432.0,432.0,22088,15800,37888,186624.0,0.2030178326474623,71.78409677847219,65.78409677847219,181.0,65.78409677847219,268.0975144560823,65.78409677847219,"{""distance_nm"": 65.78409677847219, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [30.11191329298434, 153.5], ""point_b_nm"": [30.111913292984344, 219.2840967784722], ""touch_or_overlap"": false}",True,True,79,6.6455696202531644,1.2795780546731694,49b6ccc442a926ce994c6a2f0681b675b8b6c9fe36154a94988145308626e2e1,49b6ccc442a926ce994c6a2f0681b675b8b6c9fe36154a94988145308626e2e1,True,False,False,13676
13682,261,89,195,80,0.49142857142857144,0.41818181818181815,0.45480519480519477,0.07324675324675328,87.941489071,216,0.0,87.941489071,0.0,108.0,0.0,-108.0,525.0,432.0,432.0,23229,15600,38829,186624.0,0.20806005658436214,72.62611745666439,72.62611745666442,171.0,72.62611745666442,268.84268617994275,72.62611745666439,"{""distance_nm"": 72.62611745666439, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-36.471980352137095, 63.5], ""point_b_nm"": [-36.47198035213708, -9.12611745666439], ""touch_or_overlap"": false}",True,True,80,6.5625,0.6868218635695078,1532365753c90e1de7ee384dfdb858402edd43745ef24e536c12bc6c5beaea03,1532365753c90e1de7ee384dfdb858402edd43745ef24e536c12bc6c5beaea03,True,False,False,13682
