T_TE,T_TM,T_unpolarized,candidate_id,theta_air_external,wavelength_nm
0.3026848148153367,0.3026848148153358,0.30268481481533627,ZL1_N3_M1_L80_H43,0,453
0.2920272666866045,0.29290002823011146,0.29246364745835796,ZL1_N3_M1_L80_H43,2,453
0.2627565087897313,0.2660930879579919,0.26442479837386157,ZL1_N3_M1_L80_H43,4,453
0.22181499630242926,0.22870573748798587,0.22526036689520756,ZL1_N3_M1_L80_H43,6,453
0.17747489866930397,0.18822102539242655,0.18284796203086526,ZL1_N3_M1_L80_H43,8,453
0.13634237015223769,0.15046482302867967,0.14340359659045868,ZL1_N3_M1_L80_H43,10,453
0.10194114233958632,0.11849929093508788,0.1102202166373371,ZL1_N3_M1_L80_H43,12,453
0.07507579297354382,0.09305337929000025,0.08406458613177203,ZL1_N3_M1_L80_H43,14,453
0.054974233561138015,0.07352933346556341,0.06425178351335072,ZL1_N3_M1_L80_H43,16,453
0.0402938354266034,0.05884267866021376,0.04956825704340858,ZL1_N3_M1_L80_H43,18,453
0.02969455773426201,0.04789301110738865,0.03879378442082533,ZL1_N3_M1_L80_H43,20,453
0.02206441571577019,0.039752330194308474,0.030908372955039332,ZL1_N3_M1_L80_H43,22,453
0.01655802809131473,0.03370289476373004,0.025130461427522385,ZL1_N3_M1_L80_H43,24,453
0.01256100488412599,0.029214176803166125,0.020887590843646057,ZL1_N3_M1_L80_H43,26,453
0.009636812520573315,0.02590392286774219,0.017770367694157754,ZL1_N3_M1_L80_H43,28,453
0.007478294759447389,0.023501451739450823,0.015489873249449105,ZL1_N3_M1_L80_H43,30,453
0.005869778541917062,0.021818543868977466,0.013844161205447264,ZL1_N3_M1_L80_H43,32,453
0.004659441216055959,0.020728219560223166,0.012693830388139562,ZL1_N3_M1_L80_H43,34,453
0.0037398365040008062,0.02015015346393758,0.011944994983969193,ZL1_N3_M1_L80_H43,36,453
0.0030343915560405244,0.020041306582152457,0.01153784906909649,ZL1_N3_M1_L80_H43,38,453
0.002488102712112243,0.020390642056182056,0.01143937238414715,ZL1_N3_M1_L80_H43,40,453
0.002061126820992773,0.021217164081617872,0.011639145451305323,ZL1_N3_M1_L80_H43,42,453
0.0017243529634799622,0.02257085523080581,0.012147604097142885,ZL1_N3_M1_L80_H43,44,453
0.0014563262654586837,0.024536344077902172,0.012996335171680428,ZL1_N3_M1_L80_H43,46,453
0.0012410968256786027,0.027239278871653682,0.014240187848666142,ZL1_N3_M1_L80_H43,48,453
0.001066704522340486,0.030855344036152588,0.015961024279246536,ZL1_N3_M1_L80_H43,50,453
0.0009241035544325913,0.03562148443739525,0.01827279399591392,ZL1_N3_M1_L80_H43,52,453
0.0008063932120075253,0.04184791628884015,0.02132715475042384,ZL1_N3_M1_L80_H43,54,453
0.0007082635250807488,0.049927446869355144,0.025317855197217947,ZL1_N3_M1_L80_H43,56,453
0.0006255928977381512,0.06033490488478495,0.03048024889126155,ZL1_N3_M1_L80_H43,58,453
0.0005551541346864078,0.07360369224569857,0.03707942319019249,ZL1_N3_M1_L80_H43,60,453
0.7301813499148688,0.73018134991487,0.7301813499148695,ZL1_N3_M1_L81_H42,0,448
0.7546625974247108,0.7562913813284919,0.7554769893766013,ZL1_N3_M1_L81_H42,2,448
0.8272511380319336,0.8326965959039745,0.829973866967954,ZL1_N3_M1_L81_H42,4,448
0.9321386079242022,0.9387550752209953,0.9354468415725987,ZL1_N3_M1_L81_H42,6,448
0.9926513319378458,0.9915335327703668,0.9920924323541063,ZL1_N3_M1_L81_H42,8,448
0.872225354035963,0.8704700688398513,0.8713477114379071,ZL1_N3_M1_L81_H42,10,448
0.5971780990986678,0.6185433353889085,0.6078607172437882,ZL1_N3_M1_L81_H42,12,448
0.35268725741904317,0.39351069395811283,0.37309897568857797,ZL1_N3_M1_L81_H42,14,448
0.20234124720061641,0.2478923871754935,0.22511681718805496,ZL1_N3_M1_L81_H42,16,448
0.11921744542355095,0.16198166472797904,0.140599555075765,ZL1_N3_M1_L81_H42,18,448
0.07322351675305651,0.11122316797781197,0.09222334236543424,ZL1_N3_M1_L81_H42,20,448
0.04687705023177373,0.08026338130619987,0.0635702157689868,ZL1_N3_M1_L81_H42,22,448
0.031146699023573046,0.060656679849008306,0.04590168943629068,ZL1_N3_M1_L81_H42,24,448
0.021376424433487515,0.047806770473585156,0.034591597453536335,ZL1_N3_M1_L81_H42,26,448
0.015090237190858427,0.03915122870065187,0.02712073294575515,ZL1_N3_M1_L81_H42,28,448
0.010918967098904777,0.03321369970019169,0.022066333399548232,ZL1_N3_M1_L81_H42,30,448
0.008075516933804629,0.0291162151597312,0.018595866046767915,ZL1_N3_M1_L81_H42,32,448
0.006090885722370138,0.026323488868897772,0.016207187295633956,ZL1_N3_M1_L81_H42,34,448
0.004676457926938875,0.024505066267433515,0.014590762097186195,ZL1_N3_M1_L81_H42,36,448
0.003649452278431442,0.02345905365363149,0.013554252966031466,ZL1_N3_M1_L81_H42,38,448
0.00289112107220142,0.023069253791706865,0.012980187431954143,ZL1_N3_M1_L81_H42,40,448
0.0023225431796783788,0.023281272298567426,0.012801907739122903,ZL1_N3_M1_L81_H42,42,448
0.0018901880492439489,0.024090039367392093,0.012990113708318022,ZL1_N3_M1_L81_H42,44,448
0.0015570750926867417,0.025534736182181023,0.013545905637433882,ZL1_N3_M1_L81_H42,46,448
