candidate_id,level,requested_harmonic_order,actual_harmonic_order,wavelength_nm,DoLP,useful_power,x_fidelity,diagnostic_S0,diagnostic_S1,diagnostic_S2,orientation_deg,prior_delta_max_complex_jones,prior_delta_DoLP,prior_delta_useful_power,prior_delta_x_fidelity
H1C1B_V2_009,pre_level_diagnostic,49,49,450.0,0.9254040206246896,0.21330345693315167,0.952974143463263,0.447658435218,0.405555392514,0.0844999649702,5.88477124565,,,,
H1C1B_V2_009,pre_level_diagnostic,49,49,458.0,0.18048012143939124,0.32856306542438396,0.4105560420549277,1.60057595928,-0.286323697579,0.0382864923558,86.1918652062,,,,
H1C1B_V2_009,Level-0-current,121,121,440.0,0.40374566420750324,0.20639129822253918,0.2981909665301419,1.38428940772,-0.558724214829,-0.01405019013,-89.2797457582,0.2905168732883364,0.11044766294940334,0.065508603999225,0.05525360620732053
H1C1B_V2_009,Level-0-current,121,121,450.0,0.2772297506624838,0.1966018528012339,0.36928908393437315,1.06475853934,-0.27835112813,0.0982522368482,80.279006796,0.7769962217512959,0.6481742699622058,0.016701604131917763,0.5836850595288898
H1C1B_V2_009,Level-0-current,121,121,458.0,0.28812546443781994,0.27017407513657626,0.35595666861294534,1.5180166518,-0.437320351252,0.00717782567247,89.5298387192,0.7301262674902425,0.1076453429984287,0.058388990287807696,0.054599373441982346
H1C1B_V2_009,Level-1-next,225,225,440.0,0.3510592829372257,0.22459752049021714,0.3245890996170727,1.38388824982,-0.485498167861,-0.0178668625522,-88.9462019397,0.1033853129404471,0.05268638127027753,0.018206222267677957,0.02639813308693084
H1C1B_V2_009,Level-1-next,225,225,450.0,0.43618770246061866,0.17662518504771713,0.28235685686377826,1.25107771073,-0.544576970544,0.0350650270163,88.1579202735,0.29506396084902475,0.15895795179813488,0.01997666775351678,0.08693222707059489
H1C1B_V2_009,Level-1-next,225,225,458.0,0.4420179182258451,0.18243993234913128,0.27899179767329046,1.30785158467,-0.578091855278,-0.00151284568203,-89.9250296696,0.18793244357668842,0.15389245378802513,0.08773414278744499,0.07696487093965487
H1C1B_V2_010,pre_level_diagnostic,49,49,440.0,0.17801405636710113,0.31562033804817735,0.41117662281480616,1.5352056539,-0.272724301706,-0.0175467307846,-88.1593685697,,,,
H1C1B_V2_010,pre_level_diagnostic,49,49,450.0,0.7093497483388421,0.4919925254936867,0.8420080128712737,1.16861720547,0.799352896502,0.219560570588,7.67941275402,,,,
H1C1B_V2_010,pre_level_diagnostic,49,49,458.0,0.1125070654429611,0.386131640690839,0.44473614728358507,1.7364526947,-0.191926131938,0.0364847722521,84.6183070577,,,,
H1C1B_V2_010,Level-0-current,121,121,440.0,0.19676621443815098,0.3289106877746563,0.4018826816745399,1.63684927355,-0.321206522446,-0.0236585894485,-87.8937321272,0.27367760767230515,0.01875215807104985,0.013290349726478967,0.00929394114026627
H1C1B_V2_010,Level-0-current,121,121,450.0,0.9592327692084809,0.009171672144713382,0.022102562378649725,0.829919353927,-0.793232665348,-0.0673394640004,-87.5738275613,0.9707784252007912,0.24988302086963876,0.48282085334897334,0.819905450492624
H1C1B_V2_010,Level-0-current,121,121,458.0,0.24726048669262246,0.2903368078444996,0.376405242507259,1.54268206208,-0.381334830702,0.00913861217145,89.3135904943,0.7195053295932735,0.13475342124966136,0.09579483284633938,0.06833090477632608
H1C1B_V2_010,Level-1-next,225,225,440.0,0.18291554124640572,0.3244504687732434,0.4089901879821536,1.58659292231,-0.288791047216,-0.0286884648584,-87.1634287655,0.11917616959737394,0.013850673191745266,0.004460219001412913,0.007107506307613698
H1C1B_V2_010,Level-1-next,225,225,450.0,0.8929209707170151,0.027586881269115102,0.05663894247172193,0.974131227217,-0.86378370214,-0.102315088283,-86.6223981566,0.1799576977587572,0.06631179849146573,0.01841520912440172,0.03453638009307221
H1C1B_V2_010,Level-1-next,225,225,458.0,0.5377406669689175,0.137013824490965,0.23112979398656447,1.18560071489,-0.637545416922,0.000620812672539,89.9721039993,0.32509585278112324,0.2904801802762951,0.15332298335353461,0.14527544852069452
