angle_minus_positive_target_deg,angle_deg,incoherent_intensity_proxy
-100.0918236915276,-64.02032212438473,6.528907805949965e-06
-99.9612667423156,-63.88976517517275,6.456835792069221e-06
-99.83131397707442,-63.75981240993156,6.379580620340763e-06
-99.7019564252314,-63.630454858088555,6.2983041192482905e-06
-99.57318533184579,-63.501683764702946,6.214046716065778e-06
-99.44499215042752,-63.37349058328467,6.127715574455007e-06
-99.31736853606051,-63.24586696891765,6.0400814923522854e-06
-99.19030633881493,-63.118804771672075,5.951784073420728e-06
-99.06379759743317,-62.99229603029031,5.863344267541131e-06
-98.93783453327636,-62.866332966133506,5.7751830093085e-06
-98.81240954451823,-62.74090797737537,5.687644385952053e-06
-98.6875152005738,-62.616013633430946,5.601021551898751e-06
-98.56314423675181,-62.49164266960896,5.515583486798282e-06
-98.43928954911978,-62.367787981976925,5.431600673199409e-06
-98.31594418957135,-62.2444426224285,5.349367850420231e-06
-98.19310136108673,-62.12159979394388,5.269222178838362e-06
-98.07075441317636,-61.999252846033514,5.191555415474171e-06
-97.94889683749992,-61.87739527035707,5.116819044630024e-06
-97.82752226365207,-61.756020696509225,5.0455217099748656e-06
-97.70662445510742,-61.63512288796456,4.978218737284625e-06
-97.58619730531727,-61.51469573817442,4.915493998388268e-06
-97.46623483395155,-61.39473326680869,4.8579348239184144e-06
-97.34673118327905,-61.275229616136194,4.806101102356428e-06
-97.22768061468003,-61.15617904753717,4.760490083743385e-06
-97.10907750528514,-61.03757593814228,4.721498718514079e-06
-96.99091634473535,-60.91941477759251,4.689385588432278e-06
-96.87319173205753,-60.801690164914675,4.66423461464129e-06
-96.75589837265028,-60.684396805507426,4.645922748973773e-06
-96.63903107537607,-60.56752950823321,4.63409376542298e-06
-96.52258474975437,-60.45108318261152,4.628140070781176e-06
-96.40655440325214,-60.33505283610929,4.627194153786831e-06
-96.29093513866707,-60.219433571524206,4.630130902500033e-06
-96.17572215159996,-60.104220584457096,4.635581556294634e-06
-96.06091072801277,-59.98940916086991,4.6419595418151806e-06
-95.94649624186847,-59.87499467472562,4.647497894373249e-06
-95.83247415284936,-59.76097258570651,4.6502974122908335e-06
-95.71884000415099,-59.64733843700814,4.648384157130101e-06
-95.60558942034861,-59.534087853205754,4.639774422662825e-06
-95.49271810533273,-59.42121653818987,4.622544873354815e-06
-95.38022184031183,-59.30872027316898,4.594905219938772e-06
-95.26809648187921,-59.19659491473636,4.555270572551355e-06
-95.15633796014119,-59.084836392998334,4.502330503670407e-06
-95.04494227690492,-58.97344070976207,4.43511187134757e-06
-94.93390550392297,-58.86240393678012,4.3530326001065925e-06
-94.82322378119281,-58.751722214049956,4.255943888789957e-06
-94.71289331530913,-58.64139174816628,4.144158702401014e-06
-94.60291037786668,-58.531408810723825,4.0184648941511595e-06
-94.49327130391217,-58.42176973676931,3.880121875340165e-06
-94.38397249044317,-58.312470923300324,3.7308403813360974e-06
-94.27501039495229,-58.20350882780943,3.5727455458257005e-06
-94.16638153401499,-58.09487996687213,3.4083241649222897e-06
-94.05808248191948,-57.98658091477663,3.240357679291743e-06
-93.95010986933724,-57.87860830219438,3.071842998480614e-06
-93.84246038203247,-57.770958814889624,2.9059038112594233e-06
-93.73513075960935,-57.663629192466495,2.745695446199119e-06
-93.62811779429553,-57.55661622715268,2.5943066490856865e-06
-93.52141832976096,-57.44991676261811,2.4546618142376475e-06
-93.41502925997017,-57.34352769282732,2.329427236939855e-06
-93.30894752806759,-57.237445960924745,2.2209248415835405e-06
-93.20317012529418,-57.13166855815133,2.1310565883081793e-06
-93.09769408993455,-57.026192522791696,2.0612423795125684e-06
-92.99251650629364,-56.92101493915078,2.012373791623788e-06
-92.8876345037016,-56.816132936558745,1.9847853669792113e-06
-92.78304525554631,-56.71154368840345,1.9782445396454534e-06
-92.67874597833239,-56.607244411189534,1.991960564553806e-06
-92.57473393076577,-56.503232363622914,2.024612100421749e-06
-92.47100641286318,-56.399504845720315,2.074392393112483e-06
-92.36756076508564,-56.29605919794279,2.139070346252195e-06
-92.26439436749503,-56.192892800352176,2.2160651770551847e-06
-92.16150463893328,-56.09000307179042,2.302531861299657e-06
-92.05888903622308,-55.987387469080225,2.395454192044779e-06
-91.95654505338982,-55.885043486246964,2.491742026824269e-06
-91.8544702209038,-55.78296865376096,2.5883291869572396e-06
-91.75266210494212,-55.681160537799265,2.6822685035914106e-06
-91.65111830666962,-55.57961673952677,2.7708206753738604e-06
-91.54983646153849,-55.47833489439563,2.8515339035490302e-06
-91.44881423860548,-55.37731267146262,2.9223116876278463e-06
-91.34804933986686,-55.276547772724015,2.9814666795230167e-06
-91.24753949960986,-55.176037932467004,3.027759083190108e-06
-91.14728248378049,-55.075780916637626,3.060418724399145e-06
-91.04727608936732,-54.97577452222446,3.0791505735563328e-06
-90.94751814380035,-54.87601657665749,3.084124155233269e-06
-90.84800650436497,-54.77650493722212,3.075947893686591e-06
-90.74873905763013,-54.67723749048727,3.0556299985398105e-06
-90.64971371889055,-54.5782121517477,3.02452796637204e-06
-90.55092843162268,-54.47942686447983,2.984289143657879e-06
-90.4523811669535,-54.38087959981064,2.9367850505793584e-06
-90.35406992314235,-54.282568355999494,2.8840422953055392e-06
-90.25599272507512,-54.18449115793227,2.828172911717348e-06
-90.15814762377039,-54.08664605662754,2.771306833298129e-06
-90.06053269589736,-53.98903112875451,2.7155289806063026e-06
-89.96314604330506,-53.891644476162206,2.662823103071896e-06
-89.86598579256267,-53.79448422541982,2.6150240958877543e-06
-89.76905009451058,-53.69754852736772,2.573780031092648e-06
-89.6723371238217,-53.60083555667886,2.5405246226418572e-06
-89.57584507857314,-53.504343511430285,2.5164603137486415e-06
-89.47957217982744,-53.40807061268459,2.5025516566166603e-06
-89.38351667122367,-53.31201510408083,2.499528174382202e-06
-89.28767681857761,-53.216175251434755,2.5078954749703843e-06
