candidate_id,geometry_hash,topology,N,H_nm,L_nm,C_nm,M,effective_center_nm,spectral_peak_nm,spectral_FWHM_nm,T448,T450,T453,edge_stability,normal_to_40_60_ratio,FAB_pass,PERF_pass,combined_pass,layer_count,total_thickness_nm,pareto_view_name,candidate_role_suggestion
ZL1_N2_M5_L79_H44,f113d6914ee8f4a815469d7e0a953db921a9e365891bfd07281765afa9e8d846,ZL-1,2,44,79,,5,474.0,450.0,8.0,0.818765019074975,0.9927238945573948,0.6676292093343901,0.6676292093343901,13.436837598481523,false,false,false,8,887.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N2_M5_L78_H47,3ec8563f196f141453b58eea03d8100bfa5f02adac4ea248fe1e8d5b09daf49e,ZL-1,2,47,78,,5,468.0,450.5,8.5,0.7321030376644054,0.9758226117669793,0.7599725817118845,0.7321030376644054,16.15687098275846,false,false,false,8,890.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N3_M1_L81_H42,dbbfbf68bd220cc3c9b91855df975e36c1a94cc59aef5d1ce403807c568e58f0,ZL-1,3,42,81,,1,162.0,449.4000000000033,4.724225440245732,0.7301813499148695,0.9322651661739279,0.3116806177834074,0.3116806177834074,37.88452840227787,true,false,true,12,819.0,global:fwhm_vs_edge_stability,engineering_baseline
ZL1_N3_M1_L80_H43,29630a3eea1ed68810527a8538e45e589e76c7c0409578bf4e61feb34ac9115b,ZL-1,3,43,80,,1,160.0,449.4000000000033,4.69505075536199,0.7406968277640451,0.922743342165159,0.30268481481533627,0.30268481481533627,39.33705489296197,true,false,true,12,818.0,global:fwhm_vs_edge_stability,engineering_baseline
ZL1_N3_M1_L79_H44,817ed8929a34811ccbbcccd906049cf55efada8a4b88f33fb332e88cb5cf10d8,ZL-1,3,44,79,,1,158.0,449.30000000000325,4.677190464377418,0.7542915113313251,0.9117192359245878,0.2945912349888151,0.2945912349888151,40.50392317159361,true,false,true,12,817.0,global:fwhm_vs_edge_stability,engineering_baseline
ZL1_N3_M1_L78_H45,e11389094bdf449311735881d77f295aa1343e5d608ae647b884eef32225ad0c,ZL-1,3,45,78,,1,156.0,449.0,4.5,0.7694134099277381,0.9003088790987526,0.28792008898842447,0.28792008898842447,38.69822484521607,false,false,false,12,816.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N3_M3_L79_H44,c38694d6f162c04322ae8a87def91622d4fd4f272e4ec286e85acc978f74d888,ZL-1,3,44,79,,3,316.0,449.5,2.5,0.4814166445388499,0.960593300342243,0.20923240732963397,0.20923240732963397,44.25993192804931,false,false,false,12,975.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N3_M3_L78_H46,ad8cbef5a96144d8d7d0e2d9bdba185905a6250f90a83b945bfb99b967482af5,ZL-1,3,46,78,,3,312.0,450.3000000000035,3.367307153062086,0.3398689873537695,0.9604979466115663,0.28492814222199636,0.28492814222199636,69.33276935837053,false,true,true,12,978.0,global:fwhm_vs_edge_stability,performance_anchor
ZL1_N3_M5_L78_H47,da793695f5d57c3e7f3703c913a0daefeffb94a72795d43de2fe93caeca5d384,ZL-1,3,47,78,,5,468.0,451.0,2.0,0.16962628386372472,0.6777899529250564,0.28675110957759964,0.16962628386372472,37.70249559270424,false,false,false,12,1140.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N4_M1_L81_H42,389b256c57892bfa27bc1ec43d76e7a4dce2e23ecc19b60b094afd84a2223372,ZL-1,4,42,81,,1,162.0,449.5,1.0,0.22797825363069046,0.5297747771559818,0.04056326382740063,0.04056326382740063,40.47752342910457,false,false,false,16,1065.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N4_M3_L78_H46,957b372a20076d0837178bef1cab70cb8f9547eebb142895dd674747aa6a7449,ZL-1,4,46,78,,3,312.0,450.5,0.5,0.04503322690779556,0.6498821839418254,0.03944784789172656,0.03944784789172656,134.57060974279528,false,false,false,16,1226.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N4_M5_L78_H47,1eeb9a50c57966366843ed8aa4e8b54842948131f29708ac5591ec5c3bfa4444,ZL-1,4,47,78,,5,468.0,451.0,0.0,0.018657439682252405,0.14537773358036254,0.04236760521014919,0.018657439682252405,42.155902142089474,false,false,false,16,1390.0,global:fwhm_vs_edge_stability,coverage_probe
ZL1_N2_M5_L82_H47,e252fab31e0ace132e4e2c7d29776ccde73b1d707310b60cf8a6b12839188e68,ZL-1,2,47,82,,5,492.0,468.0,6.0,0.051383184070423166,0.06143030444924562,0.08411812036400476,0.051383184070423166,1.367169411090955,false,false,false,8,926.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N3_M5_L76_H43,cc1263f1de8e7630e6fce97767f5e22ad50e4c9b8fe64580337dd56ec044cd68,ZL-1,3,43,76,,5,456.0,435.0,1.5,0.01076471160522351,0.008571681879262218,0.0065575825711387745,0.0065575825711387745,0.06348138349264146,false,false,false,12,1094.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L76_H42,b0ed60b6eb52588bd2b19ce7fa15d633f8ee6502efcbcf67e2c510499a04f72a,ZL-1,4,42,76,,5,456.0,433.5,0.0,0.000907367647748577,0.0007672234537097417,0.0006359804019711549,0.0006359804019711549,0.005882304554284795,false,false,false,16,1324.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L78_H42,4f80314b1680f6f38d849841cf62b011f23028ccc40c978643da50d041cbdcdf,ZL-1,4,42,78,,5,468.0,442.0,0.0,0.004701381668191703,0.0028268406069573175,0.001672264259342068,0.001672264259342068,0.021230884712883907,false,false,false,16,1350.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L77_H43,481b3a3f55b92252f501c860aa6c4664a572d6e35e8f0861a1e3da406de4e6cb,ZL-1,4,43,77,,5,462.0,439.5,0.0,0.0023139081535844632,0.0016185778754997946,0.0010927954957147788,0.0010927954957147788,0.012549309820471824,false,false,false,16,1345.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L82_H43,f86343d5600f959d4717c9d31069249504339ca773fd8e625256f6715a49cf60,ZL-1,4,43,82,,5,492.0,461.0,0.0,0.000999510345216664,0.0014095043009584168,0.002733870119328124,0.000999510345216664,0.24467006027061558,false,false,false,16,1410.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L76_H44,7610eccd2324fa0482322b341a4e1452da98da649413bb0051f498b607f27595,ZL-1,4,44,76,,5,456.0,437.0,0.0,0.0013832921170956703,0.0010558123428266349,0.0007763310963010818,0.0007763310963010818,0.008318019592192858,false,false,false,16,1340.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L81_H44,5f1d061713ee30a97b1dccfd8c3cd96663d83aab89d6a7db1a8fabfe17eea9b4,ZL-1,4,44,81,,5,486.0,458.5,0.0,0.0015028453881901931,0.0023106982894648973,0.005633454003371053,0.0015028453881901931,0.47883630112765185,false,false,false,16,1405.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L80_H45,002214a1a579f6a9ea3468522ab5b6d0bc93e711eddef21244e1b4c507563b77,ZL-1,4,45,80,,5,480.0,456.0,0.0,0.002580635206490632,0.004610516000285184,0.018574620162102165,0.002580635206490632,1.292278582185746,false,false,false,16,1400.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L79_H46,f3180873f7afff3b1c5bc39c5c3f8286ff57feb48da3f1b995184ce583353857,ZL-1,4,46,79,,5,474.0,453.5,0.0,0.005513892192075105,0.013585781276946944,0.40729947136596323,0.005513892192075105,12.90516723790146,false,false,false,16,1395.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L76_H47,b654c3c868a6331a7556f3c78e1830642fb6bbc43eeec6ab6b50f9f5084ac057,ZL-1,4,47,76,,5,456.0,442.5,0.0,0.005336787589778938,0.002965937290468856,0.0016021294421095797,0.0016021294421095797,0.12722113288543332,false,false,false,16,1364.0,global:fwhm_vs_layer_count,coverage_probe
ZL1_N4_M5_L78_H47,1eeb9a50c57966366843ed8aa4e8b54842948131f29708ac5591ec5c3bfa4444,ZL-1,4,47,78,,5,468.0,451.0,0.0,0.018657439682252405,0.14537773358036254,0.04236760521014919,0.018657439682252405,42.155902142089474,false,false,false,16,1390.0,global:fwhm_vs_layer_count,coverage_probe
ZL2_N2_L82_H47,dbcef39238da0876433bd45e047c2b9d6ebf49d54126247e9c20b288d200ed34,ZL-2,2,47,82,,,164.0,468.5,18.0,0.3341168028991239,0.3768291926164198,0.45164443821270644,0.3341168028991239,1.3829610312624598,false,false,false,7,516.0,global:fwhm_vs_layer_count,topology_control
ZL1_N2_M1_L76_H42,907713968ab9099d94325dcc142ca1b2713ecc48d4d4cfe9aa67834f8681a5ee,ZL-1,2,42,76,,1,152.0,433.5,10.5,0.23234503866245076,0.1958279776189008,0.1565778392483054,0.1565778392483054,2.4940948498547253,false,false,false,8,548.0,global:fwhm_vs_total_thickness,coverage_probe
ZL1_N2_M1_L82_H47,abc607b1d9e8e1f47a5dce96e4ca5500801a0199b4b15c7ef76b63e9959a6cf8,ZL-1,2,47,82,,1,164.0,469.0,9.5,0.14205792852008256,0.16847848127750598,0.22328182096838228,0.14205792852008256,1.195477860653704,false,false,false,8,598.0,global:fwhm_vs_total_thickness,coverage_probe
ZL1_N2_M3_L76_H42,0596ad3be60ae09ff3a3eab4f7c32e2fbb8e0b66c5c791fd272173eee2224f2e,ZL-1,2,42,76,,3,304.0,433.5,8.5,0.13286081514235398,0.11005440378959819,0.08669862115816941,0.08669862115816941,1.5131788822093626,false,false,false,8,700.0,global:fwhm_vs_total_thickness,coverage_probe
ZL1_N3_M1_L76_H42,8febf08f0993d35f5225588e1a45db2b3fc1e84ff944e0c5e40198721815f088,ZL-1,3,42,76,,1,152.0,433.0,3.5,0.02609605430656711,0.02146802646666781,0.01691726965900249,0.01691726965900249,0.8122689333835268,false,false,false,12,784.0,global:fwhm_vs_total_thickness,coverage_probe
ZL1_N3_M3_L76_H42,adc4245078c45b1774df7d09f3aef90a195f6746bf44a759a113c68f60d40078,ZL-1,3,42,76,,3,304.0,433.5,2.5,0.014005616660172991,0.01154616191429451,0.009157890584560284,0.009157890584560284,0.3044532305863494,false,false,false,12,936.0,global:fwhm_vs_total_thickness,coverage_probe
ZL1_N4_M1_L76_H42,5952db867305ae62c25a306015fee433c202726d92a4532a16fcb2aa247a0953,ZL-1,4,42,76,,1,152.0,433.0,0.5,0.002658018679010916,0.002220486139667722,0.0017988846835108095,0.0017988846835108095,0.1424625735777794,false,false,false,16,1020.0,global:fwhm_vs_total_thickness,coverage_probe
ZL2_N2_L76_H42,e0daa617bbbf71eddd9a10732f628f15eb81ace3f72514477cf73ca7f30dae51,ZL-2,2,42,76,,,152.0,433.5,20.0,0.46126448157501987,0.4155585541211336,0.3582609083653111,0.3582609083653111,2.8165445299358165,false,false,false,7,472.0,global:fwhm_vs_total_thickness,topology_control
ZL2_N2_L82_H47,dbcef39238da0876433bd45e047c2b9d6ebf49d54126247e9c20b288d200ed34,ZL-2,2,47,82,,,164.0,468.5,18.0,0.3341168028991239,0.3768291926164198,0.45164443821270644,0.3341168028991239,1.3829610312624598,false,false,false,7,516.0,global:fwhm_vs_total_thickness,topology_control
ZL2_N3_L76_H42,10aa7c9b5b923d282283b980f1a92cdf06738b65a85a38507559b00d7031166f,ZL-2,3,42,76,,,152.0,433.0,7.0,0.07247308123001422,0.05999471382320343,0.047388391442754946,0.047388391442754946,1.4934131471649141,false,false,false,11,708.0,global:fwhm_vs_total_thickness,topology_control
ZL2_N3_L82_H47,ef6b70a24f60e4417d67523a9ed052900a95a70bc2fdaa9251a127723c1eee08,ZL-2,3,47,82,,,164.0,469.0,6.0,0.042190904277078306,0.05087348316202529,0.07013901256803572,0.042190904277078306,0.9330268035620876,false,false,false,11,774.0,global:fwhm_vs_total_thickness,topology_control
ZL2_N4_L76_H42,22a13359d0a334466692313fec33203083dbfeb3dea6f987e485d91790bd30db,ZL-2,4,42,76,,,152.0,433.0,1.5,0.007499988437878755,0.00623349538535327,0.005001492471750799,0.005001492471750799,0.3408012798186028,false,false,false,15,944.0,global:fwhm_vs_total_thickness,topology_control
ZL2_N5_L77_H42,8a9e1ebce6d4716e9075c27f05ea81a3a0884d48d5473b91bb1ae585d24d7f5e,ZL-2,5,42,77,,,154.0,436.5,0.0,0.0011896597413120235,0.0009369471431549599,0.0007149894831812476,0.0007149894831812476,0.0809280947098525,false,false,false,19,1190.0,global:fwhm_vs_total_thickness,topology_control
ZL2_N5_L76_H43,f1cb8ad02135aea705ed55d9edee46fda269553ef484ac375f0ada87ee51dcea,ZL-2,5,43,76,,,152.0,436.5,0.0,0.001146727956026266,0.0008984047391045029,0.0006802769378923331,0.0006802769378923331,0.09959420591680002,false,false,false,19,1190.0,global:fwhm_vs_total_thickness,topology_control
EX_N2_L82_H46_C152,f8f9a6d2da3490ab6a66f1be443c5fe8ecb48686010bc62b43ac053653ab195e,Explicit,2,46,82,152,,152.0,449.5,27.0,0.825839906466985,0.8368476012415528,0.7895128706645107,0.7895128706645107,7.99695919481668,false,false,false,9,664.0,topology=Explicit:fwhm_vs_T450,coverage_probe
EX_N5_L82_H44_C156,de94924fb5e7b91b8258bfc2fccb6699435361f92af41ed37f0c06695a6f6641,Explicit,5,44,82,156,,156.0,450.10000000000343,0.7261202521319774,0.0232081294313831,0.7658637321724764,0.013252984709068764,0.013252984709068764,358.57277821372196,false,true,true,21,1416.0,topology=Explicit:fwhm_vs_T450,performance_anchor
EX_N5_L78_H45_C157,12d73e9dd66f0015b75edb3a99f0f11fad8f2159a23369e1b8bdcb381cd7f6a2,Explicit,5,45,78,157,,157.0,450.5,0.0,0.017274800952125163,0.37217546453132105,0.016004630876194335,0.016004630876194335,199.78768559217113,false,false,false,21,1387.0,topology=Explicit:fwhm_vs_T450,coverage_probe
EX_N5_L80_H45_C155,95a41d8554f9b6a0068ac134967458bb2eced6c27f36dbb7131f73b8c5e80419,Explicit,5,45,80,155,,155.0,450.0,0.5,0.021152991738631523,0.6375129293773938,0.013961055627156466,0.013961055627156466,282.2558852169324,false,false,false,21,1405.0,topology=Explicit:fwhm_vs_T450,coverage_probe
EX_N5_L81_H45_C154,e20c7785c7178ff5112b9b3246a52c1725afcb09719ea4a0935e6d5b671c9f48,Explicit,5,45,81,154,,154.0,450.10000000000343,0.7300826721127578,0.023669689051729642,0.7685517237618347,0.013269931908315916,0.013269931908315916,413.31640333557306,false,true,true,21,1414.0,topology=Explicit:fwhm_vs_T450,performance_anchor
EX_N5_L82_H45_C153,ea49cc1ef359dc96fc8cda90010b76865399ae2599999ac08b6d21072da82274,Explicit,5,45,82,153,,153.0,450.0000000000034,0.7398955758785064,0.026598425485898525,0.8337421340912039,0.012781944178061338,0.012781944178061338,454.7310224496281,false,false,false,21,1423.0,topology=Explicit:fwhm_vs_T450,coverage_probe
EX_N2_L76_H44_C159,72c1e9492fd01abdb9dfaa39c2e62f3c0a887b38a74cb8b795081d673dd1fad8,Explicit,2,44,76,159,,159.0,448.5,26.5,0.8299469953327606,0.8238814393530289,0.7569978358136566,0.7569978358136566,7.4243981363081915,false,false,false,9,639.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N2_L80_H45_C152,d5d72b0f6ddcc57f0f54746098f2e7c7406740f81c2a8e6bfa6bb0c1b3aa1bbd,Explicit,2,45,80,152,,152.0,445.0,26.0,0.7967190542611848,0.7378681541679131,0.6282913684864868,0.6282913684864868,7.466176675958681,false,false,false,9,652.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N2_L82_H45_C155,75bb72d9b549f0c16d5e7074055f17f6f31e53b9dd060827ecc5bfa0e259918c,Explicit,2,45,82,155,,155.0,450.5,27.0,0.8064915900940726,0.8328371422722822,0.8067662951118116,0.8064915900940726,7.819111630558073,false,false,false,9,663.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N3_L77_H44_C159,b299706cd4dfbe63e9dd596e6cdd019d013c7d19878e7702a37b595c7ddf11af,Explicit,3,44,77,159,,159.0,448.5,6.5,0.806349545742304,0.7329535607130275,0.36253573727606386,0.36253573727606386,27.031721838123374,false,false,false,13,885.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N3_L81_H46_C152,843cf713064a771880139715fc823240fa68afcb7e2fa74a9631ad339cb6dda3,Explicit,3,46,81,152,,152.0,450.5,7.0,0.5758633842187872,0.8185183030019686,0.5929837752526478,0.5758633842187872,45.751060765145695,false,false,false,13,914.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N4_L80_H43_C161,1d327686c7713b876099ee1a130f499b39dbe966183d090e587b0b19a828d469,Explicit,4,43,80,161,,161.0,450.5,2.0,0.14456288496965242,0.7232060351459323,0.14473377193875828,0.14456288496965242,92.5355796913962,false,false,false,17,1145.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N4_L81_H43_C160,2ca0d02899a6c74b823e60ffab23f75238fec031f67a2d05d820c2ee8c0e4c7a,Explicit,4,43,81,160,,160.0,450.5,1.5,0.15914031133452494,0.7742763377252804,0.13266793410104213,0.13266793410104213,103.75008767447689,false,false,false,17,1152.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N5_L80_H43_C161,0f7ff28730a9b4e4550093c69a9105db4e5660f2abc3ae51d5a87805e5198a6e,Explicit,5,43,80,161,,161.0,450.5,0.0,0.017081594602619675,0.36336943575989944,0.016591332798449807,0.016591332798449807,133.84226080096482,false,false,false,21,1391.0,topology=Explicit:fwhm_vs_edge_stability,coverage_probe
EX_N2_L76_H42_C152,5e7c68405ae07293973e3eefcb01c30473d969b82ae6280db820da971fe813c0,Explicit,2,42,76,152,,152.0,433.5,16.5,0.38153810481075173,0.336369254233416,0.2823275415957912,0.2823275415957912,3.6201443423571806,false,false,false,9,624.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L76_H42_C153,a59b4ccd0246ae2aee234af8fea5ce24e2b39f3883b34e27a639c3c4e68f1ef6,Explicit,3,42,76,153,,153.0,434.5,6.0,0.06074856667484117,0.04918149347156692,0.03788945170667332,0.03788945170667332,1.716820826603271,false,false,false,13,861.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L76_H42_C156,346ab21376d081a4b1ff9f3a6b239a4d6a08cc2133798900f447102721fdd611,Explicit,3,42,76,156,,156.0,438.0,6.0,0.1027996332217342,0.0776565637673795,0.05533152928988712,0.05533152928988712,2.58121923312393,false,false,false,13,864.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L77_H42_C154,62dcdf4da40aa772d10d83e2cb7bd27c751d53d0bafbb403a422e1fba0efc912,Explicit,3,42,77,154,,154.0,436.5,6.0,0.0807801808016462,0.06286604651324794,0.0462715200384782,0.0462715200384782,2.304688540943838,false,false,false,13,868.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L78_H42_C152,893245198c9ba5db87a5de99cc4d86e489453deb7d8aae7cb864e26f67021a28,Explicit,3,42,78,152,,152.0,435.0,6.0,0.06496389871836235,0.05183957355604047,0.03922696606111137,0.03922696606111137,2.087063274249023,false,false,false,13,872.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L78_H42_C154,bf919dd609c0a71feadc5fd068211435ec38855139a250d9f8664c03eb3a2f36,Explicit,3,42,78,154,,154.0,437.5,6.0,0.09252569592988028,0.07048421800198709,0.0506150079051048,0.0506150079051048,2.7385411582787156,false,false,false,13,874.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L79_H42_C152,f6c88641b76168f5da3e2bb8cad49e9204b77620243566f33ff454cff6b38cac,Explicit,3,42,79,152,,152.0,436.0,6.0,0.07352018082703625,0.05759855595156221,0.04265362055152848,0.04265362055152848,2.4536167903229855,false,false,false,13,878.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L76_H43_C152,4bbd4c6bbd5933a32c3cece26d2bb8f99ccdffd87a34c62ecfb428e01fa2aa4d,Explicit,3,43,76,152,,152.0,436.5,6.0,0.07863172216794356,0.061095129217313304,0.044846936913863086,0.044846936913863086,2.414732517652669,false,false,false,13,866.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N3_L77_H43_C153,6995a2eb4e0fe51af4bc8424cb4a83f5bc086ce15986ec373173a4d1df633ede,Explicit,3,43,77,153,,153.0,438.5,6.0,0.11016450122179536,0.08145518202636609,0.05653865233188232,0.05653865233188232,3.3279364991278233,false,false,false,13,873.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C152,e48b85e3ee3a5db892a448b1ef7b24e54a50dca579e0a34aff873642e0533491,Explicit,4,42,76,152,,152.0,433.0,1.5,0.005345233859070018,0.004442144626665232,0.0035652252594652483,0.0035652252594652483,0.2753899122231541,false,false,false,17,1096.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C153,90e9687b8ca2b3cc2e24ffcb5ca63902274486141736a86176bb603b23ede20b,Explicit,4,42,76,153,,153.0,434.5,1.5,0.006224435782201501,0.00507138620903834,0.003981031014341548,0.003981031014341548,0.3135829679660689,false,false,false,17,1097.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C154,f51da3fb9dd97c09a3c43fc44260fb628f9bf33cefa64bfea2839102a294458c,Explicit,4,42,76,154,,154.0,435.5,1.5,0.007345420753225935,0.005849038458880516,0.004477608847914263,0.004477608847914263,0.3601857192406555,false,false,false,17,1098.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C155,71bacdc3615bf6dff8d9a84ffb4605fc79a36517fb81f404e9b3ff9605c81057,Explicit,4,42,76,155,,155.0,436.5,1.5,0.008805288311529113,0.00682553574288785,0.005077234750562477,0.005077234750562477,0.41788741821444103,false,false,false,17,1099.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C156,37092abb2ddd200c5110a5c0f486407035ef781df0ec11dda0eb85f8fa06c0b6,Explicit,4,42,76,156,,156.0,437.5,1.5,0.010755015041603545,0.008074631676041832,0.005810411998813955,0.005810411998813955,0.4905511085146056,false,false,false,17,1100.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C157,ea95c55cbf01bfdd867027fe2b6a7bede0f6faba9c43d3054fb96c1d4dd27930,Explicit,4,42,76,157,,157.0,439.0,1.5,0.013439509120812768,0.009707583086219045,0.006719795002446248,0.006719795002446248,0.5838888558973955,false,false,false,17,1101.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C159,32bd8fcdc659c5a4ba7f1b33709b989a6488541a1ae48c159ffebb320c465840,Explicit,4,42,76,159,,159.0,441.0,1.5,0.023027782932958048,0.014931750180064221,0.009340400814874136,0.009340400814874136,0.8727189901499763,false,false,false,17,1103.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C160,7128fbaf40273524a1a697d768ba2bef8af13ebad99d10b8bb2397b717b45920,Explicit,4,42,76,160,,160.0,442.0,1.5,0.03218941766066194,0.01929753758411843,0.011278329698057518,0.011278329698057518,1.1054127642366156,false,false,false,17,1104.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L76_H42_C161,ef7f935c759669d1c04de575e6e707b8cd9f31b2155b4f44383878bb4a250ef2,Explicit,4,42,76,161,,161.0,443.5,1.5,0.04802765884652314,0.025896948011447436,0.013896224502316853,0.013896224502316853,1.4460915616157801,false,false,false,17,1105.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
EX_N4_L77_H42_C152,8780b700978575c37a20fc1a61ddd192655bea42e227ef29e0d75a5f0d8e86c6,Explicit,4,42,77,152,,152.0,434.0,1.5,0.005939826253333086,0.004835434873385439,0.003786603947953954,0.003786603947953954,0.358140167271808,false,false,false,17,1104.0,topology=Explicit:fwhm_vs_layer_count,coverage_probe
