topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,4,47,79,152,,1160,17,1,1.5,1.5,1.5,0.059677792936755084,0.059677792936755084,0.059677792936755084,0.18114206605547126,0.18114206605547126,0.18114206605547126,0.5917641795074328,0.5917641795074328,0.5917641795074328,116.78478214753744,116.78478214753744,116.78478214753744
Explicit,4,47,79,153,,1161,17,1,2.0,2.0,2.0,0.03844979725630799,0.03844979725630799,0.03844979725630799,0.0916335865681791,0.0916335865681791,0.0916335865681791,0.7590239638101735,0.7590239638101735,0.7590239638101735,57.18506658417179,57.18506658417179,57.18506658417179
Explicit,4,47,79,154,,1162,17,1,2.0,2.0,2.0,0.02674941880585681,0.02674941880585681,0.02674941880585681,0.054199357576143484,0.054199357576143484,0.054199357576143484,0.324304657865926,0.324304657865926,0.324304657865926,25.910825266553218,25.910825266553218,25.910825266553218
Explicit,4,47,79,155,,1163,17,1,2.0,2.0,2.0,0.019659266638998578,0.019659266638998578,0.019659266638998578,0.03556099595222437,0.03556099595222437,0.03556099595222437,0.14315950439229658,0.14315950439229658,0.14315950439229658,14.135130366273781,14.135130366273781,14.135130366273781
Explicit,4,47,79,156,,1164,17,1,2.5,2.5,2.5,0.015052491347179637,0.015052491347179637,0.015052491347179637,0.025057271679302773,0.025057271679302773,0.025057271679302773,0.07682579022499386,0.07682579022499386,0.07682579022499386,8.763242909026994,8.763242909026994,8.763242909026994
Explicit,4,47,79,157,,1165,17,1,2.0,2.0,2.0,0.011896004117126505,0.011896004117126505,0.011896004117126505,0.018588970376571597,0.018588970376571597,0.018588970376571597,0.04724151298877646,0.04724151298877646,0.04724151298877646,5.8980045505979,5.8980045505979,5.8980045505979
Explicit,4,47,79,158,,1166,17,1,2.0,2.0,2.0,0.009641216358722095,0.009641216358722095,0.009641216358722095,0.01433507354935245,0.01433507354935245,0.01433507354935245,0.03182023423735612,0.03182023423735612,0.03182023423735612,4.19752150981868,4.19752150981868,4.19752150981868
Explicit,4,47,79,159,,1167,17,1,2.0,2.0,2.0,0.007975673588008202,0.007975673588008202,0.007975673588008202,0.011392875701695367,0.011392875701695367,0.011392875701695367,0.02284326807244939,0.02284326807244939,0.02284326807244939,3.1092299369495318,3.1092299369495318,3.1092299369495318
Explicit,4,47,79,160,,1168,17,1,2.5,2.5,2.5,0.00671109868088236,0.00671109868088236,0.00671109868088236,0.009275378841139015,0.009275378841139015,0.009275378841139015,0.017182547917958348,0.017182547917958348,0.017182547917958348,2.3727741111523413,2.3727741111523413,2.3727741111523413
Explicit,4,47,79,161,,1169,17,1,2.0,2.0,2.0,0.005728674166019512,0.005728674166019512,0.005728674166019512,0.0077016882321983005,0.0077016882321983005,0.0077016882321983005,0.01339225614854378,0.01339225614854378,0.01339225614854378,1.8525677250490253,1.8525677250490253,1.8525677250490253
