candidate_id,category,role,candidate_order,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,requested_D_nm,requested_Psi_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,H_nm,period_x_nm,period_y_nm,material,direct_gap_nm,periodic_gap_nm,integer_or_half_grid_centers,primitive_valid,manufacturing_pass,exact_geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,duplicate_against_formal,planning_status,physics_status,prediction_status,wavelength_authorization,fixed_contract_hash,smoke_order,smoke_status,smoke_physics_label
LPML_R1_GLOBAL_SOBOL_029,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,29,109,107,99,198.0101007524616,0.5787255656077621,198.0101007524616,0.5787255656077621,-99.0,-1.0,99.0,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,89.0101007524616,125.0,True,True,True,78480ac30216091e83df27f6db7ff3c9937effbf8f680f14fe1761c7bfd0fa23,3bb3b4a33d307aa29dbd1a7a0e5903e92c430356053120736b62d8bf23985a98,1fd52fe9bfc5f4a3b25a4b409c97db8e44fa54594f41a5240d54c56b4243af4a,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_030,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,30,111,109,101,202.00990074746338,-0.5672664098579344,202.00990074746338,-0.5672664098579344,-101.0,1.0,101.0,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.00990074746338,119.0,True,True,True,4eae14bb2080237dfd62f118f15d0ccb2c0accd48c47d013062c15934b793def,34c163279eabc2d4ab0939deb5f3a47db8da414f0f57753f95bec0c694bf629a,99c27f0b8089ad30c3f0366ec3d398fa28d2f4a411ed66442be3111222a26ade,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_031,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,31,110,106,100,200.0,0.0,200.0,0.0,-100.0,-0.0,100.0,0.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,90.0,122.0,True,True,True,2785a7524c97e3b722fbaf29985698a3ab3e940a825686d83cdb797747285f39,b2ee2256b0baa5e2919713d3251f09d4a0ca6dcf910d7b48eab48502d9516a9a,e195a6a097dfc24f16d922ef0c516dc01518dcd997ca7453720dfa2e5c2f2873,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_032,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,32,108,108,102,204.0392119177096,1.123302714075429,204.0392119177096,1.123302714075429,-102.0,-2.0,102.0,2.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,96.0392119177096,120.0,True,True,True,f8cf24ce73b5c30617e2f07f97a623188bb3a328eb285e123eaf6d4359953602,b0a7dbbb533aac6bca29c4240cfaa04542deb6d79eee8f9e7c4897c4276f631a,a3391858d140d1ea96779ecd2f277811c5102a77e828933ef9b54cb3f5beef6f,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_033,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,33,108,107,101,200.02249873451734,-0.8593722436446809,200.02249873451734,-0.8593722436446809,-100.0,1.5,100.0,-1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,92.02249873451734,124.0,True,True,True,e8dedd917dbddebe20442a7cbb081bdfe87e30526b429ce354ab3df99422bc66,7c0936f1ef088b8fde4bd302154a19755cb81946a3bedb88762780fa6ab6473b,28038beb72176c5d851ce4a9a30b2f49252c1785bbeae27b83ba91bebfb9d49f,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_034,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,34,110,109,99,196.0025510038071,0.2923228692285534,196.0025510038071,0.2923228692285534,-98.0,-0.5,98.0,0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,86.0025510038071,126.0,True,True,True,13797f64be8539ab6fac63f2dcc160c48a1ba5ca931bba5065590b361f090c04,47ffd22f673d3ef786c24482c724d81816d7ee1c48a0ab79b67918e33407a927,92021e07afe91cb3575a00c40679cb895bb917097c2751ffac351e09472fcdfc,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_035,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,35,111,106,102,202.0222759994551,0.8508648647302778,202.0222759994551,0.8508648647302778,-101.0,-1.5,101.0,1.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.0222759994551,119.0,True,True,True,402b80ed39ce19acb1753082ebdfc5e7f7b5adc5a2b057fb134591906e3eb15c,55c25c6d5130a1aee7c78083a466fcc693e96c830f7d38a63a403b52925f7546,603b1d41851a4d679172a27e282d793f9d5d049c8b7497b63a8a14ec7f3ab9ff,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_036,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,36,109,108,100,198.0025252364222,-0.289370163440599,198.0025252364222,-0.289370163440599,-99.0,0.5,99.0,-0.5,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,89.0025252364222,125.0,True,True,True,55b33895204ac7cc5b41ea27f70e34d243c14e359b0833741d74e585e767671e,6cb6dfdf81ca2cb9a3b9d285ac635b01c20a364044525336034ce3e23f6db380,0cf0fe08f1b5593521dc77c351a18cebab8eef531bc992a440a0b8f611e6a8b1,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_037,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,37,110,107,98,199.01004999748125,-0.5758175932449805,199.01004999748125,-0.5758175932449805,-99.5,1.0,99.5,-1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,89.01004999748125,123.0,True,True,True,70c3f21e25f5a52390b8d7f9ac9aedbacbb849f842edd13382dc8eeb84700f70,4bad575a625915799878fd8ec13f149a40aa9dc1547f95cfd3d718b48eba87e3,5618cb506781be0f7d065013c0cae8e9e4ce39c8b509b154dc22f584efa97ded,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
LPML_R1_GLOBAL_SOBOL_038,GLOBAL_SOBOL,GLOBAL_FEASIBLE_SPACE,38,112,109,100,203.0098519776811,0.5644721753069635,203.0098519776811,0.5644721753069635,-101.5,-1.0,101.5,1.0,500.0,432.0,432.0,APCD_TIO2_NATIVE_M1,91.00985197768111,117.0,True,True,True,b57c4e2b9456fa2c09331b95640e2b390bfceb86a2be80484dc4d8572fb79ae2,306e7c585ebf7c351953fb2b755c69aac9f1f2b2484dd42955065353a55fabec,47aee0f89444c3c00857bcbc05a1d1cb2d546023a6b926a18eb95f19d76acd9b,False,PLANNED_NOT_RUN,ABSENT_NOT_SIMULATED,MODEL_PREDICTION_NOT_PHYSICS_LABEL,450.0-454.0_nm_step_0.5_nm,b225fc1e828b30e41497bbf75c36ab1d287f65ec4b049cb3bac2e075d74205e5,,,
