geometry_id,wavelength_nm,sigma1,sigma2,sigma2_over_sigma1,adjacent_overlap,drift_angle_deg
BF03,445.0,0.951217973566124,0.6895079198355286,0.7248684728386258,0.9983826490529701,3.259104718789711
BF03,446.0,0.9569208909506746,0.8262739494424435,0.8634715338083622,0.9983700982325965,3.271729209506355
BF03,447.0,1.0104834397750444,0.7990248091715841,0.790735184487006,0.9988533496388731,2.7440665746128703
BF03,448.0,0.9401656742973712,0.6571666445290939,0.6989902551167108,0.7180031810454819,44.11013550059974
BF03,449.0,0.8883983968195241,0.8723057321352761,0.9818857567259689,0.9697110177121641,14.137815317306236
BF03,450.0,0.9624766514385187,0.9041009733821026,0.939348473576821,0.598035603249017,53.27066273839965
BF03,451.0,0.9755459651742502,0.9111338032798538,0.933973216851047,0.9986665106156645,2.9592433748312463
BF03,452.0,0.9787310995974983,0.9204164223556548,0.9404180808540514,0.9984296485488507,3.211388956915062
BF03,453.0,0.990013847120594,0.92556255798513,0.9348985983146424,0.9987035724578313,2.9178212652297653
BF03,454.0,0.984008648364964,0.9295474348351846,0.9446537247205372,0.9978899205413655,3.7227462169772503
BF03,455.0,0.9924305385497046,0.9290057711160631,0.9360914794839669,0.9992240491841312,2.2572663835929476
BF03,456.0,0.9870843346086627,0.9313348661102999,0.943521068520994,0.999866983470577,0.9345343101842507
BF03,457.0,0.9896416321680637,0.9272820150852149,0.9369876781090605,0.999720055987551,1.355761677508495
BF03,458.0,0.9866916188763835,0.9218677246838933,0.9343017687063059,0.9984043776896304,3.2371322665804216
BF03,459.0,0.9877809724317067,0.9232032243894195,0.9346234136467414,0.9991291678547429,2.391312740416094
BF03,460.0,0.9833132342970514,0.9040162856672708,0.9193573869810994,0.9998086262561264,1.1209486882431126
BF03,461.0,0.9734663299978042,0.9025937970895126,0.9271957018703959,0.9972466802003415,4.252708894313472
BF03,462.0,0.9632646117606223,0.8872103083653158,0.9210452637138854,0.9996660082525307,1.4808722213534895
BF03,463.0,0.9530838811913057,0.8330716655669467,0.8740801119473871,0.9995782127456279,1.6641774097856084
BF03,464.0,0.9343557112511377,0.8262507312440468,0.8842999740833882,0.9952585405808889,5.581685951961726
BF03,465.0,0.98195672925854,0.8788489776334661,0.8949976627759056,0.313480292460595,71.73090520774602
BF04,435.0,0.9800492785491236,0.8741495292201975,0.8919444647868102,nan,nan
BF04,436.0,0.9704119805041965,0.8186055684035227,0.843564985644757,0.9954778295334027,5.4509838283482965
BF04,437.0,0.8430251994522828,0.7997007659488916,0.9486083766754074,0.970423557111466,13.969692924324585
BF04,438.0,0.9786952537236892,0.7499853218532405,0.766311391620359,0.9726031133116191,13.442646603929886
BF04,439.0,0.9994351762060617,0.7150269659006953,0.7154310583853938,0.9997013836209859,1.4002489336236654
BF04,440.0,0.9853055083314484,0.6549973430992712,0.6647657376933446,0.9999796079970178,0.36590497235661096
BF04,441.0,0.9920510433973361,0.5981927599187,0.6029858684187805,0.9999854028972763,0.30957899830049357
BF04,442.0,0.9857454688482424,0.5145826514004235,0.522023856728115,0.9999935527626295,0.20574282258548265
BF04,443.0,0.9860959338361479,0.4296975173726948,0.43575630182457925,0.9999913300264865,0.238587029118232
BF04,444.0,0.9832225489771922,0.31177216245268735,0.31709216064766993,0.99998699084606,0.2922554559242503
BF04,445.0,0.9882837116175027,0.19601249527565182,0.1983362600956383,0.9999843314280826,0.3207398375951578
BF04,446.0,0.9846322683079681,0.04515724870065043,0.04586204429218075,0.9999673293958992,0.46314544281463355
BF04,447.0,0.9875163748217213,0.08519681347372488,0.08627382354961523,0.9999608613333116,0.5069230743693625
BF04,448.0,0.9856135880031809,0.24474118554059254,0.24831352623336875,0.999923183774431,0.7101774730891348
BF04,449.0,0.9881090717886454,0.3663962412933783,0.37080546242748164,0.9998908279965982,0.8466369555321038
BF04,450.0,0.9869894463932037,0.4959158451305623,0.5024530373073471,0.9998542849447045,0.9781267060101986
BF04,451.0,0.9914978651886295,0.603356491420811,0.6085302980516497,0.9990624552790004,2.4812330843782777
BF04,452.0,0.9835720498142707,0.5722484287618178,0.5818063139043818,0.9983411814383758,3.3006321552626017
BF04,453.0,1.0198237210324397,0.8869497224903183,0.8697088567349623,0.8287904528785627,34.02531198019932
BF04,454.0,0.9762221412691231,0.4507581092624771,0.4617372319341945,0.677028187693097,47.38815064052738
BF04,455.0,0.9773438790256032,0.664869457859186,0.6802820093599509,0.9950691348054731,5.6921693238537205
BF04,456.0,0.9859242450567566,0.7485575180371495,0.7592444569552678,0.9977538024613146,3.8409878187236033
BF04,457.0,0.9839810838340844,0.7872513504420009,0.8000675657040828,0.9997867801501649,1.183202732088489
BF04,458.0,0.9866186258382801,0.8033905239212952,0.8142868002706667,0.9999902653593429,0.25281215165667353
BF04,459.0,0.9884126475270402,0.8299499524083843,0.8396796160843129,0.9995523518592487,1.7144397404137373
BF04,460.0,0.9871975041909049,0.834159347387592,0.8449771639883337,0.9998903281021823,0.8485731361030893
BF04,461.0,0.9908714868321105,0.8430270201918697,0.8507934998584827,0.9998916596200668,0.8434060818590798
BF04,462.0,0.9896119705993878,0.8489140940664756,0.8578252075430187,0.999991970337172,0.22960776727704932
BF04,463.0,0.991299936640427,0.8442947467087111,0.8517046309617198,0.9999355829283553,0.6503399760894037
BF04,464.0,0.993033461741411,0.8447031226880788,0.8506290625965252,0.9999650838245323,0.4787978896835664
BF04,465.0,0.9920467352900189,0.8381502287131944,0.8448697010914171,0.9999245223019703,0.7039627595257898
