S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,geometry_id,wavelength_nm,dominant_vector_overlap_adjacent,dominant_vector_drift_angle_deg
0.7407847646086763,-0.019423960801836282,-0.0165470982349882,-0.19479690003287625,0.03444535854162874,110.21368998472583,0.38315068071389907,0.37039238230433813,0.26296018673626315,0.9681145469136947,0.7377829987682318,0.7620823394506886,BF02,464.0,0.9991572065441251,2.352495027013633
0.7238775251655423,-0.020600839533263915,-0.021751117344941725,-0.11650902501803705,0.04138600573830002,113.27788454648284,0.3769179622879349,0.36193876258277113,0.16095129489120802,0.9187908159226915,0.7769031386905315,0.8455712935161743,BF02,465.0,0.9981110458435747,3.522222008892411
0.4036138948568403,-0.2011102508537469,-0.29947305511885924,-0.12341392817574587,0.8937615717688596,118.05839046952329,0.38217424195592054,0.20180694742842015,0.305772248548381,0.8859320172276843,0.1495066907016749,0.16875639190636874,BF03,435.0,nan,nan
0.4187592748127824,-0.13822768051234946,-0.34980191537809113,-0.16708927821384845,0.8981835252055137,124.21902837933862,0.3974409782383159,0.2093796374063912,0.39901033425122395,0.9112222089468391,0.08480940718816499,0.0930721467886356,BF03,436.0,0.9940264052680983,6.2657337529830315
0.45377588079140163,0.018790640284557125,-0.3814105942417114,-0.24483389096360741,0.8415457968312555,136.41023167704452,0.4178245329874033,0.22688794039570082,0.5395480485578216,0.9525730970827728,0.012500251874961626,0.013122616955321624,BF03,437.0,0.9797559339321218,11.548402042961913
0.14029306923701476,0.012214785043890064,0.017795590378228525,-0.043505134213323124,0.15385183702951102,27.76726641779308,0.08093870783081893,0.07014653461850738,0.31010180652491404,0.43457829038150547,0.30286605620821455,0.6969194341078013,BF03,438.0,0.7700063178342417,39.645543807628094
0.19950209685610884,-0.01956568716894827,-0.16554163180445622,-0.030623390395574334,0.835549488772046,131.62968588206328,0.18309798594659088,0.09975104842805442,0.1534990903762856,0.6074418057867754,0.17325889961187874,0.28522715750106964,BF03,439.0,0.6224631792907426,51.50376716199854
0.268468931438971,0.061971294623302,-0.21249270046246727,-0.05206256209127223,0.8244713971958156,143.129388788508,0.2449069432230635,0.1342344657194855,0.19392397404132114,0.7041692168942854,0.20269084058346298,0.2878439382474345,BF03,440.0,0.9804789283931347,11.339619726785118
0.33632307649391574,0.13519374408386997,-0.20890779966564715,-0.0691554115438298,0.7398746809959074,151.4543718296843,0.2925800027132069,0.16816153824695787,0.20562196404944239,0.7710972297498259,0.27938363456003656,0.3623195931473902,BF03,441.0,0.9899178678668413,8.142905289644501
0.41168353389193707,0.17768431499398601,-0.18192784536134915,-0.07099124035028306,0.6177121011413933,157.16196207651913,0.33299271730881974,0.20584176694596854,0.1724412916862436,0.8220149373181468,0.3842635952178105,0.46746546537400435,BF03,442.0,0.9953999969025169,5.497728800229758
0.5082414385155428,0.20228701103868152,-0.14620227937022817,-0.07190123056736465,0.4910853925981733,162.07130051796238,0.37891569244180423,0.2541207192577714,0.14147061832929586,0.876345568445736,0.4984990689024458,0.5688384660706061,BF03,443.0,0.9965964722894138,4.728523267310231
0.5799840615677585,0.1988494241293403,-0.11177503616774442,-0.07417365643767808,0.3933061037690101,165.32963528663797,0.40404766653554963,0.28999203078387925,0.1278891289480935,0.9054566245925373,0.5831950137964196,0.6440893997090827,BF03,444.0,0.998378986171411,3.2627941427666864
0.6901184023755805,0.19000692096290595,-0.07967078626184262,-0.06037248331336978,0.29854896328554087,168.62573451849119,0.4480762679745419,0.34505920118779027,0.08748134103590167,0.951217973566124,0.6895079198355286,0.7248684728386258,BF03,445.0,0.9983826490529701,3.259104718789711
0.799213115532523,0.10209208504043804,-0.03543046988799864,-0.04348012334208734,0.135214639995989,170.4304817908096,0.45363921461466294,0.3996065577662615,0.0544036659272241,0.9569208909506746,0.8262739494424435,0.8634715338083622,BF03,446.0,0.9983700982325965,3.271729209506355
0.8297587138656459,0.17270622016816867,-0.04057794129961098,-0.0716142123644318,0.21380812361780782,173.3889851924727,0.5035839337663925,0.41487935693282296,0.08630727362994291,1.0104834397750444,0.7990248091715841,0.790735184487006,BF03,447.0,0.9988533496388731,2.7440665746128703
0.6578897469043294,-0.05964405492612851,0.07458705741163024,-0.20485406573531612,0.1451642239286419,64.323909732672,0.37669590072215353,0.3289448734521647,0.3113805416473622,0.9401656742973712,0.6571666445290939,0.6989902551167108,BF03,448.0,0.7180031810454819,44.11013550059974
0.7750845008937804,-0.007185446821644015,-0.0012854304093963265,-0.012141947051004475,0.009417707325167982,95.0712794910745,0.391192009937736,0.3875422504468902,0.01566532040958517,0.8883983968195241,0.8723057321352761,0.9818857567259689,BF03,449.0,0.9697110177121641,14.137815317306236
0.8718799373173847,0.052363557924169135,-0.00917824077621919,-0.011917930813258764,0.06097381966092681,175.0291177362477,0.4625208936906775,0.43593996865869233,0.013669233919899637,0.9624766514385187,0.9041009733821026,0.939348473576821,BF03,450.0,0.598035603249017,53.27066273839965
0.8909273688234853,0.057274417817901324,-0.0075338204740977854,-0.018840686659494038,0.06484006498621332,176.25319571030806,0.4743475786579981,0.44546368441174267,0.021147275657693757,0.9755459651742502,0.9111338032798538,0.933973216851047,BF03,451.0,0.9986665106156645,2.9592433748312463
0.9025404779306556,0.050085293450108814,-0.005771663906785303,-0.022900673131851488,0.05586092997039244,176.71320954807757,0.47647861418189225,0.4512702389653278,0.025373569044081147,0.9787310995974983,0.9204164223556548,0.9404180808540514,BF03,452.0,0.9984296485488507,3.211388956915062
0.918396733117248,0.05811510963613281,-0.003363984186995293,-0.020542517751296084,0.06338479653792017,178.34356969787004,0.4883045615934877,0.459198366558624,0.02236780359787441,0.990013847120594,0.92556255798513,0.9348985983146424,BF03,453.0,0.9987035724578313,2.9178212652297653
0.9161657268328577,0.04642909808311546,-0.0022421340033389435,-0.023547434965422304,0.050736677087590755,178.61762238475822,0.48132446573694715,0.45808286341642884,0.02570215658123852,0.984008648364964,0.9295474348351846,0.9446537247205372,BF03,454.0,0.9978899205413655,3.7227462169772503
0.9239850483065039,0.056093387510676496,-0.0002075905649717505,-0.023798297103859157,0.06070852741398996,179.8939802936873,0.49003940997086803,0.4619925241532519,0.02575614956917008,0.9924305385497046,0.9290057711160631,0.9360914794839669,BF03,455.0,0.9992240491841312,2.2572663835929476
0.9208600582312585,0.04903545015822591,0.0015058437837220245,-0.021280934750075323,0.05327472504269643,0.8794799122652971,0.48495931231816514,0.46043002911562925,0.023109846669808514,0.9870843346086627,0.9313348661102999,0.943521068520994,BF03,456.0,0.999866983470577,0.9345343101842507
0.9196212478103829,0.05367706590959981,0.002759987446247114,-0.026144325553162612,0.058445774532524815,1.4717318085762972,0.4866846119576138,0.45981062390519145,0.028429449205759676,0.9896416321680637,0.9272820150852149,0.9369876781090605,BF03,457.0,0.999720055987551,1.355761677508495
0.9117002262873786,0.05773392359036761,0.006207673076285641,-0.0213291786461389,0.06369055740906772,3.068492735894795,0.48488346094479745,0.4558501131436893,0.02339494718894113,0.9866916188763835,0.9218677246838933,0.9343017687063059,BF03,458.0,0.9984043776896304,3.2371322665804216
0.9140077215105744,0.05554722940232132,0.007065125820697182,-0.025921316883492647,0.06126287207676794,3.6243025094218915,0.48500122981532745,0.4570038607552872,0.0283600633489755,0.9877809724317067,0.9232032243894195,0.9346234136467414,BF03,459.0,0.9991291678547429,2.391312740416094
0.8920751807476884,0.0670693294192487,0.011466039649482923,-0.031140397801662056,0.07627426261034385,4.8506927450667625,0.4800587786761038,0.4460375903738442,0.03490781771953557,0.9833132342970514,0.9040162856672708,0.9193573869810994,BF03,460.0,0.9998086262561264,1.1209486882431126
