interval,lower_monitor,upper_monitor,wavelength_nm,lower_flux,upper_flux,signed_jump,relative_jump
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,451.99999999999994,0.7554985830993923,0.7555064025115173,7.819412125020797e-06,1.0350002369219647e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,453.00000000000006,0.7573963321373786,0.7573879308393686,-8.401298009941272e-06,-1.1092340500557667e-05
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,453.9999999999999,0.7629924044550733,0.762986980967759,-5.423487314359932e-06,-7.10817995394511e-06
lower_fixed_mesh_transition,N1_DIAG_LOWER_OUTSIDE,N1_DIAG_LOWER_INSIDE,455.00000000000006,0.7685243441423668,0.7685305571875275,6.21304516068566e-06,8.084383023180736e-06
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,445.0,0.7812162025245599,0.7766261714929378,-0.004590031031622144,-0.005875493898858097
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,445.99999999999994,0.7747434457488706,0.7779334772924924,0.003190031543621852,0.0041175327924695805
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,446.99999999999994,0.7769869049210602,0.7689568752311058,-0.008030029689954366,-0.010334832722528569
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,448.00000000000006,0.7611672413498728,0.7788113659767343,0.01764412462686149,0.02318035205452479
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,449.0,0.6958621318983009,0.7472039418737549,0.05134180997545401,0.07378158348032873
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,450.0,0.7332512459691101,0.7351521913573879,0.001900945388277786,0.0025924884529386367
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,450.9999999999999,0.7425346007192457,0.7388792181578391,-0.003655382561406628,-0.0049228447507575985
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,451.99999999999994,0.7555064025115173,0.7572814098308296,0.0017750073193122384,0.0023494272363696867
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,453.00000000000006,0.7573879308393686,0.7525668128362224,-0.004821118003146219,-0.006365453959377537
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,453.9999999999999,0.762986980967759,0.765301921963904,0.002314940996145043,0.003034050454188371
structure_region,N1_DIAG_LOWER_INSIDE,N1_DIAG_UPPER_INSIDE,455.00000000000006,0.7685305571875275,0.7639704877246586,-0.00456006946286891,-0.0059334914145205775
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,445.0,0.7766261714929378,0.776603347390339,-2.2824102598795193e-05,-2.9388788887862947e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,445.99999999999994,0.7779334772924924,0.7779535181339553,2.0040841462898307e-05,2.5761639070538706e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,446.99999999999994,0.7689568752311058,0.7689329899479792,-2.3885283126579004e-05,-3.106192804297434e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,448.00000000000006,0.7788113659767343,0.7788363522353641,2.498625862978887e-05,3.208255518774144e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,449.0,0.7472039418737549,0.7471925707201997,-1.1371153555206348e-05,-1.5218272974699564e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,450.0,0.7351521913573879,0.7351751071064471,2.2915749059215784e-05,3.1171435423329225e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,450.9999999999999,0.7388792181578391,0.7388619842826455,-1.7233875193589654e-05,-2.3324346889274886e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,451.99999999999994,0.7572814098308296,0.7572916078400274,1.0198009197770475e-05,1.3466604442394309e-05
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,453.00000000000006,0.7525668128362224,0.7525632969127721,-3.5159234502701864e-06,-4.671908713353456e-06
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,453.9999999999999,0.765301921963904,0.7652942821791616,-7.639784742385913e-06,-9.98270685480684e-06
upper_fixed_mesh_transition,N1_DIAG_UPPER_INSIDE,N1_DIAG_UPPER_OUTSIDE,455.00000000000006,0.7639704877246586,0.763986015202453,1.552747779443031e-05,2.0324708930414265e-05
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,445.0,0.776603347390339,0.7763392988090079,-0.0002640485813311111,-0.0003400044336898719
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,445.99999999999994,0.7779535181339553,0.7782307279186611,0.0002772097847058008,0.00035633206643339357
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,446.99999999999994,0.7689329899479792,0.768629125704526,-0.0003038642434531891,-0.0003951764944741758
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,448.00000000000006,0.7788363522353641,0.7791692465442472,0.0003328943088831693,0.0004274252324351814
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,449.0,0.7471925707201997,0.7469237228609715,-0.0002688478592282051,-0.0003598106696498194
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,450.0,0.7351751071064471,0.7355416505276317,0.00036654342118458416,0.0004985797501050478
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,450.9999999999999,0.7388619842826455,0.7385254621307853,-0.00033652215186019685,-0.00045546009812228084
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,451.99999999999994,0.7572916078400274,0.7575653469729652,0.0002737391329378225,0.00036147123525981026
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,453.00000000000006,0.7525632969127721,0.7523985429733444,-0.00016475393942771976,-0.00021892369732032788
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,453.9999999999999,0.7652942821791616,0.7653060370323327,1.1754853171064283e-05,1.5359912447787472e-05
upper_pml_propagation,N1_DIAG_UPPER_OUTSIDE,N1_DIAG_PML_UPPER,455.00000000000006,0.763986015202453,0.7641447312863922,0.0001587160839391366,0.00020774736812044593
