wavelength_nm,order_n,u_x,transmitted_fraction,absolute_efficiency
450.9999999999999,-1,-0.2591954022988506,0.003955704417716586,0.002921778331887485
450.9999999999999,0,0.0,0.06569819619729295,0.04852626632910779
450.9999999999999,1,0.2591954022988506,0.8468210736765972,0.6254823927117923
450.9999999999999,2,0.5183908045977011,0.06784254477360889,0.05011013371268502
450.9999999999999,3,0.7775862068965518,0.003576112225544041,0.002641402417783259
451.99999999999994,-3,-0.7793103448275862,0.0030429228383560708,0.002304984022120353
451.99999999999994,-2,-0.5195402298850574,0.007906887237155666,0.0059893890560160515
451.99999999999994,-1,-0.2597701149425287,0.005246563482681714,0.003974220064401896
451.99999999999994,0,0.0,0.06018044450875221,0.045586092847400186
451.99999999999994,1,0.2597701149425287,0.8585018522524773,0.6503066812800768
451.99999999999994,2,0.5195402298850574,0.061132893057695835,0.04630756322434633
451.99999999999994,3,0.7793103448275862,0.003988436622881062,0.00302120138345248
453.00000000000006,-3,-0.7810344827586206,0.003412630348408217,0.0025677920385344666
453.00000000000006,-2,-0.5206896551724137,0.007759368188515356,0.005838441854044013
453.00000000000006,-1,-0.26034482758620686,0.006370322755641728,0.0047932715778788125
453.00000000000006,0,0.0,0.056208740917765634,0.04229358081282003
453.00000000000006,1,0.26034482758620686,0.8596814947692127,0.6468568443029437
453.00000000000006,2,0.5206896551724137,0.06158695468606958,0.046340352096510024
453.00000000000006,3,0.7810344827586206,0.0049804883343867795,0.0037475076370393815
453.9999999999999,-3,-0.7827586206896551,0.003658676981122476,0.0028000405353981917
453.9999999999999,-2,-0.52183908045977,0.006893142482344633,0.005275425643320594
453.9999999999999,-1,-0.260919540229885,0.007583949768698403,0.0058041108521868735
453.9999999999999,0,0.0,0.05205359957563249,0.03983740285824319
453.9999999999999,1,0.260919540229885,0.8645582443130854,0.6616594309308594
453.9999999999999,2,0.52183908045977,0.05966436947061492,0.045662039556561666
453.9999999999999,3,0.7827586206896551,0.005588017408501927,0.00427659378979004
455.00000000000006,-3,-0.7844827586206898,0.0037968754734566666,0.00290113436713827
455.00000000000006,-2,-0.5229885057471265,0.00659516138627079,0.005039261753063083
455.00000000000006,-1,-0.26149425287356326,0.009142459880334653,0.006985613498373377
455.00000000000006,0,0.0,0.04872953860100283,0.037233493728846594
455.00000000000006,1,0.26149425287356326,0.8674788622025682,0.6628273056347306
455.00000000000006,2,0.5229885057471265,0.05776762970284047,0.04413936064288486
455.00000000000006,3,0.7844827586206898,0.006489472753526415,0.004958506688322596
