sample_index,delta_theta_deg,delta_theta_difference_from_IAR4_deg,delta_theta_difference_from_I03_deg,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,nearest_pair_kind,nearest_pair,overlap_or_touching_pass,cell_containment_pass,geometry_valid,validity_reasons,geometry_hash_sha256
7362,87.362,4.541090678999993,1.5421387069999923,63.28955512364389,75.28955512364391,63.28955512364389,direct,"{""distance_nm"": 63.28955512364389, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.786550108118774, 61.5], ""point_b_nm"": [-34.786550108118774, -1.789555123643897], ""touch_or_overlap"": false}",True,True,True,,512ca99a34849640776e4bf5fbaeceab7dad28f68b58d1dbb52284409a6a1372
7363,87.363,4.5420906789999975,1.5431387069999971,63.29016227919852,75.29016227919851,63.29016227919852,direct,"{""distance_nm"": 63.29016227919852, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.78835146490596, 61.5], ""point_b_nm"": [-34.78835146490595, -1.7901622791985186], ""touch_or_overlap"": false}",True,True,True,,ccafca2a738bfe69c01caca7848f525beac088098e3211d139ea67c930a8ae93
7364,87.364,4.543090679000002,1.5441387070000019,63.29076946619265,75.29076946619264,63.29076946619265,direct,"{""distance_nm"": 63.29076946619265, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.790152811095965, 61.5], ""point_b_nm"": [-34.79015281109596, -1.790769466192647], ""touch_or_overlap"": false}",True,True,True,,28a1e7c993aa673165fc34ad3afb7f3a76d1b31d1d12dbbdb647c7840b22db7f
7365,87.365,4.544090678999993,1.5451387069999925,63.291376684626094,75.29137668462607,63.291376684626094,direct,"{""distance_nm"": 63.291376684626094, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.7919541466883, 61.5], ""point_b_nm"": [-34.79195414668828, -1.7913766846260955], ""touch_or_overlap"": false}",True,True,True,,d950545d46174f8272d9290bab497ff55e01f86730d8bc11540be94fb9e67971
7366,87.366,4.545090678999998,1.5461387069999972,63.291983934498695,75.29198393449869,63.291983934498695,direct,"{""distance_nm"": 63.291983934498695, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.79375547168236, 61.5], ""point_b_nm"": [-34.79375547168238, -1.7919839344986968], ""touch_or_overlap"": false}",True,True,True,,7c2116f7d27a0725f2e2756725ba97a8f71efca7afa1870e516011dc74226fdc
7367,87.367,4.546090679000002,1.547138707000002,63.292591215810276,75.29259121581029,63.292591215810276,direct,"{""distance_nm"": 63.292591215810276, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.79555678607768, 61.5], ""point_b_nm"": [-34.795556786077704, -1.7925912158102786], ""touch_or_overlap"": false}",True,True,True,,c154dc8c61c9657416310db9588f7c1771f52437148da3db03dd9f4ad68a44bb
7368,87.368,4.547090678999993,1.5481387069999926,63.2931985285606,75.29319852856062,63.2931985285606,direct,"{""distance_nm"": 63.2931985285606, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.797358089873654, 61.5], ""point_b_nm"": [-34.797358089873654, -1.7931985285606047], ""touch_or_overlap"": false}",True,True,True,,551e8e9c18f2cc27a55b3f1172dc9f2ac4efceb297f36e321cec55732253ba1a
7369,87.369,4.548090678999998,1.5491387069999973,63.293805872749545,75.29380587274954,63.293805872749545,direct,"{""distance_nm"": 63.293805872749545, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.79915938306978, 61.5], ""point_b_nm"": [-34.79915938306977, -1.793805872749543], ""touch_or_overlap"": false}",True,True,True,,7a6e853bcd95f5cc643f44b67d1b32e3e930eb3dfba91d12086c1f6c5c7094a4
7370,87.37,4.5490906790000025,1.5501387070000021,63.29441324837688,75.29441324837688,63.29441324837688,direct,"{""distance_nm"": 63.29441324837688, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.80096066566546, 61.5], ""point_b_nm"": [-34.80096066566546, -1.7944132483768798], ""touch_or_overlap"": false}",True,True,True,,85b42bd64ecc2c94b907c108dca47faeb53ccf809bd59a28a8cb113ae8c35599
7371,87.371,4.550090678999993,1.5511387069999927,63.295020655442414,75.29502065544241,63.295020655442414,direct,"{""distance_nm"": 63.295020655442414, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.80276193766011, 61.5], ""point_b_nm"": [-34.802761937660115, -1.7950206554424173], ""touch_or_overlap"": false}",True,True,True,,f3723b16a5df3bf8371e18456a2108bebaba17cd3286e80560f4edb58db5c2b0
7372,87.372,4.551090678999998,1.5521387069999975,63.29562809394601,75.29562809394602,63.29562809394601,direct,"{""distance_nm"": 63.29562809394601, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.80456319905329, 61.5], ""point_b_nm"": [-34.80456319905329, -1.7956280939460083], ""touch_or_overlap"": false}",True,True,True,,0c3f449be4eef0e74f3d57a8cddd83b081ecaf8c8f06bb6318aede8b37959e7e
7373,87.373,4.552090679000003,1.5531387070000022,63.29623556388744,75.29623556388745,63.29623556388744,direct,"{""distance_nm"": 63.29623556388744, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.80636444984437, 61.5], ""point_b_nm"": [-34.80636444984437, -1.7962355638874457], ""touch_or_overlap"": false}",True,True,True,,fbb3fd607e26a78bbbcaf5a1fd9ba82998556f194e6b4e19b40ba0c079189bbb
7374,87.374,4.553090678999993,1.5541387069999928,63.29684306526654,75.29684306526653,63.29684306526654,direct,"{""distance_nm"": 63.29684306526654, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.80816569003284, 61.5], ""point_b_nm"": [-34.80816569003282, -1.7968430652665424], ""touch_or_overlap"": false}",True,True,True,,089d928e73be2641c4ee0d87aa33bc0f2bfbfcb1319a217250a86dc37481f22c
7375,87.375,4.554090678999998,1.5551387069999976,63.29745059808312,75.29745059808315,63.29745059808312,direct,"{""distance_nm"": 63.29745059808312, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.80996691961812, 61.5], ""point_b_nm"": [-34.809966919618105, -1.797450598083117], ""touch_or_overlap"": false}",True,True,True,,a2546bbaa80a96b78c1c11afbab4fdf962e3b84735bf1dac9cbd8c90f7477f6a
7376,87.376,4.555090679000003,1.5561387070000023,63.298058162337014,75.29805816233701,63.298058162337014,direct,"{""distance_nm"": 63.298058162337014, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.811768138599675, 61.5], ""point_b_nm"": [-34.81176813859969, -1.7980581623370115], ""touch_or_overlap"": false}",True,True,True,,137a9521667081cdab94f42947ddc659e9e00630cda5bf533d8eb42a990da0b5
7377,87.377,4.556090678999993,1.557138706999993,63.29866575802797,75.29866575802797,63.29866575802797,direct,"{""distance_nm"": 63.29866575802797, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.81356934697695, 61.5], ""point_b_nm"": [-34.81356934697695, -1.798665758027975], ""touch_or_overlap"": false}",True,True,True,,13cce72dd4014092f3cbb6cc8a7c8203702e6b3ba94a2dd6856cb6751e830007
