candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
R2_1_04535,R2D_all_dielectric_highR_mediumR_scan,453,260,12,0,0.12,none,452.7,4.959948,0.0,6.0,0.0,1.541637,0.540794,0.448399,0.607371,0.693871,0.96532,2.850693,Level A,meets Level B or better constraints,2.33248,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.541637,0.540794,1.541637,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.815134
R2_1_04552,R2D_all_dielectric_highR_mediumR_scan,453,310,12,0,0.12,TiO2_50nm,452.45,4.959948,1.0,7.0,1.0,1.562164,0.528232,0.443022,0.617063,0.708516,0.966986,2.957343,Level A,meets Level B or better constraints,2.331096,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.562164,0.528232,1.562164,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.888065
R2_1_04253,R2D_all_dielectric_highR_mediumR_scan,453,310,10,0,0.12,TiO2_25nm,453.125,5.014721,1.0,9.0,1.0,1.585097,0.557557,0.385826,0.590538,0.737997,0.970709,2.84293,Level A,meets Level B or better constraints,2.330136,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.585097,0.557557,1.585097,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.077655
R2_1_02148,R2B_Khaidarov_hybrid_scaled_control,453,300,12,0,0.12,TiO2_50nm,453.15,5.049393,1.0,9.0,1.0,1.608414,0.602979,0.369876,0.573362,0.733059,0.970339,2.667446,Level A,meets Level B or better constraints,2.328849,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.608414,0.602979,1.608414,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.182222
R2_1_04613,R2D_all_dielectric_highR_mediumR_scan,453,310,12,2,0.4727,TiO2_25nm,453.205,4.360571,1.0,6.0,1.0,1.552154,0.575084,0.458391,0.595501,0.669323,0.962524,2.699005,Level A,meets Level B or better constraints,2.328725,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.552154,0.575084,1.552154,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.06338
R2_1_04354,R2D_all_dielectric_highR_mediumR_scan,453,260,10,4,0.722,SiO2_25nm,452.885,4.053343,2.0,8.0,2.0,1.595833,0.611658,0.396291,0.593836,0.704659,0.966574,2.609029,Level A,meets Level B or better constraints,2.328509,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.595833,0.611658,1.595833,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.840525
R2_1_04243,R2D_all_dielectric_highR_mediumR_scan,453,280,10,0,0.12,none,453.1,5.014721,0.0,8.0,0.0,1.565912,0.556175,0.39039,0.590045,0.732031,0.969986,2.815504,Level A,meets Level B or better constraints,2.32565,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.565912,0.556175,1.565912,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.956988
R2_1_04658,R2D_all_dielectric_highR_mediumR_scan,453,270,12,4,0.722,SiO2_25nm,453.385,4.017483,2.0,6.0,2.0,1.569543,0.59595,0.452634,0.597099,0.66536,0.962074,2.633683,Level A,meets Level B or better constraints,2.324636,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.569543,0.59595,1.569543,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.974243
R2_1_04609,R2D_all_dielectric_highR_mediumR_scan,453,300,12,2,0.4727,TiO2_25nm,452.905,4.360571,1.0,6.0,1.0,1.545919,0.577852,0.459007,0.5925,0.665941,0.962141,2.675286,Level A,meets Level B or better constraints,2.324487,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.545919,0.577852,1.545919,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.048214
R2_1_02238,R2B_Khaidarov_hybrid_scaled_control,453,220,12,4,0.722,SiO2_25nm,452.885,4.075965,2.0,9.0,2.0,1.630203,0.658016,0.372534,0.5782,0.708117,0.967042,2.477451,Level A,meets Level B or better constraints,2.32089,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.630203,0.658016,1.630203,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.704924
