candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,extrapolation_policy,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
EX_N3_L78_H42_C160,L78 H42 L78 H42 L78 H42 L160 H42 L78 H42 L78 H42 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_3644850e50ab1436,forbidden,"{""N"": 3, ""L_nm"": 78, ""H_nm"": 42, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H42 L78 H42 L78 H42 L160 H42 L78 H42 L78 H42 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,3644850e50ab1436,GaN -> reverse(stack) -> Air,Explicit,13,13,880
EX_N3_L78_H42_C161,L78 H42 L78 H42 L78 H42 L161 H42 L78 H42 L78 H42 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_db10c8bdf6bac6ce,forbidden,"{""N"": 3, ""L_nm"": 78, ""H_nm"": 42, ""C_nm"": 161}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H42 L78 H42 L78 H42 L161 H42 L78 H42 L78 H42 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,db10c8bdf6bac6ce,GaN -> reverse(stack) -> Air,Explicit,13,13,881
EX_N3_L78_H42_C162,L78 H42 L78 H42 L78 H42 L162 H42 L78 H42 L78 H42 L78,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_111fe7a9fcbc62af,forbidden,"{""N"": 3, ""L_nm"": 78, ""H_nm"": 42, ""C_nm"": 162}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L78 H42 L78 H42 L78 H42 L162 H42 L78 H42 L78 H42 L78,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,111fe7a9fcbc62af,GaN -> reverse(stack) -> Air,Explicit,13,13,882
EX_N3_L79_H42_C152,L79 H42 L79 H42 L79 H42 L152 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_83435291ade178df,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L152 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,83435291ade178df,GaN -> reverse(stack) -> Air,Explicit,13,13,878
EX_N3_L79_H42_C153,L79 H42 L79 H42 L79 H42 L153 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_dfe21d0cae212eb4,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L153 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,dfe21d0cae212eb4,GaN -> reverse(stack) -> Air,Explicit,13,13,879
EX_N3_L79_H42_C154,L79 H42 L79 H42 L79 H42 L154 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_97cf3770c46b0662,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L154 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,97cf3770c46b0662,GaN -> reverse(stack) -> Air,Explicit,13,13,880
EX_N3_L79_H42_C155,L79 H42 L79 H42 L79 H42 L155 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_3d44bbb4fa79d425,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L155 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,3d44bbb4fa79d425,GaN -> reverse(stack) -> Air,Explicit,13,13,881
EX_N3_L79_H42_C156,L79 H42 L79 H42 L79 H42 L156 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_431ea58f659b4f36,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L156 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,431ea58f659b4f36,GaN -> reverse(stack) -> Air,Explicit,13,13,882
EX_N3_L79_H42_C157,L79 H42 L79 H42 L79 H42 L157 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7f993d781790130b,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L157 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,7f993d781790130b,GaN -> reverse(stack) -> Air,Explicit,13,13,883
EX_N3_L79_H42_C158,L79 H42 L79 H42 L79 H42 L158 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_f8f7477d35a4c734,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L158 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,f8f7477d35a4c734,GaN -> reverse(stack) -> Air,Explicit,13,13,884
EX_N3_L79_H42_C159,L79 H42 L79 H42 L79 H42 L159 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_2dfde93208a57dec,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L159 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,2dfde93208a57dec,GaN -> reverse(stack) -> Air,Explicit,13,13,885
EX_N3_L79_H42_C160,L79 H42 L79 H42 L79 H42 L160 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_d325b654ddd75a15,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 160}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L160 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,d325b654ddd75a15,GaN -> reverse(stack) -> Air,Explicit,13,13,886
