case_id,wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency
NP_K6_M2_BATCH1_G04_P,448,2,0.5149425287356322,30.993613604678192,0.05960221875066345,0.04671769584477569
NP_K6_M2_BATCH1_G04_P,448,3,0.7724137931034484,50.57114294660536,0.008502927521671406,0.006664805271921113
NP_K6_M2_BATCH1_G04_P,449,-3,-0.7741379310344828,-50.726939676851345,0.021047629570502158,0.01635351037446106
NP_K6_M2_BATCH1_G04_P,449,-2,-0.5160919540229885,-31.070470678185885,0.02527270061716367,0.019636290649692103
NP_K6_M2_BATCH1_G04_P,449,-1,-0.25804597701149423,-14.95414886521045,0.006808750161949887,0.005290237840683567
NP_K6_M2_BATCH1_G04_P,449,0,0.0,0.0,0.8106999162716366,0.629894660912479
NP_K6_M2_BATCH1_G04_P,449,1,0.25804597701149423,14.95414886521045,0.05167224182910453,0.04014810979038724
NP_K6_M2_BATCH1_G04_P,449,2,0.5160919540229885,31.070470678185885,0.07630861352243595,0.05928998791620804
NP_K6_M2_BATCH1_G04_P,449,3,0.7741379310344828,50.726939676851345,0.00819014802720714,0.006363551310263214
NP_K6_M2_BATCH1_G04_P,450,-3,-0.7758620689655172,-50.883256220421394,0.03646606410688949,0.028387004933257066
NP_K6_M2_BATCH1_G04_P,450,-2,-0.5172413793103449,-31.14738992150898,0.013905865350998695,0.010825019864028309
NP_K6_M2_BATCH1_G04_P,450,-1,-0.25862068965517243,-14.988234482305128,0.008075564251318345,0.006286422399989639
NP_K6_M2_BATCH1_G04_P,450,0,0.0,0.0,0.7905104366874042,0.6153727915428343
NP_K6_M2_BATCH1_G04_P,450,1,0.25862068965517243,14.988234482305128,0.0725156272357101,0.05644978471064068
NP_K6_M2_BATCH1_G04_P,450,2,0.5172413793103449,31.14738992150898,0.06413882190872204,0.04992886121735865
NP_K6_M2_BATCH1_G04_P,450,3,0.7758620689655172,50.883256220421394,0.014387620458957185,0.011200042092535162
NP_K6_M2_BATCH1_G04_P,451,-3,-0.7775862068965518,-51.040098990649035,0.03899646789223836,0.031166418314151925
NP_K6_M2_BATCH1_G04_P,451,-2,-0.5183908045977011,-31.224371624728384,0.004089431771549855,0.0032683201363648035
NP_K6_M2_BATCH1_G04_P,451,-1,-0.2591954022988506,-15.022325529208606,0.007421335945806834,0.005931215646915142
NP_K6_M2_BATCH1_G04_P,451,0,0.0,0.0,0.802180047407733,0.6411113691081675
NP_K6_M2_BATCH1_G04_P,451,1,0.2591954022988506,15.022325529208606,0.08124123075495673,0.06492891071730834
NP_K6_M2_BATCH1_G04_P,451,2,0.5183908045977011,31.224371624728384,0.04396387602152136,0.03513642708833546
NP_K6_M2_BATCH1_G04_P,451,3,0.7775862068965518,51.040098990649035,0.022107610206193777,0.01766865218451201
NP_K6_M2_BATCH1_G04_P,452,-3,-0.7793103448275862,-51.197474525406115,0.03451582937429136,0.028093151045523755
NP_K6_M2_BATCH1_G04_P,452,-2,-0.5195402298850574,-31.301416079556272,0.00036353140964904515,0.0002958857714330231
NP_K6_M2_BATCH1_G04_P,452,-1,-0.2597701149425287,-15.056422020591514,0.005843790963350175,0.004756382946258953
NP_K6_M2_BATCH1_G04_P,452,0,0.0,0.0,0.8315494280829989,0.6768153658319619
NP_K6_M2_BATCH1_G04_P,452,1,0.2597701149425287,15.056422020591514,0.07439576577857909,0.0605522603122423
NP_K6_M2_BATCH1_G04_P,452,2,0.5195402298850574,31.301416079556272,0.030157378291502796,0.024545717105416687
NP_K6_M2_BATCH1_G04_P,452,3,0.7793103448275862,51.197474525406115,0.02317427609962863,0.018862025066170227
NP_K6_M2_BATCH1_G04_P,453,-3,-0.7810344827586206,-51.35538949052732,0.029634423035285847,0.02419750956026871
NP_K6_M2_BATCH1_G04_P,453,-2,-0.5206896551724137,-31.3785235793501,0.0007196303382880895,0.0005876025313484726
NP_K6_M2_BATCH1_G04_P,453,-1,-0.26034482758620686,-15.0905239711439,0.005041427252292425,0.004116496008357953
NP_K6_M2_BATCH1_G04_P,453,0,0.0,0.0,0.8532930630348718,0.6967426707080522
NP_K6_M2_BATCH1_G04_P,453,1,0.26034482758620686,15.0905239711439,0.06764045251391167,0.055230719167956015
