case_id,angle_deg,normalized_intensity
BARE_GAN_AIR_450_XDIPOLE,-51.06769346560344,0.005402926029945842
BARE_GAN_AIR_450_XDIPOLE,-50.97656054799229,0.005425610933207187
BARE_GAN_AIR_450_XDIPOLE,-50.88560613327657,0.005448443328153371
BARE_GAN_AIR_450_XDIPOLE,-50.79482894877222,0.00547140521294926
BARE_GAN_AIR_450_XDIPOLE,-50.70422773592104,0.005494478491833991
BARE_GAN_AIR_450_XDIPOLE,-50.61380125007142,0.0055176450065632454
BARE_GAN_AIR_450_XDIPOLE,-50.52354826026332,0.0055408865679021264
BARE_GAN_AIR_450_XDIPOLE,-50.43346754901759,0.005564184987081714
BARE_GAN_AIR_450_XDIPOLE,-50.34355791212937,0.005587522107131119
BARE_GAN_AIR_450_XDIPOLE,-50.25381815846565,0.005610879833996134
BARE_GAN_AIR_450_XDIPOLE,-50.16424710976654,0.0056342401673552586
BARE_GAN_AIR_450_XDIPOLE,-50.07484360045067,0.005657585231044022
BARE_GAN_AIR_450_XDIPOLE,-49.9856064774242,0.005680897302999068
BARE_GAN_AIR_450_XDIPOLE,-49.896534599893485,0.005704158844634625
BARE_GAN_AIR_450_XDIPOLE,-49.807626839181374,0.005727352529565439
BARE_GAN_AIR_450_XDIPOLE,-49.71888207854713,0.005750461271592178
BARE_GAN_AIR_450_XDIPOLE,-49.630299213009486,0.005773468251868017
BARE_GAN_AIR_450_XDIPOLE,-49.5418771491733,0.005796356945167543
BARE_GAN_AIR_450_XDIPOLE,-49.453614805059466,0.005819111145182979
BARE_GAN_AIR_450_XDIPOLE,-49.365511109937785,0.005841714988775872
BARE_GAN_AIR_450_XDIPOLE,-49.27756500416322,0.005864152979117046
BARE_GAN_AIR_450_XDIPOLE,-49.18977543901512,0.005886410007651725
BARE_GAN_AIR_450_XDIPOLE,-49.10214137653928,0.005908471374831713
BARE_GAN_AIR_450_XDIPOLE,-49.01466178939312,0.0059303228095617605
BARE_GAN_AIR_450_XDIPOLE,-48.92733566069365,0.00595195048731257
BARE_GAN_AIR_450_XDIPOLE,-48.84016198386808,0.005973341046858646
BARE_GAN_AIR_450_XDIPOLE,-48.753139762507345,0.0059944816056053
BARE_GAN_AIR_450_XDIPOLE,-48.666268010222225,0.006015359773474975
BARE_GAN_AIR_450_XDIPOLE,-48.57954575050196,0.0060359636653297575
BARE_GAN_AIR_450_XDIPOLE,-48.49297201657554,0.006056281911912958
BARE_GAN_AIR_450_XDIPOLE,-48.40654585127555,0.0060763036692994925
BARE_GAN_AIR_450_XDIPOLE,-48.32026630690415,0.006096018626851357
BARE_GAN_AIR_450_XDIPOLE,-48.23413244510175,0.006115417013680752
BARE_GAN_AIR_450_XDIPOLE,-48.14814333671792,0.006134489603630405
BARE_GAN_AIR_450_XDIPOLE,-48.06229806168448,0.006153227718786807
BARE_GAN_AIR_450_XDIPOLE,-47.976595708890905,0.006171623231548622
BARE_GAN_AIR_450_XDIPOLE,-47.891035376061986,0.006189668565278715
BARE_GAN_AIR_450_XDIPOLE,-47.80561616963744,0.006207356693574318
BARE_GAN_AIR_450_XDIPOLE,-47.72033720465376,0.0062246811381956165
BARE_GAN_AIR_450_XDIPOLE,-47.63519760462815,0.006241635965698803
BARE_GAN_AIR_450_XDIPOLE,-47.55019650144422,0.006258215782824786
BARE_GAN_AIR_450_XDIPOLE,-47.46533303523996,0.006274415730699679
BARE_GAN_AIR_450_XDIPOLE,-47.38060635429739,0.006290231477908114
BARE_GAN_AIR_450_XDIPOLE,-47.296015614934234,0.006305659212504359
BARE_GAN_AIR_450_XDIPOLE,-47.21155998139733,0.0063206956330303056
