geometry_uid,exact_hash,role,source,global_or_seed,phase_trajectory_deg,broadband_status,projector_pass_count,failed_wavelengths,worst_projector_error,median_projector_error,min_Txx,median_Txx,max_Txx,min_throughput,median_throughput,max_throughput,x_case_uid,y_case_uid,solver_entered_x,solver_entered_y
GLOBAL_011,85c8b98377105bd8718acac057fc0537d2fbef1e3f2f8ea7f0659db6ff3d816a,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[135.48283465817417, 124.93259162577135, 115.36258194764366, 105.14243722909077, 93.28075575931348, 77.85511262102102, 53.12586495941093, 14.417432737528316, 132.04194412942854]",PARTIALLY_COMPATIBLE,3,"[450.0, 450.5, 451.0, 451.5, 453.5, 454.0]",0.9772420376228802,0.2380392119871697,0.001415458416514597,0.6919243683399531,0.9913853087458986,0.03109809202289697,0.47356076063446206,0.5728896790913218,H1C1A_GLOBAL_011_Px,H1C1A_GLOBAL_011_Py,True,True
GLOBAL_012,155971f78351232e75fe4e2e2efcc8629818ba98c0d3dd841205ce99fad2dce5,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[82.887982087642, 81.0879537998095, 77.68145531475614, 73.66954471217969, 71.6893729387935, 70.31910768524915, 67.55382251836556, 64.79219174016328, 63.36566991987132]",CENTER_ONLY_COMPATIBLE,3,"[451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.42492196340934174,0.2986118590452458,0.9344607910228394,0.9774490454925492,0.9956185388744105,0.5064851826193324,0.7082992278821976,0.8656377704640926,H1C1A_GLOBAL_012_Px,H1C1A_GLOBAL_012_Py,True,True
GLOBAL_013,08a05afbd32181f9c6e684befd5bb84bf321d87f03d276d93214194475f747cd,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[73.45344902001762, 69.61118800836812, 66.98848119825652, 65.7180787898385, 63.73797891049526, 60.85089427432365, 58.80146032835853, 57.47178608152683, 55.304341038194195]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.47302540067461263,0.41541622113895427,0.9422569220351568,0.9656528289757366,0.9919375454879594,0.6113696057386878,0.8247901104656588,0.9162233153286024,H1C1A_GLOBAL_013_Px,H1C1A_GLOBAL_013_Py,True,True
GLOBAL_014,da7d277c2086ff33151a4160ebc3892fd9245613929aa6614d7fc968247e1fe9,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",,,,,,,,,,,True,True
GLOBAL_015,008a917f209f17a46f5bfd48dde796d5e473af44a93209b4432f5b6d9908a446,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[82.53942583219072, 79.42525855729389, 71.7863738996071, 44.30613243099947, 118.02588596446054, 87.56537648832995, 82.77248264140712, 78.39686358951269, 73.22117208500822]",BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.1487391212043706,0.04567861769852166,0.22876957473952994,0.9106448756234001,1.0135938293500975,0.11464026219459715,0.48773021931414995,0.5401906236643585,H1C1A_GLOBAL_015_Px,H1C1A_GLOBAL_015_Py,True,True
GLOBAL_016,2707c4a52ef53b86bc137408a7bfc7397f47020e2c385118d8bd9a8b18b0a62a,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[90.50074109928204, 80.81277252837788, 64.32532101986664, 62.67420803622355, 106.443908059281, 97.02357595915714, 88.85020580578737, 84.63443681164478, 82.4853445672191]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.9589072637089552,0.5134667793920074,0.03434594945077024,0.8838942664564057,1.0819004776381504,0.4179077928458016,0.8324700215461622,0.9216836945328197,H1C1A_GLOBAL_016_Px,H1C1A_GLOBAL_016_Py,True,True
GLOBAL_017,b791f1fd275bed1dddf7d90810bc429f739c2e78be5aba39b1757b11330eab62,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[68.99009292639562, 66.96624234423865, 65.6878460080178, 63.245506458263094, 60.78857523271836, 59.26827939347913, 57.52390208949015, 55.19517609102263, 53.3184629293516]",INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.4921658032303673,0.47754615004793166,0.9602149619263916,0.987063757995971,1.0027492154249584,0.8386401899596811,0.9446420560270803,0.9799233711759459,H1C1A_GLOBAL_017_Px,H1C1A_GLOBAL_017_Py,True,True
GLOBAL_018,e845c395735b0c26f05551b883ad65b8e18131eacb85b8fe822ac1f970164940,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[110.98568255320077, 108.17373829177927, 104.91944139358452, 101.00133302630405, 97.40940545354994, 93.64756175206253, 87.86467075078639, 80.59546853221616, 72.1531729658397]",CENTER_ONLY_COMPATIBLE,8,[454.0],0.19295389653179817,0.08843828556499078,0.9622681579375567,0.975822616002948,1.0073578009707183,0.49726858954127573,0.5344227761980761,0.603003855398702,H1C1A_GLOBAL_018_Px,H1C1A_GLOBAL_018_Py,True,True
GLOBAL_019,0157d50c33999d7398a61684ea8b5aec0196cea3b2288079897a91aa22c2c9cf,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[32.782862474937986, 155.93359360971715, 129.10410763802753, 115.6313343068465, 107.28132005463482, 100.36104472127573, 94.94481613107217, 90.81986763249608, 86.74039304055276]",PARTIALLY_COMPATIBLE,5,"[450.0, 450.5, 451.0, 451.5]",0.9735588641662585,0.16366448211656803,0.005479221138645591,0.5624477041876109,0.7544632697676198,0.10361168243864848,0.357996087497751,0.38458828843569387,H1C1A_GLOBAL_019_Px,H1C1A_GLOBAL_019_Py,True,True
GLOBAL_020,0e944f6b8331e30e84ea6c1a2987c21e6995988a3a5e09a8ffe4af6507578d07,GLOBAL_SOBOL_SPACE_FILLING,H1C1A_DETERMINISTIC_SOBOL_SCRAMBLE_FALSE_SEED_0,GLOBAL,"[87.73137329869269, 83.67106885186286, 75.17210453542788, 59.04764724207098, 34.61324907068024, 111.10933689197356, 98.1489957552568, 89.08028037622938, 84.7966323682673]",CENTER_ONLY_COMPATIBLE,2,"[451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.9345853701676642,0.4660032038611106,0.03364118525032784,0.9212207344168061,0.9966011968524173,0.25713808468039595,0.6497023191651988,0.8625714059314336,H1C1A_GLOBAL_020_Px,H1C1A_GLOBAL_020_Py,True,True
SEED1_H1B2_C_UPPER_EDGE_LOCAL_CONTINUATION,5f2f0f47d5f02ee7ced8156302ec2f3191ad2f9cd805ee9be80d49d25820de9b,SEED1_450NM_COMPATIBLE_CONTROL,H1C0_H550_AUTHORITATIVE_GEOMETRY,SEED,"[113.99629102461387, 110.9229118895289, 107.82118979676682, 105.17399133026231, 102.28045937842609, 98.79464829877213, 95.25651199573008, 91.92336077595309, 87.72742933598988]",CENTER_ONLY_COMPATIBLE,3,"[451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.48080725562338644,0.25646459345949,0.9588728386155915,0.9800147327735418,1.0019999632404704,0.48733160278771903,0.6738078337805953,0.943787007222366,H1C1A_SEED1_H1B2_C_UPPER_EDGE_LOCAL_CONTINUATION_Px,H1C1A_SEED1_H1B2_C_UPPER_EDGE_LOCAL_CONTINUATION_Py,True,True
SEED2_H1B1_A_LOWER_COMPATIBLE_EDGE,220e4066a378f940c3c2153ab01f747aec264b6d35898101b1878b415c8a3693,SEED2_450NM_COMPATIBLE_CONTROL,H1C0_H550_AUTHORITATIVE_GEOMETRY,SEED,"[59.57643505667056, 43.30683948337884, 109.6353149206746, 97.46208435758183, 89.41294041098075, 84.586706269822, 81.4921356380288, 78.26414005672189, 75.08682761390202]",CENTER_ONLY_COMPATIBLE,6,"[450.5, 453.5, 454.0]",0.5301547723698068,0.09531526208844887,0.026121480731370467,0.8827688667063889,1.0218411005805825,0.027797963239003257,0.48788756442617,0.6426686990160948,H1C1A_SEED2_H1B1_A_LOWER_COMPATIBLE_EDGE_Px,H1C1A_SEED2_H1B1_A_LOWER_COMPATIBLE_EDGE_Py,True,True
SEED3_H1B1_D_D_PSI_CONTRAST,81b90f264a0ca2202464ca91b9737b05efed58942ea81ccf88071321739f32b5,SEED3_450NM_COMPATIBLE_CONTROL,H1C0_H550_AUTHORITATIVE_GEOMETRY,SEED,"[82.01487108380957, 76.1716214452876, 68.46395032034394, 57.71894517846778, 40.718400648922284, 13.732841713203186, 160.32522723411262, 135.25687922579482, 119.1946592884654]",PARTIALLY_COMPATIBLE,1,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5]",0.9437513726587538,0.42882982125543234,0.014993001298199169,0.5633319810729296,0.9728423106029386,0.1332743749215462,0.49313847434326286,0.9351229412385326,H1C1A_SEED3_H1B1_D_D_PSI_CONTRAST_Px,H1C1A_SEED3_H1B1_D_D_PSI_CONTRAST_Py,True,True
SEED4_LPML_R2_HIGH_UNCERTAINTY_007,f447ce0e428d39f1d9055da8692b608a9f0b342aab7aee33131b269a1e037adb,SEED4_450NM_COMPATIBLE_CONTROL,H1C0_H550_AUTHORITATIVE_GEOMETRY,SEED,"[111.10581967806274, 108.10546084553624, 105.05535497748974, 102.10909425383863, 99.10665887329066, 95.83578585176707, 92.1507959422359, 88.16666248610414, 84.01218690348219]",CENTER_ONLY_COMPATIBLE,3,"[451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",0.5026460540964043,0.2784549485459171,0.9744970594419445,0.9919619100005052,1.0023989643477116,0.4907469897803445,0.6826530438128529,0.997239408846252,H1C1A_SEED4_LPML_R2_HIGH_UNCERTAINTY_007_Px,H1C1A_SEED4_LPML_R2_HIGH_UNCERTAINTY_007_Py,True,True
