batch_id,candidate_id,target_bin_deg,wavelength_nm,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,conversion_to_leakage_ratio,selected_phase_deg,nearest_bin_deg,phase_error_deg,matrix_error,spectral_pass,result_status,error_message,preliminary_status
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,451,0.785533,0.587100,-0.135117,0.204952,-0.066236,0.129834,0.924950,-0.127889,0.961749,0.021244,0.060262,0.871888,1.031754,36.774099,60,96.774099,0.995646,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,451.5,0.818425,0.549903,-0.124169,0.212702,-0.085496,0.108416,0.891142,-0.253368,0.972214,0.019064,0.060660,0.858330,1.057915,33.897316,60,93.897316,0.982275,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,452,0.865598,0.508905,-0.091932,0.171095,-0.049190,0.047558,0.841601,-0.497226,1.008244,0.004681,0.037725,0.955526,1.015095,30.452269,60,90.452269,0.994873,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,452.5,0.892555,0.460175,-0.061228,0.136444,-0.010504,0.038267,0.828313,-0.541858,1.008415,0.001575,0.022366,0.979713,1.006323,27.274311,0,87.274311,0.997636,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,453,0.749501,0.286594,-0.437651,0.102825,-0.477832,-0.062414,-0.423184,0.058932,0.643887,0.232219,0.202112,0.182558,1.673873,20.925863,0,80.925863,0.978809,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,453.5,0.774029,0.410522,-0.022176,0.275329,-0.042406,0.451674,0.965930,0.180403,0.767649,0.205808,0.076298,0.965566,0.736804,27.940176,0,87.940176,1.274878,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0178_B300_exploration_B300_H650,300,454,0.881809,0.347813,-0.048028,0.233547,-0.061163,0.250427,0.907357,-0.182326,0.898561,0.066455,0.056851,0.856540,0.983764,21.525800,0,81.525800,1.044251,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,450,-0.065072,-0.268241,0.281577,0.266801,-0.416858,0.442281,-0.476524,-0.284706,0.076188,0.369383,0.150469,0.308133,0.166130,256.364228,240,43.635772,3.296620,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,450.5,-0.013159,-0.154008,0.383993,0.243387,-0.194055,0.555772,-0.432321,-0.360593,0.023892,0.346540,0.206687,0.316929,0.045628,265.116193,240,34.883807,6.034976,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,451,-0.006685,-0.127998,0.465677,0.168946,-0.048006,0.525916,-0.393957,-0.440179,0.016428,0.278892,0.245398,0.348960,0.027640,267.010336,240,32.989664,7.290774,fail,ok,,phase_wrong
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,451.5,0.098409,-0.155052,0.502413,0.152748,0.072388,0.476006,-0.381606,-0.500654,0.033725,0.231822,0.275750,0.396277,0.050185,302.402482,300,2.402482,5.176894,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,452,0.234197,-0.161119,0.500389,0.145746,0.214061,0.455981,-0.394550,-0.576639,0.080808,0.253741,0.271631,0.488182,0.106352,325.473485,300,25.473485,3.541579,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,452.5,0.286026,-0.213768,0.502238,0.080629,0.340249,0.445137,-0.407884,-0.634790,0.127508,0.313916,0.258744,0.569328,0.153982,323.226548,300,23.226548,2.992694,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,453,0.291122,-0.377133,0.522787,0.023100,0.411530,0.379751,-0.416898,-0.647397,0.226981,0.313568,0.273840,0.592927,0.261871,307.665754,300,7.665754,2.280381,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,453.5,0.328066,-0.507975,0.512977,0.019327,0.447204,0.270785,-0.439507,-0.667564,0.365666,0.273316,0.263519,0.638808,0.405248,302.855609,300,2.855609,1.793061,fail,ok,,weak
LPML1B2A_BATCH_01,LPML1A4_0196_B300_exploration_B300_H500,300,454,0.331340,-0.563028,0.466030,-0.009860,0.493597,0.208006,-0.471269,-0.704033,0.426787,0.286905,0.217281,0.717757,0.456438,300.476623,300,0.476623,1.692076,fail,ok,,weak
