task_id,geometry_id,geometry_hash,polarization,wavelength_start_nm,wavelength_end_nm,wavelength_step_nm,material_contract,production_mesh_id,setup_status,entered,run_invocation_count,training_label,diagnostic_only,solver_authorized
K6HF_017_x,K6X_D100_D110_D120_D125_D130_D205,28e52dee45b7d602f92a9be9cd041afef3d7550bc706d562fdebcc66dbf2d1d8,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_017_y,K6X_D100_D110_D120_D125_D130_D205,28e52dee45b7d602f92a9be9cd041afef3d7550bc706d562fdebcc66dbf2d1d8,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_018_x,K6X_D145_D170_D190_D210_D225_D230,7483f55aeff7ea22b89928dcfbc36f0e7c1c9cc5a2d9ba78d9bfd27e0c0c3e22,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_018_y,K6X_D145_D170_D190_D210_D225_D230,7483f55aeff7ea22b89928dcfbc36f0e7c1c9cc5a2d9ba78d9bfd27e0c0c3e22,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_019_x,K6X_D110_D115_D120_D125_D130_D140,97c0058ee55e7c461711cba59eb27862b84901f89382791431dc3aa1c092def3,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_019_y,K6X_D110_D115_D120_D125_D130_D140,97c0058ee55e7c461711cba59eb27862b84901f89382791431dc3aa1c092def3,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_020_x,K6X_D105_D125_D135_D155_D160_D165,15c32c640ecaa81d7b0a38000cc3fb0e98bb69357d1c2a7876ba0a125bd274b5,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_020_y,K6X_D105_D125_D135_D155_D160_D165,15c32c640ecaa81d7b0a38000cc3fb0e98bb69357d1c2a7876ba0a125bd274b5,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_021_x,K6X_D120_D145_D200_D215_D220_D230,269b86c19099935a4fe83452d0a05faf6296e1ec0d4b4f38325d07863d571033,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_021_y,K6X_D120_D145_D200_D215_D220_D230,269b86c19099935a4fe83452d0a05faf6296e1ec0d4b4f38325d07863d571033,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_022_x,K6X_D140_D160_D165_D170_D180_D190,0ac97060e42705949d81140172fb178bb0fee693903982773db4697ba86e5d0d,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_022_y,K6X_D140_D160_D165_D170_D180_D190,0ac97060e42705949d81140172fb178bb0fee693903982773db4697ba86e5d0d,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_023_x,K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_023_y,K6X_D100_D140_D165_D190_D225_D230,21b70b358c2bfdf1aedcf8c0b7cff52623e49009d66f8ebdc8316f4e58399911,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_024_x,K6X_D105_D110_D115_D120_D135_D200,04dd1829254c4801f45f498a2b6458529817ace687391911b5e3426f2ea99ce3,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_024_y,K6X_D105_D110_D115_D120_D135_D200,04dd1829254c4801f45f498a2b6458529817ace687391911b5e3426f2ea99ce3,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_025_x,K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_025_y,K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_026_x,K6X_D120_D125_D180_D185_D190_D195,50ad4213fdfa1bf1b1a353c55769ade406e6fdebf5a82de63c4bd7e0c7fc3e7c,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_026_y,K6X_D120_D125_D180_D185_D190_D195,50ad4213fdfa1bf1b1a353c55769ade406e6fdebf5a82de63c4bd7e0c7fc3e7c,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_027_x,K6X_D100_D105_D130_D145_D175_D220,755ff7c36738865b5c4bada4bac221f914a7cfcf213197650300c56a80a55266,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_027_y,K6X_D100_D105_D130_D145_D175_D220,755ff7c36738865b5c4bada4bac221f914a7cfcf213197650300c56a80a55266,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_028_x,K6X_D160_D165_D170_D175_D180_D220,35df0a885e8930de3868cebd5d71e2a3f516172023fcd0da2669969a72abb29b,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_028_y,K6X_D160_D165_D170_D175_D180_D220,35df0a885e8930de3868cebd5d71e2a3f516172023fcd0da2669969a72abb29b,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_029_x,K6X_D135_D155_D190_D220_D225_D230,44825bb6c0ca299596847e936de26c97539f13b2aea4f8017223d24deeaaeb90,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_029_y,K6X_D135_D155_D190_D220_D225_D230,44825bb6c0ca299596847e936de26c97539f13b2aea4f8017223d24deeaaeb90,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_030_x,K6X_D150_D205_D215_D220_D225_D230,1378d30bbda23695267aae4a889c45ff266766efe10cbac3e7ee6cb40fb7be18,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_030_y,K6X_D150_D205_D215_D220_D225_D230,1378d30bbda23695267aae4a889c45ff266766efe10cbac3e7ee6cb40fb7be18,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_031_x,K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
