sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,delta_theta_deg,D_nm,theta1_deg,theta2_deg,j1_center_y_nm,j2_center_y_nm,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,cell_area_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,cell_containment_pass,overlap_or_touching_pass,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,geometry_hash_sha256,nearest_object_image_pair
18,261,88,197,80,0.49570200573065903,0.4223826714801444,0.4590423386054017,0.07331933425051462,83.075180054,210,0.0,83.075180054,105.0,-105.0,22968,15760,38728,186624.0,0.20751886145404663,63.39586194149595,75.39586194149595,63.39586194149595,True,True,80,6.5625,53d9450f610193580494bb7b59aaa938bb8922943634a73ff174ff1e1fa6c8f5,"{""distance_nm"": 63.39586194149595, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-27.832370601000576, 61.0], ""point_b_nm"": [-27.832370601000584, -2.3958619414959514], ""touch_or_overlap"": false}"
19,251,93,203,78,0.45930232558139533,0.44483985765124556,0.4520710916163204,0.01446246793014977,75.688705444,216,0.0,75.688705444,108.0,-108.0,23343,15834,39177,186624.0,0.20992476851851852,61.50943616707943,61.50943616707946,61.50943616707943,True,True,78,6.730769230769231,a06df31d3aa3027a9597bc7a59cc0e2c80917ee4d2ac97d537fd05c43ce082e2,"{""distance_nm"": 61.50943616707943, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-12.699926104033423, 61.5], ""point_b_nm"": [-12.69992610403342, -0.009436167079432067], ""touch_or_overlap"": false}"
21,264,92,198,80,0.48314606741573035,0.4244604316546763,0.45380324953520335,0.05868563576105407,84.921798706,211,0.0,84.921798706,105.5,-105.5,24288,15840,40128,186624.0,0.21502057613168724,62.84797991804372,72.84797991804373,62.84797991804372,True,True,80,6.5625,8c420786ec1d596bad630322cccb6e4652e83b41d3504fba52ef67a36cc3b778,"{""distance_nm"": 62.84797991804372, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-31.07997415017587, 59.5], ""point_b_nm"": [-31.07997415017588, -3.3479799180437215], ""touch_or_overlap"": false}"
22,259,90,202,77,0.48424068767908307,0.44802867383512546,0.4661346807571043,0.03621201384395761,88.615036011,208,0.0,88.615036011,104.0,-104.0,23310,15554,38864,186624.0,0.20824759945130317,61.09896706021445,77.09896706021445,61.09896706021445,True,True,77,6.818181818181818,9917ba9e5084b8433cf4712b766e3b6d3aa17a3366ae9cff20ba742495d450db,"{""distance_nm"": 61.09896706021445, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-36.04760027803155, 59.0], ""point_b_nm"": [-36.04760027803156, -2.0989670602144463], ""touch_or_overlap"": false}"
23,248,94,195,79,0.4502923976608187,0.4233576642335766,0.43682503094719766,0.026934733427242064,81.228561401,215,0.0,81.228561401,107.5,-107.5,23312,15405,38717,186624.0,0.20745991941015088,65.6168280406824,67.6168280406824,65.6168280406824,True,True,79,6.6455696202531644,38aeca96427b7ef4a7867449da2d3d8987e60c61af0574b7107249eab213a7e0,"{""distance_nm"": 65.6168280406824, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-24.169942067551688, 60.5], ""point_b_nm"": [-24.16994206755168, -5.116828040682414], ""touch_or_overlap"": false}"
24,247,88,201,80,0.4746268656716418,0.4306049822064057,0.4526159239390237,0.04402188346523611,87.691726685,216,0.0,87.691726685,108.0,-108.0,21736,16080,37816,186624.0,0.20263203017832648,69.97050382976131,69.97050382976133,69.97050382976131,True,True,80,6.5625,3d309f794faf09000e172137f66f0c5c4d2dc438da275b3a783f62d948a9ab6f,"{""distance_nm"": 69.97050382976131, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-35.91979831857702, 64.0], ""point_b_nm"": [-35.919798318577016, -5.970503829761314], ""touch_or_overlap"": false}"
25,257,92,194,78,0.47277936962750716,0.4264705882352941,0.44962497893140063,0.04630878139221306,80.305252075,209,0.0,80.305252075,104.5,-104.5,23644,15132,38776,186624.0,0.2077760631001372,60.81770384845147,74.81770384845146,60.81770384845147,True,True,78,6.730769230769231,174803d548422f3e4f2d401d758deb4b55598aa96fd4907e65e725ee328b27ea,"{""distance_nm"": 60.81770384845147, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-22.108332212024322, 58.5], ""point_b_nm"": [-22.108332212024315, -2.31770384845147], ""touch_or_overlap"": false}"
27,252,95,198,77,0.45244956772334294,0.44,0.44622478386167147,0.012449567723342936,83.99848938,219,0.0,83.99848938,109.5,-109.5,23940,15246,39186,186624.0,0.2099729938271605,69.01724989164016,63.01724989164015,63.01724989164015,True,True,77,6.818181818181818,b2ff7adcbb6db336e34a795089e6f1314c66fcd5ac8ac3abcad7822bd47d7d17,"{""distance_nm"": 63.01724989164015, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [27.93807313018334, 157.0], ""point_b_nm"": [27.938073130183344, 220.01724989164015], ""touch_or_overlap"": false}"
28,249,89,196,77,0.47337278106508873,0.4358974358974359,0.4546351084812623,0.03747534516765283,85.845108032,214,0.0,85.845108032,107.0,-107.0,22161,15092,37253,186624.0,0.19961526920438957,68.96812022030211,72.9681202203021,68.96812022030211,True,True,77,6.818181818181818,9775bbadc753e2c80e62e8821e29016286a0bba9d31b5452e7a05612e8e21657,"{""distance_nm"": 68.96812022030211, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-31.298420854100158, 62.5], ""point_b_nm"": [-31.298420854100147, -6.468120220302115], ""touch_or_overlap"": false}"
30,255,87,199,79,0.49122807017543857,0.4316546762589928,0.4614413732172157,0.05957339391644578,82.151870727,211,0.0,82.151870727,105.5,-105.5,22185,15721,37906,186624.0,0.20311428326474623,63.53833116398439,73.5383311639844,63.53833116398439,True,True,79,6.6455696202531644,80c9cae8f1414d0abc480afafda47c7a7f6653b9ee5d765be148f022c864f558,"{""distance_nm"": 63.53833116398439, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-25.543519977297976, 62.0], ""point_b_nm"": [-25.54351997729798, -1.538331163984389], ""touch_or_overlap"": false}"
33,255,93,196,77,0.46551724137931033,0.4358974358974359,0.4507073386383731,0.02961980548187443,84.690971374,212,0.0,84.690971374,106.0,-106.0,23715,15092,38807,186624.0,0.20794217249657065,64.35809881059434,72.35809881059433,64.35809881059434,True,True,77,6.818181818181818,36fd26d0acd279a7740d15ee45db904710eea9bf7a97b025445d91739ac97018,"{""distance_nm"": 64.35809881059434, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-29.26714580878196, 59.5], ""point_b_nm"": [-29.267145808781958, -4.85809881059434], ""touch_or_overlap"": false}"
34,260,87,206,80,0.49855907780979825,0.4405594405594406,0.4695592591846194,0.05799963725035767,88.384208679,209,0.0,88.384208679,104.5,-104.5,22620,16480,39100,186624.0,0.2095121742112483,61.41306906769311,75.4130690676931,61.41306906769311,True,True,80,6.5625,597cda4d70804a8b4fd1917173c0581d4721beb6b055dc3fa6531c66a7ac1a6b,"{""distance_nm"": 61.41306906769311, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-37.079789766032604, 61.0], ""point_b_nm"": [-37.07978976603261, -0.41306906769310836], ""touch_or_overlap"": false}"
35,250,91,200,78,0.4662756598240469,0.43884892086330934,0.4525622903436781,0.02742673896073755,80.99773407,216,0.0,80.99773407,108.0,-108.0,22750,15600,38350,186624.0,0.20549339849108367,65.6293171715015,65.62931717150147,65.62931717150147,True,True,78,6.730769230769231,6c2573e3d64b77cacd7a2a1e75377778cdd64d448e99d600468fb2984a60fb18,"{""distance_nm"": 65.62931717150147, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [22.872251377694994, 153.5], ""point_b_nm"": [22.872251377694994, 219.12931717150147], ""touch_or_overlap"": false}"
36,252,88,195,78,0.4823529411764706,0.42857142857142855,0.45546218487394957,0.05378151260504205,79.151115417,217,0.0,79.151115417,108.5,-108.5,22176,15210,37386,186624.0,0.20032793209876543,69.90206164497748,67.90206164497746,67.90206164497746,True,True,78,6.730769230769231,637bab9837bffb014fa92381ae127087f1588304c45759a8813b1f8088a1e50b,"{""distance_nm"": 67.90206164497746, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [19.951569034639306, 152.5], ""point_b_nm"": [19.95156903463929, 220.40206164497746], ""touch_or_overlap"": false}"
42,264,89,194,80,0.49575070821529743,0.41605839416058393,0.4559045511879407,0.0796923140547135,81.921043396,213,0.0,81.921043396,106.5,-106.5,23496,15520,39016,186624.0,0.20906207133058985,66.84118755705532,72.84118755705532,66.84118755705532,True,True,80,6.5625,46a39f5197655b6b2c9ad75d2f1ae4e2d5c4cd7299a94f2e1026a2778138d99e,"{""distance_nm"": 66.84118755705532, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-25.97086545901375, 62.0], ""point_b_nm"": [-25.970865459013755, -4.841187557055317], ""touch_or_overlap"": false}"
43,254,94,201,78,0.45977011494252873,0.44086021505376344,0.45031516499814606,0.01890989988876529,89.307518005,220,0.0,89.307518005,110.0,-110.0,23876,15678,39554,186624.0,0.2119448731138546,72.03599404189733,64.03599404189731,64.03599404189731,True,True,78,6.730769230769231,17ac0d4b67de0387a137680de7bf9ee372d4a46dbfd3163d72bfd4c969848d16,"{""distance_nm"": 64.03599404189731, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [37.78252904309355, 157.0], ""point_b_nm"": [37.78252904309354, 221.0359940418973], ""touch_or_overlap"": false}"
44,251,91,206,77,0.4678362573099415,0.4558303886925795,0.4618333230012605,0.01200586861736197,87.460899353,215,0.0,87.460899353,107.5,-107.5,22841,15862,38703,186624.0,0.2073849022633745,64.89552841810392,66.89552841810391,64.89552841810392,True,True,77,6.818181818181818,c535f0e117ee57c62c8a4f85bfb15e7db1f83905f682fffbb7e73ef1c07bd2b2,"{""distance_nm"": 64.89552841810392, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-33.899181775852554, 62.0], ""point_b_nm"": [-33.89918177585257, -2.8955284181039156], ""touch_or_overlap"": false}"
46,256,88,202,78,0.4883720930232558,0.44285714285714284,0.4656146179401993,0.045514950166112955,76.381187439,212,0.0,76.381187439,106.0,-106.0,22528,15756,38284,186624.0,0.2051397462277092,60.65675395000451,68.65675395000451,60.65675395000451,True,True,78,6.730769230769231,6489ab6a9c2998444cc130ccbfa6c4d0c9fed7924b79318b1f578aa0874d1c65,"{""distance_nm"": 60.65675395000451, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-14.121881158334645, 62.0], ""point_b_nm"": [-14.121881158334652, 1.3432460499954946], ""touch_or_overlap"": false}"
47,246,93,196,80,0.45132743362831856,0.42028985507246375,0.43580864435039113,0.031037578555854817,83.767662048,218,0.0,83.767662048,109.0,-109.0,22878,15680,38558,186624.0,0.206607938957476,69.73677702192661,65.7367770219266,65.7367770219266,True,True,80,6.5625,aa8b23774379fb19da1649526ba5e1801fb1e694874115f50fdaab3c88b539a4,"{""distance_nm"": 65.7367770219266, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [29.124670798395556, 155.5], ""point_b_nm"": [29.124670798395563, 221.2367770219266], ""touch_or_overlap"": false}"
49,256,93,198,79,0.4670487106017192,0.4296028880866426,0.44832579934418093,0.03744582251507661,88.845863342,215,0.0,88.845863342,107.5,-107.5,23808,15642,39450,186624.0,0.21138760288065844,68.72447060127284,70.72447060127286,68.72447060127284,True,True,79,6.6455696202531644,11c78b39b869198714b19cee03ecf49abbc73fb550a3b86bfbeb8eddc41371bd,"{""distance_nm"": 68.72447060127284, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-37.497916384830404, 61.0], ""point_b_nm"": [-37.497916384830404, -7.724470601272839], ""touch_or_overlap"": false}"
50,261,91,201,78,0.48295454545454547,0.44086021505376344,0.46190738025415445,0.04209433040078203,85.152626038,218,0.0,85.152626038,109.0,-109.0,23751,15678,39429,186624.0,0.21127507716049382,69.06388710893515,65.06388710893515,65.06388710893515,True,True,78,6.730769230769231,b8bad80bb249e4ca9f02445159b203aeee2f37ac31caf89208c94c397950b8b6,"{""distance_nm"": 65.06388710893515, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [30.368084397717467, 154.5], ""point_b_nm"": [30.36808439771746, 219.56388710893515], ""touch_or_overlap"": false}"
51,250,95,194,80,0.4492753623188406,0.41605839416058393,0.4326668782397123,0.03321696815825664,77.766151428,211,0.0,77.766151428,105.5,-105.5,23750,15520,39270,186624.0,0.21042309670781892,60.22669721686792,70.22669721686793,60.22669721686792,True,True,80,6.5625,2e748bc3a5ab0e6607ce16f9db6e893b72c624085c6a440deb966c6ce2053f1e,"{""distance_nm"": 60.22669721686792, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-18.53712308486743, 58.0], ""point_b_nm"": [-18.53712308486744, -2.2266972168679224], ""touch_or_overlap"": false}"
53,264,94,206,78,0.4748603351955307,0.4507042253521127,0.46278228027382173,0.02415610984341804,83.306007385,216,0.0,83.306007385,108.0,-108.0,24816,16068,40884,186624.0,0.21907150205761317,62.156066134126156,62.15606613412615,62.15606613412615,True,True,78,6.730769230769231,1fbf842f2a509a3b8b0cd0640dd180d7af188439bec6f0fc97df14dd134e4320,"{""distance_nm"": 62.15606613412615, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [26.72777199964068, 155.0], ""point_b_nm"": [26.727771999640687, 217.15606613412615], ""touch_or_overlap"": false}"
54,258,87,196,79,0.4956521739130435,0.4254545454545455,0.4605533596837945,0.07019762845849803,86.99924469,219,0.0,86.99924469,109.5,-109.5,22446,15484,37930,186624.0,0.2032428840877915,75.56658294301577,69.56658294301576,69.56658294301576,True,True,79,6.6455696202531644,1a5a50ffebc1ce8997ca8f612044f55e4f7af694aed2c799bfaefaa3cd403e96,"{""distance_nm"": 69.56658294301576, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [34.31562552708098, 153.0], ""point_b_nm"": [34.31562552708099, 222.56658294301576], ""touch_or_overlap"": false}"
55,248,92,203,77,0.4588235294117647,0.45,0.45441176470588235,0.008823529411764675,79.61277008,213,0.0,79.61277008,106.5,-106.5,22816,15631,38447,186624.0,0.20601316015089163,60.2218674182477,66.22186741824771,60.2218674182477,True,True,77,6.818181818181818,96acfd6700fa912c70b1bb5902800b5ba8a47bef79decc5d85b1e099d433bb22,"{""distance_nm"": 60.2218674182477, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-19.56860757319562, 60.5], ""point_b_nm"": [-19.568607573195617, 0.2781325817523008], ""touch_or_overlap"": false}"
56,246,90,197,78,0.4642857142857143,0.43272727272727274,0.4485064935064935,0.03155844155844156,89.769172668,210,0.0,89.769172668,105.0,-105.0,22140,15366,37506,186624.0,0.20097093621399176,66.3436805901588,78.34368059015878,66.3436805901588,True,True,78,6.730769230769231,4d21eda4609ea552d6b309e231f71b4f04daa032f6e9d022fe7d9e0573ec4b93,"{""distance_nm"": 66.3436805901588, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-38.60285793180849, 60.0], ""point_b_nm"": [-38.60285793180849, -6.343680590158796], ""touch_or_overlap"": false}"
57,257,95,203,80,0.4602272727272727,0.43462897526501765,0.4474281239961452,0.02559829746225506,82.382698059,217,0.0,82.382698059,108.5,-108.5,24415,16240,40655,186624.0,0.21784443587105623,63.59345268777852,61.59345268777852,61.59345268777852,True,True,80,6.5625,f920a911e0610200f82a86801e0ea634f21729e1374c3b5d5acc4479736314b2,"{""distance_nm"": 61.59345268777852, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [26.19261797537989, 156.0], ""point_b_nm"": [26.192617975379907, 217.59345268777852], ""touch_or_overlap"": false}"
58,262,88,200,77,0.49714285714285716,0.44404332129963897,0.4705930892212481,0.05309953584321819,78.689460754,214,0.0,78.689460754,107.0,-107.0,23056,15400,38456,186624.0,0.20606138545953362,64.39126912048374,68.39126912048374,64.39126912048374,True,True,77,6.818181818181818,a211371ed1713e4a3e83687783e7bd61848944a1e7c3b27d835bcb44ca25ed3a,"{""distance_nm"": 64.39126912048374, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-18.139624087006524, 63.0], ""point_b_nm"": [-18.13962408700653, -1.3912691204837353], ""touch_or_overlap"": false}"
60,249,87,202,80,0.48214285714285715,0.4326241134751773,0.45738348530901723,0.04951874366767983,84.229316711,212,0.0,84.229316711,106.0,-106.0,21663,16160,37823,186624.0,0.20266953875171467,63.989949865306826,71.98994986530681,63.989949865306826,True,True,80,6.5625,4c92d2a53623aa7564388484d24d4bf2842dacef57f5dc68c000baf72da1a1be,"{""distance_nm"": 63.989949865306826, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-29.642021200382388, 62.5], ""point_b_nm"": [-29.642021200382374, -1.4899498653068255], ""touch_or_overlap"": false}"
61,260,91,195,77,0.48148148148148145,0.4338235294117647,0.45765250544662306,0.047657952069716736,76.842842102,219,0.0,76.842842102,109.5,-109.5,23660,15015,38675,186624.0,0.20723486796982168,69.79595693825395,63.79595693825394,63.79595693825394,True,True,77,6.818181818181818,fb8f9af0150818f8f87e400162fdc917e938dfe5bddbde7b40f4fe5d826cc11d,"{""distance_nm"": 63.79595693825394, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [15.296125412911607, 155.0], ""point_b_nm"": [15.296125412911618, 218.79595693825394], ""touch_or_overlap"": false}"
63,244,94,199,78,0.4437869822485207,0.4368231046931408,0.44030504347083077,0.006963877555379916,87.922554016,209,0.0,87.922554016,104.5,-104.5,22936,15522,38458,186624.0,0.2060721021947874,61.15163447736264,75.15163447736265,61.15163447736264,True,True,78,6.730769230769231,b78d8d4ec18f9bbb6e0b415b1b00d1a419bb98ce002c0f7c3c92a3ba0c34b150,"{""distance_nm"": 61.15163447736264, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-35.367459216241826, 57.5], ""point_b_nm"": [-35.36745921624182, -3.6516344773626432], ""touch_or_overlap"": false}"
64,244,90,205,80,0.46107784431137727,0.43859649122807015,0.4498371677697237,0.02248135308330712,84.80638504,213,0.0,84.80638504,106.5,-106.5,21960,16400,38360,186624.0,0.20554698216735254,62.29995058399831,68.29995058399831,62.29995058399831,True,True,80,6.5625,d959a1b8dfe3d8f792132b1dd86d5ef86f14ea80d82723dba21e2081ac8e0850,"{""distance_nm"": 62.29995058399831, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-30.55731587451362, 61.5], ""point_b_nm"": [-30.557315874513627, -0.799950583998311], ""touch_or_overlap"": false}"
65,254,95,198,78,0.45558739255014324,0.43478260869565216,0.4451850006228977,0.020804783854491082,77.419910431,219,0.0,77.419910431,109.5,-109.5,24130,15444,39574,186624.0,0.2120520404663923,66.3823819822023,60.382381982202304,60.382381982202304,True,True,78,6.730769230769231,8a95e777364f8564d0f34808cc2f77b1924e5916153a8e9155c2d7a37f04e1d4,"{""distance_nm"": 60.382381982202304, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [16.501102456029187, 157.0], ""point_b_nm"": [16.5011024560292, 217.3823819822023], ""touch_or_overlap"": false}"
