spectral_peak_nm,spectral_FWHM_nm,T450,T448,T453,max_transmission_angle_450_deg,strict_normal,near_normal,angular_FWHM_450_deg,spectral_boundary_clipped,stopband_left_nm,stopband_right_nm,energy_residual_max,angle_symmetry_error_max,secondary_peak_ratio,sequence_json,candidate_id,scan_mode,sample_id,sample_index,spectral_target_pass,angular_target_pass,combined_pass,error_bound_nm,layer_errors_json
452.1999999999936,7.640720001543684,0.6177248466033755,0.3641805007650469,0.7939932646092869,-10.0,False,False,32.8103638320005,False,444.7999999999986,460.3999999999977,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",46],[""L"",79],[""H"",44],[""L"",80],[""H"",46],[""L"",156],[""H"",46],[""L"",79],[""H"",44],[""L"",80],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0023,23,True,False,False,1,"[0,1,0,-1,1,1,0,1,0,-1,1,-1,0]"
450.75999999999374,7.556489116576358,0.7958792422840529,0.5317160750097851,0.6193079447723844,-6.0,False,False,28.616213691851588,False,443.39999999999867,458.7999999999978,6.661338147750939e-16,0.0,0.0,"[[""L"",80],[""H"",46],[""L"",78],[""H"",44],[""L"",79],[""H"",46],[""L"",155],[""H"",46],[""L"",79],[""H"",45],[""L"",78],[""H"",45],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0024,24,True,False,False,1,"[1,1,-1,-1,0,1,-1,1,0,0,-1,0,0]"
449.2799999999937,7.5004885152670795,0.7989080531499987,0.7416588360678666,0.4258178789088328,0.0,True,True,23.784903914597127,False,441.99999999999875,457.1999999999979,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",45],[""L"",79],[""H"",45],[""L"",79],[""H"",44],[""L"",157],[""H"",44],[""L"",80],[""H"",45],[""L"",79],[""H"",44],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0025,25,True,True,True,1,"[-1,0,0,0,0,-1,1,-1,1,0,0,-1,-1]"
449.4999999999937,7.497694291170774,0.8135601561203256,0.7119923121010174,0.4511160292995102,0.0,True,True,24.430286239925966,False,442.19999999999874,457.59999999999786,1.1102230246251565e-15,0.0,0.0,"[[""L"",80],[""H"",44],[""L"",78],[""H"",45],[""L"",78],[""H"",46],[""L"",156],[""H"",44],[""L"",80],[""H"",44],[""L"",79],[""H"",44],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0026,26,True,True,True,1,"[1,-1,-1,0,-1,1,0,-1,1,-1,0,-1,-1]"
445.65999999999394,7.294425632832656,0.35375806535294513,0.5921197549345024,0.17780836761124322,0.0,True,True,22.85224464598328,False,438.59999999999894,453.3999999999981,7.771561172376096e-16,0.0,0.0,"[[""L"",80],[""H"",46],[""L"",78],[""H"",44],[""L"",79],[""H"",44],[""L"",155],[""H"",44],[""L"",78],[""H"",45],[""L"",78],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0027,27,False,True,False,1,"[1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,1]"
448.93999999999386,7.479867781054509,0.7672436420429439,0.7804960430514539,0.3893418686171029,0.0,True,True,23.112573355326624,False,441.5999999999988,456.9999999999979,6.661338147750939e-16,0.0,0.0,"[[""L"",78],[""H"",45],[""L"",79],[""H"",45],[""L"",78],[""H"",44],[""L"",156],[""H"",45],[""L"",80],[""H"",45],[""L"",79],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0028,28,True,True,True,1,"[-1,0,0,0,-1,-1,0,0,1,0,0,-1,0]"
450.3199999999938,7.570187943829296,0.8245722094721051,0.5973514744537718,0.559610336183205,-4.0,False,True,27.099588277990296,False,442.7999999999987,458.3999999999978,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",46],[""L"",78],[""H"",46],[""L"",78],[""H"",44],[""L"",157],[""H"",45],[""L"",79],[""H"",45],[""L"",80],[""H"",46],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0029,29,True,True,True,1,"[0,1,-1,1,-1,-1,1,0,0,0,1,1,1]"
447.3999999999939,7.405353817641526,0.5601251961035782,0.8083717955576851,0.26431002000719,0.0,True,True,21.87574789755927,False,440.19999999999885,455.199999999998,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",45],[""L"",79],[""H"",44],[""L"",80],[""H"",44],[""L"",155],[""H"",45],[""L"",78],[""H"",45],[""L"",79],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0030,30,False,True,False,1,"[-1,0,0,-1,1,-1,-1,0,-1,0,0,-1,0]"
450.2599999999937,7.546411618027378,0.8235991017660517,0.6029726604814567,0.5481287568568871,-3.0,False,True,26.944985306217273,False,442.9999999999987,458.3999999999978,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",46],[""L"",80],[""H"",45],[""L"",78],[""H"",46],[""L"",156],[""H"",45],[""L"",78],[""H"",44],[""L"",79],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0031,31,True,True,True,1,"[0,1,1,0,-1,1,0,0,-1,-1,0,-1,0]"
446.79999999999393,7.371237130006477,0.48062075037822427,0.7522912182398294,0.22945215492497223,0.0,True,True,22.037906248662654,False,439.5999999999989,454.59999999999803,7.771561172376096e-16,0.0,0.0,"[[""L"",80],[""H"",46],[""L"",79],[""H"",45],[""L"",78],[""H"",45],[""L"",155],[""H"",44],[""L"",78],[""H"",44],[""L"",79],[""H"",46],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0032,32,False,True,False,1,"[1,1,0,0,-1,0,-1,-1,-1,-1,0,1,-1]"
