model,geometry_id,wavelength_nm,true_delta_eta_plus1,pred_delta_eta_plus1,contrast_abs_error,true_delta_T,pred_delta_T
LF_only,K6X_D100_D105_D115_D120_D125_D130,454,-0.0021538708499999892,0.0,0.0021538708499999892,-0.015429991841069968,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,455,-0.0020974817509999966,0.0,0.0020974817509999966,-0.015799016441050084,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,445,-0.13520397594400002,0.0,0.13520397594400002,-0.10673573162934913,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,446,-0.14219426695000004,0.0,0.14219426695000004,-0.1162973011575611,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,447,-0.15953291227599997,0.0,0.15953291227599997,-0.13485123595214288,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,448,-0.233370776793,0.0,0.233370776793,-0.19810696724598897,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,449,-0.501273205047,0.0,0.501273205047,-0.3861496846394611,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,450,-0.19830966961700003,0.0,0.19830966961700003,-0.14562830828970497,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,451,-0.080724190295,0.0,0.080724190295,-0.07267756554180316,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,452,-0.03420824799400002,0.0,0.03420824799400002,-0.050948954923891954,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,453,-0.0032689600829999277,0.0,0.0032689600829999277,-0.041732557506954926,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,454,-0.011127285986999969,0.0,0.011127285986999969,-0.06171075962590311,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,455,-0.322838665805,0.0,0.322838665805,-0.24513415591852594,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,445,-0.21795129345000003,0.0,0.21795129345000003,-0.13187194451625084,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,446,-0.17682906055599998,0.0,0.17682906055599998,-0.1483828480651237,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,447,-0.166655742166,0.0,0.166655742166,-0.14777562347274487,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,448,-0.161499169356,0.0,0.161499169356,-0.14444502043837792,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,449,-0.15956487938500002,0.0,0.15956487938500002,-0.14067072882546006,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,450,-0.160013086907,0.0,0.160013086907,-0.13730082175522018,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,451,-0.16159783983800002,0.0,0.16159783983800002,-0.13369579659078012,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,452,-0.16393136584399998,0.0,0.16393136584399998,-0.13010325263126998,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,453,-0.166418497499,0.0,0.166418497499,-0.12617777595461988,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,454,-0.16915681662000004,0.0,0.16915681662000004,-0.12218232378167004,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,455,-0.17203411931899998,0.0,0.17203411931899998,-0.11845301291596988,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,445,-0.23806877227380002,0.0,0.23806877227380002,-0.31154060067090006,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,446,-0.22707805099779999,0.0,0.22707805099779999,-0.28962385120199996,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,447,-0.188651535421,0.0,0.188651535421,-0.24574004137143002,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,448,-0.15367536706200002,0.0,0.15367536706200002,-0.20016025540741011,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,449,-0.08368074158899999,0.0,0.08368074158899999,-0.07256202058350003,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,450,-0.04898153152899999,0.0,0.04898153152899999,-0.013467869999479909,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,451,-0.06568821796100001,0.0,0.06568821796100001,-0.10805829360473007,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,452,-0.033135087561000004,0.0,0.033135087561000004,-0.12922993765192803,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,453,0.01492643414299999,0.0,0.01492643414299999,-0.12634305904423604,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,454,0.058873959922999985,0.0,0.058873959922999985,-0.12205493051689997,0.0
LF_only,K6X_D120_D145_D200_D215_D220_D230,455,0.096438466423,0.0,0.096438466423,-0.11947043596544982,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,445,-0.07834248321500001,0.0,0.07834248321500001,-0.004180132369096867,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,446,-0.017173414785999985,0.0,0.017173414785999985,-0.012653992148089932,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,447,0.06826394688099999,0.0,0.06826394688099999,-0.020739289011830087,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,448,0.1461783571992,0.0,0.1461783571992,-0.021133890161269875,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,449,0.2034531042211,0.0,0.2034531042211,-0.011645607321840057,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,450,0.24156997531279997,0.0,0.24156997531279997,-0.0010451838999399055,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,451,0.2628472554885,0.0,0.2628472554885,0.004822718528809999,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,452,0.27016700033350005,0.0,0.27016700033350005,0.004886971115910188,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,453,0.2669774855109,0.0,0.2669774855109,9.549481908988078e-05,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,454,0.25812902835400003,0.0,0.25812902835400003,-0.007369438239000048,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,455,0.249011541421,0.0,0.249011541421,-0.01348931221687999,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,445,-0.159434664244,0.0,0.159434664244,-0.12023898112865905,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,446,-0.14605581543200008,0.0,0.14605581543200008,-0.10944819633966607,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,447,-0.13089681298900002,0.0,0.13089681298900002,-0.09743968778365308,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,448,-0.11652621598199997,0.0,0.11652621598199997,-0.08671596007833904,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,449,-0.096590289236,0.0,0.096590289236,-0.07157481793854237,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,450,-0.070484034142,0.0,0.070484034142,-0.05108061416705245,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,451,-0.040522584064,0.0,0.040522584064,-0.025187107583599655,0.0
