model,geometry_id,polarization,order_n,mean_hf_minus_model,mae_hf_minus_model,p90_abs_hf_minus_model,max_abs_hf_minus_model
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,s,-2,-0.00848530367317365,0.012414036560906417,0.019979740498134946,0.02014906710381792
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,s,-1,-0.006593580504312664,0.006858274077701117,0.01040764218183305,0.03580019505464374
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,s,0,0.05091557485479354,0.05091557485479354,0.05238022734597783,0.05294210733251363
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,s,1,-0.07123365880677685,0.07123365880677685,0.10570233205835144,0.11736399002486197
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,s,2,0.06650077810962253,0.06650077810962253,0.07030575199560726,0.07106776452634102
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,s,3,0.03565043708521385,0.03565043708521385,0.05487917862499107,0.058985059669238955
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,-3,-0.02367386182925543,0.02910788596067946,0.04333745831101721,0.045608293489752275
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,-2,0.02604022569980892,0.02604022569980892,0.04586125125431559,0.05253724637611211
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,-1,-0.019445210900542367,0.051616289216319396,0.12218694853684414,0.15483997275232053
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,0,0.021166310939409374,0.021166310939409374,0.04433760509931732,0.05082170153795685
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,1,0.048180374826666886,0.050960725902580356,0.0983297514295462,0.13322008361541937
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,2,-0.010588476844752831,0.021938962805277462,0.058567198353173304,0.06400074256336499
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,p,3,-0.01562023245245567,0.023225636446863086,0.03419565236519797,0.0383334054256781
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,-3,-0.03910762933479634,0.03977482759898168,0.06040326718547721,0.06411465971020228
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,-2,0.0387482026980271,0.0387482026980271,0.055116471363715586,0.05957963053071211
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,-1,-0.015065452769906005,0.05776460640073557,0.14805133859984415,0.15551177284132053
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,0,0.01583822424232202,0.015968318475630485,0.035605246618184316,0.04043547778694185
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,1,-0.10771887471796947,0.10771887471796947,0.1734916195215126,0.18665379814975933
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,2,0.02344104725716535,0.030174574853463223,0.060925795595755915,0.08385836432064125
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,s,3,0.027496003103298874,0.04925572976590351,0.08529216206276713,0.10816741955337367
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,-3,0.019053050232921556,0.019053050232921556,0.027331797534024847,0.03264840582017764
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,-2,-0.020600216659479007,0.034883337933732356,0.08273290893165593,0.11618843790545252
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,-1,0.00846438172575014,0.022216568581983773,0.04014294192487733,0.059093755339426186
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,0,-0.30053590250011497,0.30053590250011497,0.4655755460984945,0.47670852775893247
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,1,0.034024908916079635,0.03693014292754744,0.060097630813553946,0.08802227263291718
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,2,-0.020004540367923707,0.032204611335952676,0.07962567669656612,0.11680631542371757
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,p,3,0.0039911056388032135,0.0077432456633048175,0.010939665016282747,0.013449437204575664
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,-3,0.013955520998080647,0.013955520998080647,0.020795921294424723,0.02893861899550764
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,-2,-0.029026708053222185,0.036125712956679525,0.08339809166673992,0.1329809057033325
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,-1,0.0037238935604892304,0.026862424987563624,0.0422723848792994,0.04572818141957733
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,0,-0.009707153030205922,0.10184899917336075,0.19616634991114146,0.22295570756836125
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,1,0.05482319559323235,0.05482319559323235,0.09461932355275395,0.11712185005351718
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,2,-0.020994459812779157,0.02315814195897323,0.07549767874329612,0.10746454047521756
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,s,3,0.009607350079642758,0.012137110738031635,0.026646032140038394,0.027847855562582745
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,-3,0.026759156681465036,0.026759156681465036,0.03687903918192671,0.04035251468252374
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,-2,0.004516332605440854,0.00863777055869761,0.014122192114320474,0.01613769116710472
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,-1,-0.0099108544848098,0.02384160324080065,0.04154940613702551,0.05075117806836102
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,0,0.03363748102516286,0.05610587058684315,0.08989236631904876,0.10208012111573778
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,1,0.001737200690463822,0.05300004672697247,0.0924586773197763,0.10199420923628744
