model,geometry_id,M7_order_profile_mae,M8_order_profile_mae,delta_order,M7_eta_plus1_mae,M8_eta_plus1_mae,delta_eta_plus1,M7_R_mae,M8_R_mae,delta_R,M7_T_mae,M8_T_mae,delta_T,M7_PS_contrast_mae,M8_PS_contrast_mae,delta_PS_contrast
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,0.03403609674598921,0.033772233061659385,-0.00026386368432982504,0.056691963786805584,0.05834898526018326,0.001657021473377679,0.1309412744692767,0.12457546536563767,-0.006365809103639028,0.12428843153765845,0.11929347140445877,-0.00499496013319968,0.04582838998525874,0.04582838998525874,0.0
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,0.04572593446291511,0.042394507960840065,-0.0033314265020750466,0.12213536747909924,0.11448336938034033,-0.007651998098758911,0.11894275265032915,0.11474699960218328,-0.004195753048145873,0.11425937782418431,0.11106002209168855,-0.0031993557324957594,0.1656411051628182,0.1656411051628182,0.0
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,0.05668303960976123,0.05882187650567814,0.0021388368959169082,0.07865786411195143,0.08732673867957612,0.00866887456762469,0.13745663453687523,0.14029089220622282,0.002834257669347584,0.14406552013405666,0.14552950721894445,0.0014639870848877912,0.012049119518589346,0.012049119518589346,0.0
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,0.027215124556814307,0.025957021378889715,-0.0012581031779245917,0.08525690322454545,0.08525690322454545,0.0,0.07173911099292535,0.07016288338855967,-0.001576227604365682,0.06995985849225078,0.06895599957482489,-0.0010038589174258955,0.17051380644909092,0.17051380644909092,0.0
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,0.07219886170520731,0.0731125511691617,0.0009136894639543841,0.08800915145536274,0.09421672731616965,0.006207575860806905,0.14709770718535015,0.14918318716647,0.0020854799811198532,0.152161167637483,0.15324865495792955,0.0010874873204465563,0.1099271058985091,0.1099271058985091,0.0
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,0.04787578694782268,0.0440007477901123,-0.0038750391577103763,0.1420558156937386,0.1304828137602494,-0.011573001933489202,0.057959493561773365,0.05313139364117848,-0.004828099920594887,0.05225153957063097,0.048954867803671955,-0.003296671766959018,0.07375088045209091,0.07375088045209091,0.0
LF_global_bias,K6X_D130_D145_D155_D180_D195_D230,0.03610415181068389,0.033360293468994176,-0.002743858341689713,0.08162257668963385,0.07773040192704389,-0.0038921747625899616,0.06077750286851607,0.06163359949776275,0.0008560966292466832,0.06166136129883162,0.06251805931869715,0.0008566980198655358,0.12269839287254544,0.12269839287254544,0.0
LF_global_bias,K6X_D140_D160_D165_D170_D180_D190,0.07115518559922299,0.07135618463290148,0.0002009990336784978,0.11524995569666631,0.117646101128329,0.002396145431662694,0.09007692347628943,0.0935345983964342,0.0034576749201447737,0.09666480077127981,0.09875248153199433,0.0020876807607145137,0.1874648720657273,0.1874648720657273,0.0
LF_global_bias,K6X_D150_D205_D215_D220_D225_D230,0.07982282350585773,0.0799947329723713,0.00017190946651356176,0.06655011915577755,0.07381410915111089,0.007263989995333342,0.15702920189234482,0.15960592578069932,0.002576723888354504,0.1634632017431665,0.16467195617530261,0.001208754432136111,0.09839323827354848,0.09839323827354848,0.0
LF_global_bias,K6X_D200_D205_D215_D220_D225_D230,0.0611213962130631,0.06301700596592492,0.001895609752861821,0.08931122108824337,0.09783991990618,0.008528698817936636,0.09670711778591111,0.09839081535658586,0.0016836975706747553,0.10038328200152397,0.10193148799353179,0.00154820599200782,0.03205698468577791,0.03205698468577791,0.0
