geometry_id,polarization,wavelength_nm,eta_plus1_disagreement,order_profile_disagreement,ensemble_eta_plus1_abs_error,ensemble_order_profile_abs_error,ensemble_R_abs_error
K6X_D100_D200_D205_D210_D215_D220,s,446,0.03544061846326786,0.012281362295006234,0.006930260877289769,0.015265623283989338,0.06292428358179696
K6X_D100_D200_D205_D210_D215_D220,s,447,0.03657095225923501,0.01830755417179264,0.04622765594249704,0.028395100100235934,0.05686445489712559
K6X_D100_D200_D205_D210_D215_D220,s,448,0.04238750839354645,0.015113698253975533,0.03151392829482648,0.03677054607085583,0.046526173863499276
K6X_D100_D200_D205_D210_D215_D220,s,449,0.044113146248920036,0.010235409487830761,0.00878520313631899,0.018459915518662665,0.07840237644589564
K6X_D100_D200_D205_D210_D215_D220,s,450,0.044161873800996926,0.008995117043562512,0.00034608092629741585,0.010295627081171972,0.11784926107222668
K6X_D100_D200_D205_D210_D215_D220,s,451,0.04305991720248236,0.012655311183742681,0.0016641094257480935,0.014327951834658046,0.13856001353165587
K6X_D100_D200_D205_D210_D215_D220,s,452,0.04095903247382019,0.014308928422066644,0.004446760727277212,0.019998572534043586,0.15761126774837758
K6X_D100_D200_D205_D210_D215_D220,s,453,0.03957702892572167,0.015477236715888914,0.007173406911210538,0.02760187903041358,0.17351099349049748
K6X_D100_D200_D205_D210_D215_D220,s,454,0.03846368739386584,0.017042181323057966,0.00795291129190804,0.032914574684578334,0.17243145641174246
K6X_D100_D200_D205_D210_D215_D220,s,455,0.025626342345663886,0.025497150562054677,0.03972342768421002,0.051409973962166136,0.14801260112122963
K6X_D100_D110_D115_D220_D225_D230,p,445,0.08158217457104316,0.03508700428841672,0.006567551063246102,0.03191025739333624,0.0650457326823572
K6X_D100_D110_D115_D220_D225_D230,p,446,0.08401517453394257,0.033971046567680074,0.010698524219176749,0.030280506453623655,0.056706776833494295
K6X_D100_D110_D115_D220_D225_D230,p,447,0.08576735153230332,0.030886521795971837,0.0197877656869822,0.028309337694098873,0.04845385212189508
K6X_D100_D110_D115_D220_D225_D230,p,448,0.08656051246153275,0.025626150472689357,0.038126591452234834,0.025815075609012167,0.04189840069129917
K6X_D100_D110_D115_D220_D225_D230,p,449,0.08627905185067215,0.02340444948395128,0.04014142967807165,0.02203984294917785,0.040301907113777735
K6X_D100_D110_D115_D220_D225_D230,p,450,0.08425320578539487,0.021097067563568116,0.050390578014296125,0.028280128535845137,0.04260938322557248
K6X_D100_D110_D115_D220_D225_D230,p,451,0.07999362027885143,0.02298552019582377,0.04881119297364282,0.038396703922967824,0.05817714708861613
K6X_D100_D110_D115_D220_D225_D230,p,452,0.073165397951457,0.029881968904116978,0.029058697719684848,0.044427338666158625,0.0739537199646745
K6X_D100_D110_D115_D220_D225_D230,p,453,0.06615468015747965,0.03622837473452432,0.006103329093741901,0.04451671908504231,0.07715035598813243
K6X_D100_D110_D115_D220_D225_D230,p,454,0.06263404210041482,0.03749128991691123,0.0066888960255655425,0.04306318702983819,0.06944060631344129
K6X_D100_D110_D115_D220_D225_D230,p,455,0.06293379042440479,0.03362575602313671,0.0033758403536566645,0.036616189061258096,0.05315622248462256
K6X_D100_D110_D115_D220_D225_D230,s,445,0.08958001522825176,0.029481157910416583,0.01923136822934602,0.032571111993152733,0.03909018262763189
K6X_D100_D110_D115_D220_D225_D230,s,446,0.09009276101154479,0.03196783858132847,0.021495975633231024,0.03981382214804191,0.07391202463010652
K6X_D100_D110_D115_D220_D225_D230,s,447,0.08986676602949997,0.035879133013640624,0.013850788289523585,0.041788606482944364,0.07574641229155407
K6X_D100_D110_D115_D220_D225_D230,s,448,0.08871840036590936,0.037875616385513254,0.009329147619410411,0.041444202992061314,0.06494427978145927
K6X_D100_D110_D115_D220_D225_D230,s,449,0.08652843208314727,0.03850408521152415,0.007736930936748909,0.0401831632928618,0.05313012423092735
K6X_D100_D110_D115_D220_D225_D230,s,450,0.08276110431901448,0.03831980651149259,0.007107910557801196,0.038262033182096346,0.04368433133957336
K6X_D100_D110_D115_D220_D225_D230,s,451,0.0770816326090009,0.037877019688244834,0.00529355935620782,0.03635819183350153,0.03827796865747275
K6X_D100_D110_D115_D220_D225_D230,s,452,0.06932858386972972,0.03741062929178919,8.172417770166418e-06,0.03410698884577235,0.0355992589944405
K6X_D100_D110_D115_D220_D225_D230,s,453,0.06191911188436611,0.03591579541576176,0.007266963495918918,0.03252832471659951,0.03425370910225144
K6X_D100_D110_D115_D220_D225_D230,s,454,0.05834657527752349,0.033267514325030785,0.010576457094514276,0.02908550952940493,0.03356198537836644
K6X_D100_D110_D115_D220_D225_D230,s,455,0.05877142775042626,0.030598136412607717,0.007890032648701611,0.023897829463773033,0.03420424202475457
K6X_D100_D130_D135_D155_D160_D225,p,445,0.10401738757125287,0.027932504209002163,0.09136319940488491,0.053678894260940586,0.04530488979329554
K6X_D100_D130_D135_D155_D160_D225,p,446,0.0965327110193013,0.028960671543303212,0.10986721514091324,0.05492573688290243,0.04202243533770634
K6X_D100_D130_D135_D155_D160_D225,p,447,0.0943268791340807,0.02921282812979909,0.1512613091809567,0.061848563557081605,0.03039468572909521
K6X_D100_D130_D135_D155_D160_D225,p,448,0.09510647176873874,0.026480156455170635,0.3083675265960365,0.09294734623544912,0.09408916289724711
