structure_key,display_name,wavelength_nm,r12_normalized_output,peak_normalized_output,normalization_method,plot_normalization
bare,Bare (no MDC),431.6,0.04832024358963474,0.8178796926735163,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),431.80000000000007,0.04839270786778883,0.81910623991632,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),432.0,0.048464557207148706,0.8203223785619261,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),432.20000000000005,0.04853579151558427,0.8215281070509188,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),432.40000000000003,0.04860641088911055,0.8227234270084709,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),432.6,0.048676415610990384,0.8239083432291552,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),432.79999999999995,0.04874580615073659,0.8250828636600549,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),433.0,0.04881458316301012,0.8262469993821138,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),433.20000000000005,0.04888274748641948,0.8274007645898144,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),433.4,0.04895030014222281,0.8285441765692102,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),433.6000000000001,0.0490172423329312,0.8296772556742835,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),433.8,0.04908357544082048,0.830800025301757,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),434.0,0.04914930102634847,0.831912511864303,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),434.2,0.04921442082648404,0.8330147447622611,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),434.40000000000003,0.04927893675294568,0.8341067563538234,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),434.6000000000001,0.04934285089035698,0.8351885819238141,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),434.8,0.04940616549431656,0.8362602596510207,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),435.00000000000006,0.049468882989388625,0.8373218305741812,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),435.20000000000005,0.04953100596701352,0.8383733385566184,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),435.40000000000003,0.0495925371833434,0.8394148302496054,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),435.6,0.04965347955700415,0.8404463550544833,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),435.8,0.04971383616678656,0.8414679650835818,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),436.00000000000006,0.0497736102492687,0.8424797151199748,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),436.2,0.049832805196374536,0.8434816625761571,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),436.40000000000003,0.04989142455286848,0.8444738674516364,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),436.6,0.04994947201379041,0.8454563922895181,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),436.8,0.05000695142183427,0.8464293021321343,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),437.0,0.050063866764672164,0.8473926644757516,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),437.20000000000005,0.050120222172226794,0.8483465492244029,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),437.40000000000003,0.050176021913896626,0.8492910286429208,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),437.6,0.05023127039573372,0.8502261773091683,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),437.79999999999995,0.05028597215758028,0.8511520720655714,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),438.00000000000006,0.05034013187016573,0.8520687919699838,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),438.20000000000005,0.05039375433216507,0.8529764182458958,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),438.40000000000003,0.05044684446722461,0.853875034232091,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),438.59999999999997,0.05049940732095615,0.8547647253317694,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),438.8,0.050551448057902695,0.8556455789611885,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),438.99999999999994,0.05060297195847826,0.8565176844978651,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),439.2,0.050653984415884826,0.8573811332283917,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),439.4000000000001,0.05070449093301063,0.8582360182959357,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),439.6000000000001,0.050754497119307025,0.8590824346473764,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),439.79999999999995,0.05080400868765599,0.8599204789802847,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),440.00000000000006,0.05085303145122099,0.8607502496896183,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
