model,dimension,status,evidence,preregistration_sha256
LF_global_bias,H_R_T,PASS,R_mae=0.09889386256270993; T_mae=0.10007707659712184,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,I_P_S_contrast,PASS,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,J_worst_case_physics,PASS,worst_order=0.0794627760645432; energy_max=0.004423535662959277,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,C_eta_plus1_quantitative,MARGINAL,eta_plus1_mae=0.10056089485244013,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,D_broadband_ranking,PASS,Spearman=0.961603613777527,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,E_top3_retrieval,FAIL,Top3=0.3333333333333333,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,F_top5_retrieval,PASS,Top5=1.0,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,G_champion_identification,MARGINAL,rank=4,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,H_R_T,PASS,R_mae=0.09922113178585217; T_mae=0.10092795351190173,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,I_P_S_contrast,PASS,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,J_worst_case_physics,PASS,worst_order=0.07755250705220168; energy_max=0.01041476591526036,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_affine,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,C_eta_plus1_quantitative,PASS,eta_plus1_mae=0.07398736855721384,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,D_broadband_ranking,PASS,Spearman=0.9503105590062113,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,E_top3_retrieval,PASS,Top3=0.6666666666666666,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,F_top5_retrieval,PASS,Top5=1.0,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,G_champion_identification,MARGINAL,rank=5,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,H_R_T,PASS,R_mae=0.06626821074432244; T_mae=0.06893084369415708,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,I_P_S_contrast,PASS,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,J_worst_case_physics,MARGINAL,worst_order=0.061894112635653926; energy_max=0.07293284068093486,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_ridge_residual,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,C_eta_plus1_quantitative,PASS,eta_plus1_mae=0.07804380893632425,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,D_broadband_ranking,PASS,Spearman=0.9503105590062113,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,E_top3_retrieval,PASS,Top3=0.6666666666666666,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,F_top5_retrieval,PASS,Top5=1.0,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,G_champion_identification,MARGINAL,rank=5,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,H_R_T,PASS,R_mae=0.06626821074432243; T_mae=0.06220102822862851,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,I_P_S_contrast,MARGINAL,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,J_worst_case_physics,FAIL,worst_order=0.061055677645861624; energy_max=0.23909284087331095,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_paired_shared_contrast,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,C_eta_plus1_quantitative,MARGINAL,eta_plus1_mae=0.08366745811930203,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,D_broadband_ranking,PASS,Spearman=0.9503105590062113,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,E_top3_retrieval,PASS,Top3=0.6666666666666666,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,F_top5_retrieval,PASS,Top5=1.0,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,G_champion_identification,MARGINAL,rank=5,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,H_R_T,PASS,R_mae=0.061018126478860055; T_mae=0.07621492440363181,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,I_P_S_contrast,MARGINAL,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,J_worst_case_physics,FAIL,worst_order=0.11001911566174276; energy_max=0.2500185134510199,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
corrected_residual_mlp,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,C_eta_plus1_quantitative,MARGINAL,eta_plus1_mae=0.1083770683050214,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,D_broadband_ranking,MARGINAL,Spearman=0.8949745906267645,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,E_top3_retrieval,FAIL,Top3=0.3333333333333333,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,F_top5_retrieval,PASS,Top5=0.8,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,G_champion_identification,MARGINAL,rank=5,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,H_R_T,FAIL,R_mae=0.05865543395907957; T_mae=0.19481844901460094,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,I_P_S_contrast,MARGINAL,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,J_worst_case_physics,FAIL,worst_order=0.13743044829211798; energy_max=0.523123831310876,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
direct_mlp,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,C_eta_plus1_quantitative,MARGINAL,eta_plus1_mae=0.1121005067874771,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,D_broadband_ranking,MARGINAL,Spearman=0.8825522303783175,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,E_top3_retrieval,FAIL,Top3=0.3333333333333333,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,F_top5_retrieval,MARGINAL,Top5=0.6,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,G_champion_identification,FAIL,rank=6,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,H_R_T,PASS,R_mae=0.058961770256913; T_mae=0.09621760172314868,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,I_P_S_contrast,PASS,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,J_worst_case_physics,FAIL,worst_order=0.1233460145435053; energy_max=0.2822176336097377,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
resmlp,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,C_eta_plus1_quantitative,PASS,eta_plus1_mae=0.07220116628663456,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,D_broadband_ranking,PASS,Spearman=0.9390175042348957,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,E_top3_retrieval,FAIL,Top3=0.3333333333333333,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,F_top5_retrieval,PASS,Top5=0.8,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,G_champion_identification,FAIL,rank=6,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,H_R_T,FAIL,R_mae=0.06221050685099664; T_mae=0.16031418172693954,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,I_P_S_contrast,MARGINAL,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,J_worst_case_physics,FAIL,worst_order=0.12182611569684977; energy_max=0.396271248961143,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
circular_cnn,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
