mode,wavelength_nm,T_up,R_down,A_or_loss_proxy,T_norm
pol0_angle0,467.4663625997719,0.030116845061024418,0.9719054911978614,-0.002022336258885815,0.03067713180021357
pol0_angle0,467.99999999999994,0.026944910111889278,0.9749601393399808,-0.001905049451870089,0.027446186915410533
pol90_angle90,438.0,0.4279179090911754,0.5687321367312425,0.003349954177582215,0.43948817875422275
pol90_angle90,438.46844919786093,0.4196842042955256,0.5764608572112798,0.0038549384931946262,0.43103184671445055
pol90_angle90,438.93790149892936,0.4128414198964884,0.5834500511533205,0.0037085289501910257,0.4240040435090935
pol90_angle90,439.4083601286174,0.40762017107415366,0.5893255684136384,0.003054260512208029,0.41864161981286624
pol90_angle90,439.87982832618025,0.4040571361106625,0.593703840893686,0.002239022995651485,0.4149822456346084
pol90_angle90,440.35230934479057,0.40198950579809706,0.5963829934576353,0.0016275007442675404,0.4128587096453427
pol90_angle90,440.8258064516129,0.40116494680279824,0.5974195698256394,0.0014154833715623871,0.41201185578991767
pol90_angle90,441.30032292787945,0.4014014933192298,0.5970501058308393,0.0015484008499309088,0.41225479817556815
pol90_angle90,441.7758620689655,0.40270308263357785,0.5955086821427721,0.0017882352236501253,0.4135915805468965
pol90_angle90,442.252427184466,0.40526464026109593,0.5928530391894145,0.0018823205494895578,0.41622239891783797
pol90_angle90,442.7300215982721,0.40936902264651226,0.5889045887309278,0.0017263886225599157,0.42043775775455633
pol90_angle90,443.20864864864865,0.4152451975630581,0.5833349369377291,0.0014198654992128024,0.426472815781454
pol90_angle90,443.68831168831167,0.42298117850374495,0.5758376935966537,0.001181127899601342,0.434417966246693
pol90_angle90,444.16901408450707,0.43255035637925604,0.5662685849736314,0.0011810586471124873,0.44424588059039366
pol90_angle90,444.6507592190889,0.4439362796587427,0.5546562883657393,0.0014074319755179587,0.455939662456557
pol90_angle90,445.1335504885994,0.45727415022212825,0.5410711010411943,0.0016547487366774805,0.4696381693846998
pol90_angle90,445.61739130434773,0.4729108410175881,0.5254356555308858,0.0016535034515260394,0.48569765325634906
pol90_angle90,446.1022850924918,0.4913331109797352,0.5074074072669229,0.0012594817533418956,0.5046180342503999
pol90_angle90,446.5882352941176,0.5129994906276291,0.48642273637301947,0.0005777729993514669,0.5268702408754364
pol90_angle90,447.07524536532173,0.5381816346449771,0.4618882289440985,-6.986358907562495e-05,0.5527332729574912
pol90_angle90,447.5633187772926,0.56692660741803,0.433402583037711,-0.0003291904557410352,0.5822554674344628
pol90_angle90,448.0524590163934,0.5991790516206882,0.4008646190491104,-4.3670669798601125e-05,0.6153799701997309
pol90_angle90,448.54266958424506,0.6349862577443984,0.3643987500021007,0.0006149922535008678,0.6521553504099419
pol90_angle90,449.0339539978094,0.6746175700577882,0.3241711016654046,0.0012113282768071998,0.6928582350058291
pol90_angle90,449.5263157894736,0.7184263825607325,0.2802877543925366,0.0012858630467308396,0.7378515732402472
pol90_angle90,450.01975850713495,0.7663899107849192,0.23297171701413386,0.0006383722009468962,0.7871119645864371
pol90_angle90,450.5142857142857,0.8174398826407427,0.18307610669921617,-0.0005159893399589166,0.8395422524517431
pol90_angle90,451.00990099009897,0.8688603355696977,0.1327644883058525,-0.0016248238755501576,0.8923530386524408
pol90_angle90,451.5066079295154,0.9160854279404775,0.08599910911317514,-0.002084537053652677,0.9408550279279394
pol90_angle90,452.00441014332966,0.9531320507558223,0.0484493132890052,-0.0015813640448275046,0.9789033368306673
pol90_angle90,452.50331125827813,0.9736733085839884,0.02661832517494135,-0.0002916337589297241,1.0
pol90_angle90,453.003314917127,0.9724910688130735,0.026325504122075218,0.0011834270648513265,0.9987857942078804
pol90_angle90,453.5044247787611,0.9468573149532266,0.05101772127752836,0.002124963769245078,0.9724589414186979
pol90_angle90,454.00664451827237,0.89737497527782,0.10054343826902834,0.002081586453151707,0.921638672197835
pol90_angle90,454.50997782705105,0.8279768034047977,0.17090575091594448,0.0011174456792577836,0.8503640760255852
pol90_angle90,455.01442841287457,0.7450708252472151,0.2551486073767755,-0.00021943262399065633,0.7652164423925418
pol90_angle90,455.52,0.6561142886908166,0.34508096203256106,-0.0011952507233776166,0.6738546521779493
pol90_angle90,456.0266963292547,0.5680765813276336,0.43321393852307133,-0.001290519850704941,0.5834365349439296
pol90_angle90,456.53452115812917,0.48624958266479357,0.514229268773412,-0.0004788514382055853,0.4993970548211346
pol90_angle90,457.0434782608695,0.41369501605195774,0.5855345647609974,0.0007704191870449018,0.4248807196467096
pol90_angle90,457.55357142857144,0.3513645757529921,0.6468715740129011,0.0017638502341067452,0.3608649560949566
pol90_angle90,458.0648044692737,0.298699240758556,0.6993279133194982,0.0019728459219457983,0.30677562805224046
pol90_angle90,458.5771812080537,0.254395779868958,0.744285164786351,0.0013190553446910114,0.26127426686772937
pol90_angle90,459.09070548712197,0.21704969174938515,0.7827518936313739,0.00019841461924097192,0.22291839556025234
pol90_angle90,459.60538116591925,0.18551043631786218,0.8152512511261729,-0.0007616874440350418,0.19052636513950427
pol90_angle90,460.12121212121207,0.15894362891904412,0.8421217315110278,-0.0010653604300718822,0.16324123041864586
pol90_angle90,460.638202247191,0.1367124152780761,0.8639077896471431,-0.0006202049252191921,0.14040891752172682
pol90_angle90,461.15635545556796,0.11822586778322204,0.8815404100383127,0.00023372217846517884,0.12142252102520684
pol90_angle90,461.6756756756756,0.10286075819381339,0.8961944111175681,0.0009448306886185032,0.10564196151520641
pol90_angle90,462.1961668545659,0.08998384469911587,0.908933286114874,0.0010828691860100825,0.09241687525560215
pol90_angle90,462.71783295711055,0.07903320121414566,0.9203810186334193,0.0005857801524350448,0.08117014250815145
pol90_angle90,463.24067796610166,0.06959103608061341,0.9306290064069014,-0.00022004248751483768,0.07147267514380111
pol90_angle90,463.7647058823529,0.061399848184677364,0.9394291292710688,-0.0008289774557461715,0.06306000959805612
pol90_angle90,464.28992072480173,0.054317102813612926,0.946545948257282,-0.0008630510708949046,0.055785757229605284
pol90_angle90,464.8163265306122,0.048241128067593605,0.9520509267814838,-0.00029205484907746104,0.04954549708027901
pol90_angle90,465.343927355278,0.04305227914228369,0.9563881185541522,0.0005596023035641107,0.04421634932654625
pol90_angle90,465.8727272727272,0.03859696346010303,0.9601877526661116,0.0012152838737854443,0.03964056847386988
pol90_angle90,466.40273037542653,0.03471240307543349,0.9639573383540002,0.001330258570566345,0.035650975300859054
pol90_angle90,466.9339407744875,0.0312666581319162,0.9678467346251369,0.0008866072429468685,0.03211206249187138
pol90_angle90,467.4663625997719,0.02818408085598265,0.9716284430460187,0.00018747609799862897,0.028946136869018948
pol90_angle90,467.99999999999994,0.025440507221111883,0.9748967867448862,-0.0003372939659981311,0.026128381046112863
