wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency,case_id,geometry_id,geometry_hash,polarization
449,0,0.0,0.0,0.0696915079040369,0.04611304287971799,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
449,1,0.25804597701149423,14.95414886521045,0.782646961563809,0.5178569668483581,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
449,2,0.5160919540229885,31.070470678185885,0.11636567198806681,0.07699611306303933,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
449,3,0.7741379310344828,50.726939676851345,0.0050217308930459595,0.003322747619699864,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,-3,-0.7758620689655172,-50.883256220421394,0.0033007853441289555,0.002436594921666591,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,-2,-0.5172413793103449,-31.14738992150898,0.008117088939706687,0.0059919248382462155,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,-1,-0.25862068965517243,-14.988234482305128,0.0039232494881483605,0.002896089500717282,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,0,0.0,0.0,0.07075824465107722,0.05223277541798286,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,1,0.25862068965517243,14.988234482305128,0.8401159177561884,0.6201621630612836,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,2,0.5172413793103449,31.14738992150898,0.07038918924830091,0.05196034373083367,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
450,3,0.7758620689655172,50.883256220421394,0.0033955245724494017,0.0025065301336060176,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,-3,-0.7775862068965518,-51.040098990649035,0.0031343405633206846,0.002339656899039826,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,-2,-0.5183908045977011,-31.224371624728384,0.007800781448632031,0.005822963958599825,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,-1,-0.2591954022988506,-15.022325529208606,0.00497668912375526,0.0037148946668496244,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,0,0.0,0.0,0.06557937676691798,0.04895231969460795,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,1,0.2591954022988506,15.022325529208606,0.8475389015757813,0.6326530886533821,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,2,0.5183908045977011,31.224371624728384,0.06675234098859126,0.04982788946059958,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
451,3,0.7775862068965518,51.040098990649035,0.0042175695330014815,0.003148242973511714,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
452,-3,-0.7793103448275862,-51.197474525406115,0.003369285002183545,0.0025316894581071028,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
452,-2,-0.5195402298850574,-31.301416079556272,0.007372482290371766,0.005539702246179626,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
452,-1,-0.2597701149425287,-15.056422020591514,0.006076219737021739,0.004565687213575243,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
452,0,0.0,0.0,0.06068548474035629,0.045599230067421274,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
