wavelength_nm,pair_DoLP,pair_DoLP__IAR4,pair_DoLP__IAR4_OC1,pair_DoLP__sign,C_source,C_source__IAR4,C_source__IAR4_OC1,C_source__sign,C_angular,C_angular__IAR4,C_angular__IAR4_OC1,C_angular__sign,full_angle_DoLP,full_angle_DoLP__IAR4,full_angle_DoLP__IAR4_OC1,full_angle_DoLP__sign,upward_source_normalized_power,upward_source_normalized_power__IAR4,upward_source_normalized_power__IAR4_OC1,upward_source_normalized_power__sign,useful_LP,useful_LP__IAR4,useful_LP__IAR4_OC1,useful_LP__sign,P_LP_over_S0,P_LP_over_S0__IAR4,P_LP_over_S0__IAR4_OC1,P_LP_over_S0__sign,cone_5deg_DoLP,cone_5deg_DoLP__IAR4,cone_5deg_DoLP__IAR4_OC1,cone_5deg_DoLP__sign,cone_10deg_DoLP,cone_10deg_DoLP__IAR4,cone_10deg_DoLP__IAR4_OC1,cone_10deg_DoLP__sign,cone_20deg_DoLP,cone_20deg_DoLP__IAR4,cone_20deg_DoLP__IAR4_OC1,cone_20deg_DoLP__sign
410.0,-0.0013386997918182833,0.059450602322149354,0.05811190253033107,-,-0.004925556943518122,0.17105967729864902,0.1661341203551309,-,-0.0017113577558588305,0.09474269895492586,0.09303134119906703,-,-0.001000362712022758,0.05813441091488036,0.057134048202857605,-,7.4572847182843155e-06,0.007191615726065864,0.007199073010784148,+,0.0028540750966847828,1.8100712505692669,1.8129253256659517,+,-0.0006693498959090549,0.5297253011610746,0.5290559512651656,-,-0.0069096026060545546,0.20754237951109433,0.20063277690503978,-,-0.00419747505687762,0.4159671462120688,0.4117696711551912,-,0.0017674759851846744,0.2726329515663777,0.27440042755156235,+
411.0,-0.00030048303505045976,0.03648806198225567,0.03618757894720521,-,-0.0018481763611784413,0.1080126392896983,0.10616446292851986,-,-0.00029481049581019103,0.07293862362335746,0.07264381312754727,-,-0.00014561129376433612,0.0449328484051869,0.044787237111422566,-,-7.857446809840865e-07,0.007195992560519219,0.007195206815838235,-,0.0018905623078442346,1.7558082921259295,1.7576988544337737,+,-0.00015024151752518478,0.5182440309911278,0.5180937894736026,-,-0.012242905439829865,0.2266584453653277,0.21441553992549783,-,-0.006293758798196658,0.4187609642660299,0.4124672054678332,-,0.0012191737389510293,0.25871575196890867,0.2599349257078597,+
412.0,0.001026381356035895,0.0416609669660963,0.042687348322132196,+,0.0018263477805864903,0.12449902691259543,0.12632537469318192,+,0.0011478751065917003,0.081412530699271,0.0825604058058627,+,0.0006759872783713983,0.048995842118427134,0.04967182939679853,+,-4.185402836344443e-06,0.007242298682419761,0.007238113279583416,-,0.003112989975113889,1.751337518392916,1.75445050836803,+,0.0005131906780179163,0.5208304834830482,0.5213436741610661,+,-0.02007877842560124,0.3284517865920758,0.30837300816647456,-,-0.006085209749954135,0.3831420211492547,0.3770568113993006,-,-0.00055270742481911,0.24101440113652864,0.24046169371170953,-
413.0,0.001232228212127713,0.03323434663280869,0.034466574844936405,+,0.00283750790526327,0.0936872007085955,0.09652470861385877,+,0.0006400659031242095,0.06862900742197636,0.06926907332510057,+,0.00030205248872154644,0.04029732437154311,0.04059937686026466,+,-6.183784346174698e-06,0.0072376516076935946,0.00723146782334742,-,0.0026964218154463815,1.7239462261989293,1.7266426480143757,+,0.0006161141060638808,0.5166171733164043,0.5172332874224682,+,-0.020669465162206913,0.3986443473732784,0.3779748822110715,-,-0.005603958186897906,0.3420212146052087,0.3364172564183108,-,-0.004182253908859707,0.20618653996227887,0.20200428605341916,-
414.0,0.0021521439326354173,0.006255374718982274,0.008407518651617691,+,0.00576835245816382,0.017102372839647103,0.022870725297810923,+,0.004348223630363173,0.028703254730681787,0.03305147836104496,+,0.0025337794452531363,0.01672017611094753,0.019253955556200665,+,9.015187966820298e-07,0.007326687747676093,0.007327589266472775,+,0.008223696974693828,1.7138438066713242,1.722067503646018,+,0.0010760719663177598,0.5031276873594911,0.5042037593258089,+,-0.004997954132160587,0.36034308443512264,0.35534513030296205,-,0.0034511258494903108,0.3009045157283415,0.3043556415778318,+,0.001166299041944735,0.166147039583712,0.16731333862565673,+
415.0,-0.00120911681012318,0.03158955962611067,0.030380442815987493,-,-0.003596804172830967,0.08444157431013023,0.08084477013729927,-,-0.005071962388566443,0.011801623606867888,0.006729661218301445,-,-0.0029337881835808906,0.006853258878493299,0.003919470694912408,-,9.471914584931705e-06,0.007555022639787511,0.007564494554372443,+,0.00518867750609342,1.8483176102410108,1.8535062877471042,+,-0.0006045584050615727,0.5157947798130553,0.5151902214079938,-,0.023483332346454,0.3921125759725321,0.4155959083189861,+,0.022524732944293246,0.2583537293130839,0.28087846225737717,+,0.011229309610319954,0.12733593534291182,0.13856524495323178,+
416.0,-0.002593538368309632,0.039789598429316286,0.037196060061006654,-,-0.007516989986083716,0.10548864769474105,0.09797165770865733,-,-0.008450713176321241,0.02216346119926548,0.01371274802294424,-,-0.00487707913578779,0.012845097280464818,0.007968018144677028,-,-4.213087193245119e-06,0.007500053946236625,0.00749584085904338,-,-0.0005652927454864454,1.8947922623658056,1.8942269696203191,-,-0.001296769184154778,0.5198947992146581,0.5185980300305033,-,0.024248849785812654,0.2669214341470462,0.2911702839328589,+,0.02956886661666333,0.1944771004120212,0.22404596702868454,+,0.014349529912490708,0.09688490642101477,0.11123443633350548,+
417.0,-0.0035832397205117356,0.06623244159214664,0.0626492018716349,-,-0.010632272283443489,0.16977914489550117,0.15914687261205768,-,-0.010982381081112304,0.06035837079626485,0.04937598971515254,-,-0.006286903602151787,0.03443171615652538,0.02814481255437359,-,-1.3948505225255467e-05,0.007478048067911551,0.007464099562686295,-,-0.008188210490959413,1.9620355724329246,1.9538473619419652,-,-0.0017916198602558886,0.5331162207960733,0.5313246009358175,-,0.004562663076390035,0.05147489513774794,0.05603755821413797,+,0.022463034008216975,0.12544801503634237,0.14791104904455935,+,0.010712222551632747,0.05166168466153632,0.062373907213169065,+
418.0,-0.0047078645344591635,0.07430869174278429,0.06960082720832513,-,-0.013981351278461951,0.190206089791253,0.17622473851279105,-,-0.005711428221554585,0.08268489844926256,0.07697347022770798,-,-0.0034121219893654756,0.04783817572959276,0.04442605374022728,-,-1.0550382867471897e-05,0.007693191378579944,0.007682640995712472,-,-0.013892050163303082,2.0356633990364448,2.0217713488731417,-,-0.002353932267229575,0.5371543458713921,0.5348004136041625,-,-0.012546916542985148,0.032894215168784956,0.020347298625799808,-,0.004755206542470969,0.09771021452970487,0.10246542107217584,+,-0.007879057393884613,0.01705225100242951,0.009173193608544896,-
419.0,-0.008152548182465788,0.04088631590551695,0.032733767723051164,-,-0.021714318405277322,0.10446496725359877,0.08275064884832145,-,0.0005421946206107878,0.05581060613629886,0.05635280075690965,+,0.00026865600524319383,0.03251946516319144,0.03278812116843463,+,-2.0543356280705062e-05,0.0077155615840554075,0.007695018227774702,-,-0.026734975018670948,1.9425094499049957,1.9157744748863248,-,-0.004076274091232901,0.5204431579527585,0.5163668838615256,-,-0.004368518540709465,0.14371318780804215,0.1393446692673327,-,-0.011325208112560187,0.13232117088950948,0.1209959627769493,-,-0.00806294394635114,0.0122503381728233,0.00418739422647216,-
