case_id,candidate_id,wavelength_nm,t_xx_real,t_xx_imag,t_yx_real,t_yx_imag,t_xy_real,t_xy_imag,t_yy_real,t_yy_imag,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,leakage_sum,ratio,matrix_error,phase_deg,reassigned_bin,phase_err_to_bin_deg
B2E:LPML1B2D_B2D_0283_A04:452.5:JonesXY,LPML1B2D_B2D_0283_A04,452.5,-0.640773,0.731533,-0.007636,0.014163,-0.003528,-0.079975,0.020903,-0.120882,0.94573,0.000259,0.006408,0.015049,0.021716,44.073747,0.151535,131.216172,120,11.216172
B2E:LPML1B2D_B2D_0283_A04:452:JonesXY,LPML1B2D_B2D_0283_A04,452.0,-0.655552,0.703059,0.016065,0.028391,0.005454,-0.092912,0.042215,-0.122743,0.924041,0.001064,0.008662,0.016848,0.026574,36.222012,0.169585,132.99734,120,12.99734
B2E:LPML1B2D_B2D_0283_A04:453.5:JonesXY,LPML1B2D_B2D_0283_A04,453.5,-0.579427,0.780678,0.001462,0.024728,-0.016098,-0.05397,-0.00514,-0.086322,0.945193,0.000614,0.003172,0.007478,0.011264,88.752192,0.109163,126.583158,120,6.583158
B2E:LPML1B2D_B2D_0283_A04:453:JonesXY,LPML1B2D_B2D_0283_A04,453.0,-0.620851,0.75624,-0.000975,-0.000517,-0.008331,-0.065492,0.01339,-0.102448,0.957354,1e-06,0.004359,0.010675,0.015035,63.681308,0.125317,129.384992,120,9.384992
B2E:LPML1B2D_B2D_0283_A04:454:JonesXY,LPML1B2D_B2D_0283_A04,454.0,-0.540301,0.810769,-0.039113,0.044204,-0.02534,-0.046265,-0.021906,-0.084826,0.949271,0.003484,0.002783,0.007675,0.013942,90.771658,0.121188,123.67973,120,3.67973
B2E:LPML1B2D_B2D_0283_A05:450.5:JonesXY,LPML1B2D_B2D_0283_A05,450.5,-0.687665,0.63062,-0.013266,0.028638,0.047415,-0.120088,0.12048,-0.118781,0.870566,0.000996,0.016669,0.028625,0.04629,19.220379,0.230591,137.477755,120,17.477755
B2E:LPML1B2D_B2D_0283_A05:450:JonesXY,LPML1B2D_B2D_0283_A05,450.0,-0.674161,0.607917,-0.033796,0.095202,0.045846,-0.13072,0.131685,-0.116747,0.824056,0.010206,0.019189,0.030971,0.060366,16.428476,0.270656,137.957779,120,17.957779
B2E:LPML1B2D_B2D_0283_A05:451.5:JonesXY,LPML1B2D_B2D_0283_A05,451.5,-0.668995,0.673244,0.019863,0.062225,0.013655,-0.092557,0.057922,-0.135397,0.900812,0.004266,0.008753,0.021687,0.034706,29.592526,0.196287,134.818615,120,14.818615
B2E:LPML1B2D_B2D_0283_A05:451:JonesXY,LPML1B2D_B2D_0283_A05,451.0,-0.684787,0.650851,0.037484,0.030255,0.038259,-0.103764,0.091799,-0.126293,0.892541,0.00232,0.012231,0.024377,0.038928000000000004,24.381205,0.208842,136.455433,120,16.455433
B2E:LPML1B2D_B2D_0283_A05:452.5:JonesXY,LPML1B2D_B2D_0283_A05,452.5,-0.63647,0.731584,-0.000906,0.001671,0.009378,-0.077274,0.029408,-0.117801,0.940308,4e-06,0.006059,0.014742,0.020805,45.204457,0.148747,131.022915,120,11.022915
B2E:LPML1B2D_B2D_0283_A05:452:JonesXY,LPML1B2D_B2D_0283_A05,452.0,-0.654237,0.703101,-0.020283,0.035468,0.00761,-0.089982,0.044694,-0.13109,0.922377,0.001669,0.008155,0.019182,0.029006000000000004,33.740962,0.177334,132.938249,120,12.938249
B2E:LPML1B2D_B2D_0283_A05:453.5:JonesXY,LPML1B2D_B2D_0283_A05,453.5,-0.564087,0.784805,-0.034331,0.064103,-0.019825,-0.050394,-0.01137,-0.096338,0.934112,0.005288,0.002933,0.00941,0.017631,75.68001,0.137384,125.707092,120,5.707092
B2E:LPML1B2D_B2D_0283_A05:453:JonesXY,LPML1B2D_B2D_0283_A05,453.0,-0.602001,0.755164,0.016837,0.03559,-0.006247,-0.055869,0.000854,-0.103778,0.932678,0.00155,0.00316,0.010771,0.015480999999999998,66.949819,0.128835,128.561145,120,8.561145
B2E:LPML1B2D_B2D_0283_A05:454:JonesXY,LPML1B2D_B2D_0283_A05,454.0,-0.538527,0.818782,-0.067465,0.029104,-0.016963,-0.047229,-0.011294,-0.083845,0.960416,0.005399,0.002518,0.007158,0.015075000000000002,99.258542,0.125283,123.333611,120,3.333611
B2E:LPML1B2D_B2D_0283_B01:450.5:JonesXY,LPML1B2D_B2D_0283_B01,450.5,-0.663559,0.726708,0.012889,-0.001517,0.000223,-0.101581,0.052573,-0.128326,0.968415,0.000168,0.010319,0.019231,0.029718,32.771836,0.17518,132.399269,120,12.399269
B2E:LPML1B2D_B2D_0283_B01:450:JonesXY,LPML1B2D_B2D_0283_B01,450.0,-0.682539,0.705156,0.018609,0.00899,0.01117,-0.095503,0.062895,-0.133825,0.963104,0.000427,0.009246,0.021865,0.031538,30.957588,0.180958,134.066246,120,14.066246
B2E:LPML1B2D_B2D_0283_B01:451.5:JonesXY,LPML1B2D_B2D_0283_B01,451.5,-0.609553,0.777328,-0.008075,0.014013,-0.012726,-0.066506,-0.000125,-0.119441,0.975795,0.000262,0.004585,0.014266,0.019112999999999998,51.763038,0.139953,128.102297,120,8.102297
B2E:LPML1B2D_B2D_0283_B01:451:JonesXY,LPML1B2D_B2D_0283_B01,451.0,-0.640108,0.752208,0.009447,0.002276,-0.005039,-0.092665,0.016502,-0.127494,0.975556,9.4e-05,0.008612,0.016527,0.025233,38.806302,0.160828,130.396862,120,10.396862
B2E:LPML1B2D_B2D_0283_B01:452.5:JonesXY,LPML1B2D_B2D_0283_B01,452.5,-0.542693,0.828356,-0.045278,0.015317,-0.035682,-0.05863,-0.017781,-0.111544,0.98069,0.002285,0.004711,0.012758,0.019754,56.139142,0.141925,123.230608,120,3.230608
B2E:LPML1B2D_B2D_0283_B01:452:JonesXY,LPML1B2D_B2D_0283_B01,452.0,-0.573612,0.801571,-0.032757,0.015817,-0.025788,-0.056976,-0.004596,-0.113464,0.971546,0.001323,0.003911,0.012895,0.018129,57.808301,0.136603,125.587859,120,5.587859
B2E:LPML1B2D_B2D_0283_B01:453.5:JonesXY,LPML1B2D_B2D_0283_B01,453.5,-0.360174,0.851889,-0.036663,0.145693,-0.057508,-0.007869,-0.08175,-0.100814,0.85544,0.022571,0.003369,0.016847,0.042787000000000006,42.315666,0.223645,112.918348,120,7.081652
