trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-56.399504845720315,1.2537783482649187e-08
case,-0.7,-56.29605919794279,1.4749137673058313e-08
case,-0.7,-56.192892800352176,1.814373960692097e-08
case,-0.7,-56.09000307179042,2.2823509490458098e-08
case,-0.7,-55.987387469080225,2.88702628606982e-08
case,-0.7,-55.885043486246964,3.634282672776905e-08
case,-0.7,-55.78296865376096,4.527454259778129e-08
case,-0.7,-55.681160537799265,5.567122276872772e-08
case,-0.7,-55.57961673952677,6.750961897846102e-08
case,-0.7,-55.47833489439563,8.073645375946871e-08
case,-0.7,-55.37731267146262,9.526805484149599e-08
case,-0.7,-55.276547772724015,1.1099062178678425e-07
case,-0.7,-55.176037932467004,1.2776114191495282e-07
case,-0.7,-55.075780916637626,1.4540895967026512e-07
case,-0.7,-54.97577452222446,1.6373799012058554e-07
case,-0.7,-54.87601657665749,1.8252955349318295e-07
case,-0.7,-54.77650493722212,2.015457938047969e-07
case,-0.7,-54.67723749048727,2.205336310051197e-07
case,-0.7,-54.5782121517477,2.3922918290938405e-07
case,-0.7,-54.47942686447983,2.5736258084016283e-07
case,-0.7,-54.38087959981064,2.7466309162644623e-07
case,-0.7,-54.282568355999494,2.908644487115879e-07
case,-0.7,-54.18449115793227,3.057102868824688e-07
case,-0.7,-54.08664605662754,3.189595688140975e-07
case,-0.7,-53.98903112875451,3.303918874650679e-07
case,-0.7,-53.891644476162206,3.398125265644269e-07
case,-0.7,-53.79448422541982,3.4705716216257925e-07
case,-0.7,-53.69754852736772,3.5199609159166494e-07
case,-0.7,-53.60083555667886,3.5453788225207366e-07
case,-0.7,-53.504343511430285,3.5463234140713455e-07
case,-0.7,-53.40807061268459,3.522727195564998e-07
case,-0.7,-53.31201510408083,3.474970738298203e-07
case,-0.7,-53.216175251434755,3.403887339845581e-07
case,-0.7,-53.12054934234811,3.31075831723992e-07
case,-0.7,-53.02513568582671,3.1972987382573407e-07
case,-0.7,-52.92993261190705,3.065633605781618e-07
case,-0.7,-52.83493847129136,2.91826472799275e-07
case,-0.7,-52.740151634990475,2.758028727531162e-07
case,-0.7,-52.645570493974915,2.5880468604463357e-07
case,-0.7,-52.55119345883336,2.4116675250807133e-07
case,-0.7,-52.45701895943875,2.232402536465996e-07
case,-0.7,-52.36304544462159,2.0538584178444432e-07
case,-0.7,-52.26927138185027,1.879664112385383e-07
case,-0.7,-52.17569525691843,1.713396640311437e-07
case,-0.7,-52.08231557363882,1.558506315350792e-07
case,-0.7,-51.9891308535438,1.4182431863149975e-07
case,-0.7,-51.8961396355923,1.2955863821686726e-07
case,-0.7,-51.80334047588273,1.193178010696097e-07
case,-0.7,-51.71073194737209,1.1132631913317422e-07
case,-0.7,-51.61831263960105,1.057637692572411e-07
case,-0.7,-51.526081158424454,1.0276044954220155e-07
case,-0.7,-51.43403612574782,1.0239404194416383e-07
case,-0.7,-51.342176179268826,1.0468737311511943e-07
case,-0.7,-51.25049997222457,1.0960734106891513e-07
case,-0.7,-51.15900617314364,1.1706504875698726e-07
case,-0.7,-51.067693465603426,1.2691715765734647e-07
case,-0.7,-50.97656054799229,1.3896844572796593e-07
case,-0.7,-50.88560613327656,1.5297552528707757e-07
case,-0.7,-50.7948289487722,1.6865164830643308e-07
case,-0.7,-50.70422773592103,1.8567249997932907e-07
case,-0.7,-50.613801250071404,2.03682856963148e-07
case,-0.7,-50.5235482602633,2.2230396505548548e-07
case,-0.7,-50.43346754901757,2.411414728324089e-07
case,-0.7,-50.34355791212937,2.597937434578721e-07
case,-0.7,-50.253818158465634,2.778603568626899e-07
